,price_per_sqm,apartment,house,number_of_whole_rooms,floor,number_of_half_rooms,furnish_furnished,furnish_partly_furnished,view_garden,view_panoramic,view_street,balcony,lift,air_conditioner,utility_double_comfort,heating_gas,heating_wall_heating,heating_combination,heating_ceiling,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,available_immediately,condition_of_property_renovated,parking,longitude,latitude,data_index,cluster
9,10.72580645,1,0,2.0,1.0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,19.069523,47.499779499999995,9,4
37,11.16666667,1,0,1.0,2.0,0.0,0.0,1.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.05819,47.498288,37,4
44,7.58490566,1,0,1.0,3.0,0.0,1.0,0.0,0,0,1,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.049162399999997,47.5124995,44,1
45,15.0,1,0,3.0,3.0,0.0,0.0,1.0,0,0,1,1.0,1.0,0.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1.0,19.032098100000002,47.5072763,45,0
49,9.763157895,1,0,1.0,4.0,0.0,1.0,0.0,0,0,1,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,1.0,19.0693907,47.51867139,49,4
97,7.7241379310000005,1,0,3.0,1.0,1.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.049802800000002,47.514005299999994,97,1
108,12.5,1,0,2.0,2.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.072024,47.504225700000006,108,0
109,6.7,1,0,2.0,4.0,0.0,0.0,1.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0630782,47.52883129999999,109,1
110,9.714285713999999,1,0,1.0,3.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0670591,47.512111,110,4
111,6.925373134,1,0,2.0,3.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0709015,47.491750399999994,111,1
115,9.28,1,0,1.0,3.0,0.0,0.0,1.0,0,1,1,0.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0362538,47.5185701,115,1
118,7.732142857,1,0,2.0,3.0,0.0,0.0,1.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.028749800000003,47.490947999999996,118,1
128,13.15,1,0,1.0,3.0,1.0,1.0,0.0,0,0,0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.067720899999998,47.4999192,128,6
135,11.89230769,1,0,3.0,3.0,0.0,1.0,0.0,0,0,0,0.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,19.046437,47.502695,135,6
151,10.61538462,1,0,2.0,1.0,0.0,1.0,0.0,0,1,1,1.0,1.0,1.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0608395,47.506915500000005,151,4
154,10.30769231,1,0,1.0,9.0,0.0,1.0,0.0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,19.0553575,47.5145104,154,5
155,11.23636364,1,0,2.0,2.0,0.0,0.0,1.0,1,0,1,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.0502184,47.505178,155,4
157,9.512820513,1,0,1.0,1.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.06106007,47.48693379,157,4
187,11.97183099,1,0,3.0,4.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1,0.0,19.065122600000002,47.492449,187,6
196,11.44186047,1,0,1.0,4.0,2.0,1.0,0.0,1,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.048156,47.472177,196,6
197,11.31707317,1,0,1.0,3.0,1.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.1068659,47.463192299999996,197,4
208,5.590361446,1,0,2.0,2.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0723778,47.4965668,208,1
213,11.04285714,1,0,2.0,4.0,0.0,0.0,1.0,0,1,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0274995,47.5152015,213,6
217,20.31428571,1,0,1.0,5.0,1.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.052907,47.495042,217,3
227,11.15384615,1,0,2.0,3.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0515638,47.494310799999994,227,4
244,9.271428571,1,0,2.0,2.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.0590554,47.4996847,244,4
255,9.984615385,1,0,2.0,2.0,0.0,1.0,0.0,0,0,0,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0761401,47.4895974,255,4
265,8.553846154,1,0,1.0,4.0,1.0,0.0,1.0,0,0,1,1.0,1.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,19.056766699999997,47.4936661,265,1
273,20.31428571,1,0,1.0,5.0,1.0,1.0,0.0,0,1,0,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.052784699999997,47.49546470000001,273,3
276,13.97619048,1,0,2.0,1.0,0.0,1.0,0.0,0,0,1,0.0,1.0,0.0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,1,0.0,19.0495759,47.5092799,276,0
281,11.94666667,1,0,3.0,1.0,0.0,1.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,0.0,19.061165300000003,47.50523,281,0
284,9.020833332999999,1,0,2.0,3.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1,1.0,19.034191,47.454662899999995,284,1
