ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF per month),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Lift,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Furnished,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Heating: central heating,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Orientation: North,Orientation: South,Orientation: East,Orientation: West,Orientation: Northeast,Orientation: Northwest,Orientation: Southwest,Orientation: Southeast,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport,Distance to Eco Zone,Distance to Crime Pot,Distance to Uni1,Distance to Uni2,Distance to Uni3,Distance to Uni4,Distance to Uni5,Distance to Uni6,Distance to Uni7,Distance to Uni8,Distance to Uni9,Distance to Uni10,Distance to Uni11,Distance to Uni12,Distance to Uni13,Distance to Uni14,Distance to Uni15,Distance to Uni16,Distance to Uni17,Distance to Uni18,Distance to Uni19,Distance to Uni20,Distance to Uni21,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,157,1592.356688, Grassalkovich út,-1,-1,1,street view,0,0,1,-1,-1,-1,-1,5 + 1 half room,5,1,renovated,0,0,1,0,0,0,not specified,0,0,0,-1,1,1,-1,central heating,0,0,0,0,1,-1,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Busz   135   166    Éjszakai   966   ,47.400066,19.114332,47.400066,19.114332,1238,23,0.006392215,11.74435533,11.49858832,13.12456916,13.13278916,11.22829944,0.994152362,11.75180935,11.19206518,10.93157632,10.93157632,10.09588892,12.0429477,10.92184002,11.92694475,12.19560538,10.49152745,9.621513655,12.07811216,12.46979556,18.58637089,10.66573183,13.23982256,15.93253409,9.349974601,16.07755546,10.8391247,10.3329991,12.3979525,10,12,2,4,4,2,3,5,0,0,0,1,0,7,0,1,21
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270000,190,1421.052632, Barátka utca,-1,-1,1,garden view,1,0,0,-1,-1,available,1,5 + 2 half room,5,2,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,0,4,-1,gázkazán,0,0,0,0,0,no,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1, Busz   67   ,47.475,19.23269,47.475,19.23269,1173,17,1.420041157,13.88280926,11.56310331,13.79654866,15.90754063,4.306575122,11.84699071,13.01531175,12.71290477,12.823114,12.823114,13.33524525,8.923347244,12.37665663,8.114823371,14.04979952,13.1964105,12.05490415,13.0331732,12.96096998,16.55997602,12.94481747,10.11987288,18.72709646,11.09667578,16.28361166,12.68378212,12.48927297,15.79557896,18,39,0,3,21,0,3,13,0,2,1,5,5,80,0,9,46
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000,44,2954.545455, Templom utca,-1,-1,1,garden view,1,0,0,-1,-1,not available,0,2 room,2,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,0,1,-1,natural gas (convector),1,0,0,0,0,no,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion not possible,0, Busz   135   166    Éjszakai   966   ,47.40122,19.116419,47.40122,19.116419,1238,23,0.202648032,11.69271637,11.40553901,13.05600509,13.10479504,11.0342438,1.180595448,11.68307526,11.12300274,10.86724299,10.86724299,10.05120908,11.90582136,10.84873715,11.77991822,12.14213391,10.43948061,9.553283021,12.00644876,12.39293421,18.50118531,10.6065519,13.11194642,15.92052113,9.263522211,16.01830599,10.7728887,10.26759836,12.37779857,8,11,2,4,4,2,3,3,0,0,0,1,0,5,0,1,20
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290000,130,2230.769231, Nádasdy utca,-1,-1,1,not specified,0,0,0,-1,-1,available,1,4 room,4,0,mint,0,0,0,0,0,1,not specified,0,0,0,-1,1,2,-1,combination boiler,0,0,1,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1, Busz   54   55   194   194B   199    Éjszakai   948   999   ,47.44038,19.143572,47.44038,19.143572,1194,19,0.857455106,9.364994422,8.13585875,10.23872381,11.22407796,8.177724546,4.347258313,8.955302971,8.434015291,8.313631656,8.313631656,8.056580124,7.67046223,8.089048277,7.367609236,9.735372867,8.222906812,7.052598332,9.186407278,9.427177036,15.12391489,8.201584044,9.018530961,14.2527192,6.355381701,13.26941421,8.18317893,7.749940094,10.73575283,15,16,1,2,20,0,0,15,0,2,0,0,5,27,0,10,55
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613700,200,3068.5, Kenyeres utca,-1,-1,-1,not specified,0,0,0,-1,-1,available,1,5 + 1 half room,5,1,renovated,0,0,1,0,0,0,full comfort,0,1,0,AA++,0,1,-1,combination boiler,0,0,1,0,0,-1,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Villamos   17   19   41    Busz   160   260   260A   9   29   109   111    Éjszakai   923   934   960   ,47.53736,19.035591,47.53736,19.035591,1034,3,1.017624608,4.68053718,5.396142307,3.292718444,4.082591527,19.63849553,0.45468543,4.652072448,5.210209423,5.446173186,5.446173186,6.36925244,7.426425369,5.513913274,8.233649826,4.217604859,5.913904731,6.768356008,4.360475342,4.069880156,3.078395343,5.709515412,6.288953693,4.051782186,7.217849812,0.364981002,5.545184744,6.047339716,4.955164103,141,47,2,29,26,4,14,23,1,2,91,61,10,208,0,17,507
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000,170,823.5294118, Bekecs utca,-1,-1,1,garden view,1,0,0,-1,-1,not available,0,1 + 1 half room,1,1,in medium condition,0,0,0,1,0,0,full comfort,0,1,0,-1,1,1,-1,combination boiler,0,0,1,0,0,no,separate,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Hév   H9    Busz   31    Éjszakai   931   ,47.53417,19.20677,47.53417,19.20677,1162,16,6.476491896,12.44579939,9.924664046,11.50564612,14.15603326,11.16300898,11.79601927,11.41234393,11.40711829,11.69184848,11.69184848,12.77154678,6.819543227,11.19363864,6.199015332,12.37873452,12.38148111,11.63514245,11.23149661,10.90112544,11.89006246,11.99062283,7.098868535,16.30495968,10.81599191,12.94053094,11.5898068,11.67876928,14.43444087,6,1,0,0,2,0,0,2,0,0,0,1,0,7,0,0,22
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430000,205,2097.560976, Hűvösvölgyi út,-1,-1,1,not specified,0,0,0,-1,-1,not available,0,7 room,7,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,-1,0,3,-1,gáz (cirko),1,0,0,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Villamos   56   56A   59B   61    Busz   129   29    Éjszakai   956   ,47.52746,18.981546,47.52746,18.981546,1021,2,3.128737781,6.229919696,8.210949731,5.95073703,4.342885965,22.61656472,4.660123729,6.86890341,7.294068319,7.322851133,7.322851133,7.535754871,10.95033156,7.653262264,11.77389937,5.917724364,7.333452647,8.514303464,6.775125693,6.791972657,6.658845584,7.376271684,10.05491033,1.400767477,9.304177772,4.037729781,7.462310961,7.842753341,4.959006493,16,32,2,7,56,4,0,12,0,2,3,2,2,63,0,11,223
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,150,4000, Sashegyi út,-1,-1,-1,panoramic,0,1,0,-1,-1,not available,0,4 room,4,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,0,2,-1,central heating,0,0,0,0,1,no,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion not possible,0, Villamos   59   59A   59B    Busz   8E    Éjszakai   908   ,47.4866,19.01334,47.4866,19.01334,1124,12,1.318631899,3.016300845,5.546598181,4.313131708,1.851010136,18.73811142,3.631082491,4.050589476,4.087953506,3.856809129,3.856809129,3.216753959,8.690334846,4.352773259,9.415400382,3.138830648,3.347969299,4.484644739,4.25939464,4.65967593,8.934398876,3.645215892,8.44217663,3.735294357,5.439456723,5.521789888,3.980925459,4.072030643,1.120695371,79,64,1,17,49,6,8,15,2,2,23,31,10,108,0,8,379
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980000,260,3769.230769, Verecke út 97,-1,-1,1,panoramic,0,1,0,-1,-1,available,1,6 room,6,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,0,5,-1,combination boiler,0,0,1,0,0,no,separate and together too,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,loft conversion,1, Busz   11   ,47.532917,18.999174,47.532917,18.999174,1025,2,1.672057623,5.599360459,7.26025798,4.962051619,3.991595083,21.71832759,3.218947909,6.05921501,6.544075908,6.640402101,6.640402101,7.09703579,9.808026922,6.89891521,10.6314099,5.218044608,6.801448395,7.915196925,5.900272015,5.825265147,5.235688002,6.764301687,8.822221227,1.9040059,8.613070566,2.648128027,6.77228494,7.206143743,4.77533611,21,21,2,7,32,1,0,4,0,0,2,2,1,43,0,9,213
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290000,180,1611.111111, Mária királyné útja,-1,-1,1,garden view,1,0,0,-1,-1,available,1,3 room,3,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,0,3,-1,combination boiler,0,0,1,0,0,no,together,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1, Busz   148   152    Éjszakai   948   ,47.4008,19.09179,47.4008,19.09179,1213,21,1.417988321,11.08324187,11.20205141,12.59193134,12.27362631,12.78514521,0.613498579,11.23416292,10.68376794,10.38591445,10.38591445,9.398431817,12.18809375,10.45212911,12.18680739,11.5449121,9.84865944,9.12851625,11.58231722,12.01556077,18.1656951,10.07988228,13.27218998,14.94063051,9.024221226,15.44566453,10.31093229,9.804556072,11.48622592,10,23,2,1,7,2,3,2,0,0,0,1,0,37,0,2,22
