ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF millions),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport,Distance to Eco Zone,Distance to Crime Pot,Distance to Uni1,Distance to Uni2,Distance to Uni3,Distance to Uni4,Distance to Uni5,Distance to Uni6,Distance to Uni7,Distance to Uni8,Distance to Uni9,Distance to Uni10,Distance to Uni11,Distance to Uni12,Distance to Uni13,Distance to Uni14,Distance to Uni15,Distance to Uni16,Distance to Uni17,Distance to Uni18,Distance to Uni19,Distance to Uni20,Distance to Uni21,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8,90,508888.8889, Debercsény utca 47,-1,-1,1,not specified,0,0,0,-1,-1,-1,3 room,3,0,newly built,1,0,0,0,0,0,double comfort,1,0,0,-1,1,-1,gáz (cirko),1,0,0,0,not specified,separate and together too,1,0,-1,-1,-1,-1,-1, Busz   162   197   262   298   ,47.471317,19.30041,47.471317,19.30041,1171,17,1.162447246,18.97244371,16.61350768,18.81221142,20.99171001,5.131280094,16.62314889,18.08750068,17.80108874,17.92004713,17.92004713,18.44059824,13.83507761,17.46843378,13.01247527,19.12661264,18.30219799,17.16079926,18.08955746,17.99096388,21.09046553,18.04775799,14.91808048,23.77434021,16.20281489,21.16959742,17.78133974,17.59372656,20.89672798,4,7,0,1,4,0,2,2,0,0,1,1,0,4,0,0,24
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,275,836363.6364, Géza fejedelem útja,-1,-1,1,panoramic,0,1,0,-1,available,1,6 room,6,0,newly built,1,0,0,0,0,0,luxury,0,0,1,AA++,3,-1,ceiling heating / cooling,0,0,0,1,no,not specified,-1,-1,-1,-1,-1,-1,-1, Busz   157   157A   ,47.56402,18.93843,47.56402,18.93843,1029,2,4.360797308,11.28642809,12.94847794,10.65381659,9.505385045,27.39177627,6.634824495,11.78160329,12.2635917,12.34791203,12.34791203,12.69362597,15.28972957,12.61938595,16.10120298,10.92418942,12.45174827,13.60026419,11.61784488,11.51753967,8.663890175,12.45017379,14.15428991,6.587548426,14.32701985,7.930205825,12.4820074,12.90234699,10.15378397,5,10,1,0,1,1,6,3,0,2,0,3,1,27,0,2,101
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,123,804878.0488, Kocsis Sándor út 176,-1,-1,-1,not specified,0,0,0,-1,-1,-1,4 room,4,0,newly built,1,0,0,0,0,0,not specified,0,0,0,-1,-1,-1,not specified,0,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1, Busz   260   ,47.56918,19.006062,47.56918,19.006062,1037,3,0.48874074,8.746643743,9.534133662,7.46591162,7.664448326,23.5130291,1.598226434,8.817601427,9.37300032,9.591962005,9.591962005,10.41378883,11.18659031,9.683573165,11.94588842,8.293652446,9.998407453,10.91945335,8.533607905,8.241055916,3.670962992,9.83204687,9.883573515,5.94497372,11.39247992,4.435120933,9.697294153,10.19394017,8.530150398,11,9,1,1,1,1,0,6,0,0,1,3,2,29,0,6,34
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,110,1090909.091, Botfalu utca,-1,-1,1,garden view,1,0,0,-1,-1,-1,2 room,2,0,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,-1,-1,combination boiler,0,0,1,0,no,separate,1,0,-1,-1,-1,loft conversion possible,1, Busz   53   ,47.47565,19.00624,47.47565,19.00624,1112,11,1.411823883,4.068105358,6.495933304,5.537274511,3.178866055,18.95081973,4.4822129,5.081838685,5.007844599,4.71654089,4.71654089,3.764201395,9.594387198,5.215431629,10.27437303,4.280881999,4.060109902,5.035270864,5.340837407,5.784730343,10.2612567,4.429817687,9.48667946,4.699500057,5.987508922,6.843091229,4.820778079,4.787721114,2.399302792,38,45,2,12,26,1,4,11,0,0,7,28,10,264,0,7,573
4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,342,435672.5146, Csillaghegy,-1,-1,-1,not specified,0,0,0,-1,-1,-1,5 room,5,0,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,4,-1,combination boiler,0,0,1,0,not specified,together,0,1,-1,-1,-1,loft conversion,1,-1,47.585827,19.051441,47.585827,19.051441,1039,3,2.337804794,9.930306247,9.697864127,8.264546221,9.6013172,22.25989975,2.185900252,9.586164638,10.1258118,10.44342084,10.44342084,11.58412024,10.23206998,10.34490896,10.8408975,9.474710891,11.07160715,11.66896659,9.227926667,8.781853402,2.639594267,10.77891103,8.81277729,8.921634599,11.84016362,5.883767184,10.50582836,11.00727891,10.47151776,70,32,4,10,30,2,4,11,1,0,5,17,5,97,0,5,164
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,430,511627.907, Hegyoldal utca,-1,-1,1,panoramic,0,1,0,-1,available,1,5 + 1 half room,5,1,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,3,-1,natural gas boiler,1,0,0,0,not specified,separate,1,0,-1,-1,-1,loft conversion,1, Busz   65   65A   ,47.53664,19.01671,47.53664,19.01671,1037,3,0.302871019,5.139620523,6.385142915,4.124001492,3.963252905,20.78780093,1.838603159,5.378762883,5.910446769,6.076258065,6.076258065,6.770537795,8.694041637,6.248112311,9.51142482,4.704569433,6.390169024,7.397677332,5.152767472,4.974806284,3.977362459,6.27056338,7.623824562,2.934013174,7.983338775,1.355791783,6.195123174,6.670787869,4.835069871,57,41,2,19,24,2,3,12,0,0,26,12,3,99,0,14,268
6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,265,898113.2075, II/A kerület – Remetekertváros,-1,-1,1,panoramic,0,1,0,-1,-1,-1,5 room,5,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,3,-1,natural gas boiler,1,0,0,0,no,separate and together too,1,0,-1,-1,-1,loft conversion not possible,0,-1,47.551865,18.95662,47.551865,18.95662,1028,2,3.688859061,9.368845822,11.07867076,8.780555237,7.586514805,25.53410222,5.700694828,9.880754313,10.35609616,10.43407942,10.43407942,10.77339882,13.51133324,10.71282037,14.32896799,9.010681397,10.53108714,11.6815923,9.726654204,9.644618181,7.386383063,10.53194614,12.42604388,4.695159274,12.41501902,6.160432591,10.56886931,10.98554335,8.245236663,30,28,0,5,24,1,6,16,0,0,4,3,1,42,0,5,220
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,202,257425.7426, Rákospalota,-1,-1,1,garden view,1,0,0,-1,available,1,5 room,5,0,in medium condition,0,0,0,1,0,0,double comfort,1,0,0,-1,2,-1,natural gas boiler,1,0,0,0,not specified,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.562843,19.137367,47.562843,19.137367,1152,15,0.405737481,9.83461806,7.926396822,8.285435551,10.87798502,16.28980053,7.669277799,8.922290007,9.216355461,9.587136949,9.587136949,10.91818254,6.15733097,9.192606297,6.278741574,9.554210144,10.38989094,10.23373877,8.595170073,8.102950331,6.265789203,9.972019991,5.144890944,12.11589784,9.816490269,8.359615858,9.552262711,9.890327255,11.4730739,22,11,0,6,10,1,2,8,2,1,1,2,1,45,0,5,81
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,65,306153.8462, Őzsuta utca,-1,-1,1,panoramic,0,1,0,-1,not available,0,1 + 1 half room,1,1,needs renovation,0,0,0,0,1,0,not specified,0,0,0,-1,1,-1,not specified,0,0,0,0,no,together,0,1,-1,-1,-1,-1,-1,-1,47.57334,18.99074,47.57334,18.99074,1037,3,0.360852222,9.655254939,10.62253928,8.487219424,8.39390011,24.70577139,2.573542565,9.814106734,10.36213589,10.5571729,10.5571729,11.29287103,12.38564342,10.68516449,13.15254916,9.21359753,10.90770916,11.8847856,9.55002087,9.290881362,4.896906017,10.77267391,11.09731692,6.301610778,12.41010831,5.449493984,10.66951349,11.15692514,9.232271929,5,2,0,0,0,0,0,4,0,0,0,0,1,4,0,0,14
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,193,569948.1865, Újvár utca,-1,-1,1,garden view,1,0,0,-1,-1,-1,5 room,5,0,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,3,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,-1,-1, Busz   218   ,47.58307,19.00316,47.58307,19.00316,1037,3,0.938874127,10.26401219,10.91551867,8.922876754,9.223019787,24.66001297,1.37687974,10.28676536,10.84529172,11.07873527,11.07873527,11.93931423,12.34453902,11.14612761,13.07286046,9.807375532,11.51268846,12.40279773,9.989292897,9.669706526,4.459063949,11.33183174,10.99306521,7.438077048,12.83768857,5.920349834,11.17952708,11.68042964,10.08962094,4,9,1,1,1,0,0,1,0,0,1,2,1,10,0,4,30
