ID,Apartment,House,Room,Price per month,Size(sqm),Price per sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Number of rooms,Number of seperate rooms,Number ofhalf rooms,Type of the building,Brick apartment,Block apartment,Deposit,Utilities,Common cost,Furniture,Furnished,Equipped,Partly furnished,Empty,Floor,Balconies,View,View: Courtyard,"View: Courtyard, sunny","View: Courtyard, not sunny",View: Danube,View: Garden,View: Roof,View: Square,View: Panoramic,View: Park,View: Street,"View: Street, quiet","View: Street, sunny",View: City,View: Hill,Shortest rental period,Children welcomed,American kitchen,Can be an office,Foreigners welcomed,Washing machine,Details,Area,Transportation,Near universities,Latitude,Longitude,Lats,Lons,Postcode,District,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
1512,1,0,0,433,42,10.30952381,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Hamzsabégi út,"
                1 room                 + 1 half room            ",1,1,Brick Apartment,1,0,866,46,31,Furnished or unfurnished,1,0,0,0,5,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,At least one year,-1,-1,-1,-1,-1,fh.alberlet.hu,,,,47.4729202,19.0379231,47.4729202,19.0379231,1114,11,576,174,11,124,103,31,38,53,5,2,154,288,20,549,3,36,1776
1513,1,0,0,773,57,13.56140351,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Csata utca,"
                3 rooms                            ",3,0,Brick Apartment,1,0,1546,46,37,"Furnished, equipped",1,1,0,0,1,-1,Overlooking the garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,-1,pesthouse.alberlet.hu,,,-1,47.5293175,19.0783254,47.5293175,19.0783254,1135,13,297,125,6,79,132,37,30,39,13,10,62,194,17,271,1,59,712
1514,1,0,0,618,96,6.4375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fö utca,"
                3 rooms                            ",3,0,Brick Apartment,1,0,618,155,46,Partly furnished,0,0,1,0,3,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,-1,-1,1,-1,-1,-1,,,,47.510367,19.0382749,47.510367,19.0382749,1027,2,1584,189,19,308,202,111,110,85,19,20,291,503,22,461,6,33,1962
1515,1,0,0,495,42,11.78571429,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Béke utca,"
                2 rooms                            ",2,0,Brick Apartment,1,0,989,62,25,"Furnished, equipped",1,1,0,0,2,-1,Street and courtyard,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,-1,-1,1,"Perfect quiet flat at a perfect location for staying in Bp.   
With 2 rooms. Low costs.   
Available immediatelly.   
Only for long term. Two month deposit and first month rental price.",,,"Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.538 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 0.827 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 0.250 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.374 km )Baptista Teológiai Akadémia - BTA ( 1.267 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.707 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.707 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.357 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 0.882 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.150 km )Közép-Európai Egyetem - KEE ( 1.063 km )Károli Gáspár Református Egyetem - KRE ( 1.866 km )Károli Gáspár Református Egyetem - KRE BTK ( 1.833 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 0.386 km )McDaniel College - MCDC ( 1.425 km )Magyar Képzőművészeti Egyetem - MKE ( 0.462 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.543 km )Pázmány Péter Katolikus Egyetem - PPKE ( 1.618 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.759 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.584 km )Semmelweis Egyetem - SE EFK ( 1.427 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.213 km )Szent István Egyetem - SZIE ÁOTK ( 1.302 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.596 km )Central European University - CEU ( 1.063 km )

                    More
                    



",47.5446996,19.0878065,47.5446996,19.0878065,1131,13,155,124,4,60,93,13,18,29,3,14,28,91,12,238,0,67,568
1516,1,0,0,371,35,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Csertő park,"
                1 room                            ",1,0,Block Apartment,0,1,742,62,-1,"Furnished, equipped",1,1,0,0,11,-1,Panoramic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,-1,-1,1,1,"For rent: Great condition, comfortable fully furnished studio apartment with a stunning panorama to the Buda hills and the Parliament!    

Aside from the great infrastructure of several supermarkets (Spar, Penny Market) eateries, pharmacies, an IKEA and a mall (Árkád) the flat is located in a nice, quite neighborhood facing a square. The residents are calm and quite, the place is a real island of peace after a long day's work.    

The home is fully furnished: electric stove, fridge, microwave, washing machine, dining table with chairs, sofa bed, all you could need.    

Perfect for young couples, singles or uni students.",,,"Budapesti Gazdasági Főiskola - BGF KVIFK ( 0.444 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 1.409 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 1.838 km )Közép-Európai Egyetem - KEE ( 1.160 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 1.536 km )Magyar Képzőművészeti Egyetem - MKE ( 1.523 km )Central European University - CEU ( 1.160 km )

                    More
                    



",47.5108419,19.1431049,47.5108419,19.1431049,1144,14,99,94,4,17,41,5,3,24,3,2,16,20,17,345,0,16,157
1517,1,0,0,433,54,8.018518519,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Üllői út,"
                2 rooms                            ",2,0,Brick Apartment,1,0,866,62,31,"Furnished, equipped",1,1,0,0,2,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,-1,-1,-1,fh.alberlet.hu,,,,47.4669079,19.12111,47.4669079,19.12111,1091,9,106,88,4,26,58,11,19,32,5,6,10,18,17,304,0,16,259
1518,1,0,0,526,52,10.11538462,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Teréz körút,"
                2 rooms                            ",2,0,Brick Apartment,1,0,1051,62,31,Empty,0,0,0,1,1,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,1,-1,-1,-1,,,,47.5084735,19.0583047,47.5084735,19.0583047,1066,6,1954,256,32,360,241,132,139,106,21,20,386,638,18,425,7,39,2392
1519,1,0,0,1082,85,12.72941176,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Belgrád rakpart,"
                3 rooms                            ",3,0,Brick Apartment,1,0,2164,77,77,"Furnished, equipped",1,1,0,0,4,-1,Panoramic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,budapestalberletek.alberlet.hu,,,,47.4887515,19.0542845,47.4887515,19.0542845,1056,5,1966,322,33,352,227,123,142,120,18,15,339,609,23,540,5,40,2599
1520,1,0,0,1005,100,10.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Szent István körút,"
                3 rooms                 + 1 half room            ",3,1,Brick Apartment,1,0,2009,77,68,"Furnished, equipped",1,1,0,0,3,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,budapestalberletek.alberlet.hu,,,"Budapesti Corvinus Egyetem - BKÁE TK BCE TK ( 1.929 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME VIK ( 1.721 km )Eötvös Loránd Tudományegyetem - ELTE IK ( 1.133 km )Eötvös Loránd Tudományegyetem - ELTE TÁTK ( 1.133 km )Eötvös Loránd Tudományegyetem - ELTE TTK ( 1.133 km )Károli Gáspár Református Egyetem - KRE HTK ( 1.876 km )Pázmány Péter Katolikus Egyetem - PPKE ITK ( 1.660 km )Semmelweis Egyetem - SE ( 1.867 km )Semmelweis Egyetem - SE ÁOK ( 1.867 km )Semmelweis Egyetem - SE FOK ( 1.867 km )Semmelweis Egyetem - SE GYTK ( 1.867 km )Wekerle Sándor Üzleti Főiskola - WSUF ( 1.538 km )

                    More
                    



",47.5119888,19.0514866,47.5119888,19.0514866,1137,13,1808,222,26,334,213,126,136,97,21,20,327,594,18,482,7,36,2137
1521,1,0,0,742,70,10.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tóth Kálmán utca,"
                2 rooms                 + 1 half room            ",2,1,Brick Apartment,1,0,1484,62,31,"Furnished, equipped",1,1,0,0,5,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,At least one year,-1,-1,-1,-1,-1,fh.alberlet.hu,,,,47.4736678,19.074989,47.4736678,19.074989,1097,9,811,226,17,123,146,37,81,68,8,3,220,285,12,457,2,24,1575
1522,1,0,0,495,64,7.734375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fő utca,"
                2 rooms                 + 1 half room            ",2,1,Brick Apartment,1,0,989,62,62,"Furnished, equipped",1,1,0,0,2,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,At least one year,-1,-1,-1,Yes,-1,fh.alberlet.hu,,,,47.5041548,19.0383974,47.5041548,19.0383974,1011,1,1765,214,22,326,210,122,123,95,21,22,329,560,19,450,6,31,2331
1523,1,0,0,680,68,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kacsa utca,"
                2 rooms                 + 1 half room            ",2,1,Brick Apartment,1,0,1360,62,31,"Furnished, equipped",1,1,0,0,6,-1,Panoramic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,At least one year,-1,-1,-1,-1,-1,fh.alberlet.hu,,,,47.5099385,19.0361883,47.5099385,19.0361883,1027,2,1513,183,18,297,200,112,105,85,19,22,280,484,20,459,6,31,1979
1524,1,0,0,371,31,11.96774194,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orczy tér,"
                1 room                            ",1,0,Brick Apartment,1,0,742,31,28,"Furnished, equipped",1,1,0,0,0,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,1,-1,-1,-1,"- Rent: 375 Eur/ 120000 HUF 
- common cost: 9000 HUF ( including water,heating, building reception ) 
- size: 31 sqrm 
- Ground floor 
- Freshly-renovated studio apartment is available in the 8th district with great access to anywhere in the city.
- The f",,,,47.4890743,19.0916049,47.4890743,19.0916049,1086,8,944,233,15,154,164,39,85,76,13,3,208,248,31,471,2,27,1121
