ID,Type of properties,Price,Size(sqm),Price per sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Bedroom,Floor,Garage Optional,Parking place optional,View,View: Courtyard,View: Hills,View: Garden,View: Panoramic,View: Danube,View: Square,View: Street,Furniture: partly furnished,Elevator optional,Air conditioner optional,Details,Longitude,Latitude
0,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
1,2,89500,3,29833.33333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offering for sale a 33 sqm furnished apartment in district 6, Izabella utca next to Andrássy út. It is situated in a classical style building on the ground floor. The flat consists of a bedroom, a kitchen with dining area, and a bathroom with a toilet. Windows are facing to the the inner courtyard. Common charges: 8500 HUF /month including water fee and all utility costs. Heating: gas convector. Great opportunity for investment due to its perfect location. It could be a profitable investment or an ideal home as well. High rental potential. Andrássy út, which is a UNESCO World Heritage Site, is easy to reach from here. There are several coffee houses, restaurants and pedestrian areas in the district. Mostly classical-style villas and embassies are located here. The Heroes’ Square is also nearby, which is one of the most popular touristic sites of district 6. Városliget (City Park) provides several sport and entertainment opportunities (Museum of Fine Arts, Széchenyi Thermal Bath, Budapest Zoo and Botanical Garden). The district provides exceptionally good traffic opportunities: metro line no. 1, tram line no. 4 and 6., trolley line no. 76, train (Nyugati railway station). ",19.06660652,19.06660652
2,2,89500,4,22375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0.5,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale a 40 sqm apartment in district 9, Tűzoltó utca next to Corvin negyed. It is situated in a classical style building on the mezzaine floor. The flat consists of bedrooms, a kitchen with dining area, a bathroom and a toilet. Common charges: 8500 HUF /month including all utility costs. Heating: gas convector. Great opportunity for investment due to its perfect location and nice layout and design. It could be a profitable investment or an ideal home as well. High rental potential. The most popular part of the district is the inner part, within the boulevard. There are a lot of places to visit in Vámház körút, Üllői út, Ferenc körút and in the area bordered by the Danube. There are several touristic sites in this part of the district, like the monumental building complex of CET Shopping and Cultural Centre, the Museum of Applied Arts and the Great Market Hall. The river bank provides a wonderful view to Gellért Hill. The area bordered by Szabadság Bridge and Petőfi Bridge has exceptionally good traffic opportunities, thanks to Fővám tér, Corvin negyed and Kálvin tér. Metro lines no. 3 and 4 have several stations here. There are a lot of universities nearby, which makes the neighborhood ideal for students. ",19.06836007,19.06836007
3,2,91300,4,22825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offering for sale a 48 sqm renovated one bedroom courtyard facing property in Eötvös utca, close to Nyugati Railway Station and Oktogon. The apartment is situated on the 3rd floor in a nice classical building which does not have elevator. It contains a spacious livingroom with kitchen, a decent bedroom, a wardrobe and a bathroom. The property is located in a new built level which does not have usage permit and the entire top level is registered under one lot number (undivided common property).",19.05896836,19.05896836
4,2,89500,2,44750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,1,1, Garden,0,0,1,0,0,0,0,1,1,1,"We are offering for sale a 27 sqm studio on the Gellérth-hill. The flat situated on the ground floor. The flat consists of a kitchen, a room, and a bathroom. Great opportunity for investment.",19.03752509,19.03752509
5,2,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
6,2,95000,2,47500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are advertising for sale in the 5th district, next to the Danube, in the Havas street, a ground floor studio apartment with a gallery. The apartment is facing the courtyard, the building is in good condition. The 28m2 apartment has a gallery of about 15 square meters. Because of the location, it's a good investment. Easy to dispense. Close to Fővám Square, Váci Street. Walk 4 metro, 2 and 47-49 trams.",19.05418957,19.05418957
7,2,98800,3,32933.33333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,4,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer for sale a 32 sqm apartment in district 9., Lónyay utca, few steps from the Danube. This is sitauted in a classical building on the fourth floor, the windows are facing to the street. It consists of room with mezzanine floor, separated kitchen, bathroom and a balcony. The common cost is 9.500 HUF, it is included the unlimited water consumption.",19.06092645,19.06092645
8,2,92600,4,23150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offering for sale a 45 sqm apartment in district 7, Peterdy utca next to Városliget. It is situated in a classical building on the ground. The flat consists of 1 bedrooms, a living room, a kitchen, a bathroom with a toilet. Windows are facing to the inner courtyard. . Heating: a newly installed circo heating system. Great opportunity for investment due to its perfect location. It could be a profitable investment or an ideal home as well. High rental potential. The outer part of the 7th district has a lot of unique features, and it is a continuously developing area. Classic-style villas and newly-built houses are also can be found here. Any places here are easily reachable by public transport. There are universities nearby, and the apartments here are easy to rent out or sell. The district has several green areas with trees and parks. Metro line no. 2 and 4, bus line no. 7, tram line no. 4 and 6 and trolley-bus lines run here.",19.07993921,19.07993921
9,2,92600,6,15433.33333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale 60 sqm (34 sqm + 26 sqm) renovated property in Sobieski János utca close to Kerekerdő park, Nagyvárad tér and the Medical University. The duplex property has a street entrance so it could be an office as well. It consists of kitchen, bathroom and a gallery. You can form 2 rooms in the gallery. The apartment has been renovated with high-quality materials. The gas, water and electric system has been exchanged. Metro station and SOTE only few minutes by walk so it could be great opportunity for investment.",19.08129027,19.08129027
10,2,98500,3,32833.33333,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,3,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer for sale a 31 m2 furnished studio apartment on the 3rd floor. It is located at the beginning of Akácfa Street, 2 minutes walk from the Blaha Boulevard, near the Emke Hotel, in the middle of the party area. The common cost is 11500 HUF, which includes unlimited water consumption. The facade was renewed last year. Excellent investment, high rental yield.",19.06801904,19.06801904
11,2,97500,5,19500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale an unrenovated, 54 sqm apartment in Rottenbiller utca, close to Keleti Pályaudvar and Veterinary University, next to Rózsák tere. The street facing (Péterfy Sándor) apartment is situated on the 2nd floor in a nice classical style building which has got an elevator. The flat consists of 2 rooms, a hall, kitchen, bathroom. The common cost is 14.000 HUF (including water). Could be a great investment.",19.07641927,19.07641927
12,2,88200,2,44100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0.5,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer for sale a 28 sqm recently renovated apartment in disitrict 7., Csengery utca. This is situated in a classical buliidng on the mezzanine floor, the windows are facing to the street. It consists of room with open plan kichen and bathroom. The apartment is equipped with house central heating system.",19.06695732,19.06695732
13,2,89500,4,22375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,2,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offering for sale a 42 sqm apartment in district 7, Dembinszky utca next to Városliget. It is situated in a classical style building on the 2nd floor. The flat consists of a bedrooms, a kitchen, a dining area, a bathroom with a toilet. Common charges: 9450 HUF /month. Heating: gas convector. Price of furniture is included in the price. Great opportunity for investment due to its perfect location. It could be a profitable investment or an ideal home as well. High rental potential. The outer part of the 7th district has a lot of unique features, and it is a continuously developing area. Classic-style villas and newly-built houses are also can be found here. Any places here are easily reachable by public transport. There are universities nearby, and the apartments here are easy to rent out or sell. The district has several green areas with trees and parks. Metro line no. 2 and 4, bus line no. 7, tram line no. 4 and 6 and trolley-bus lines run here. ",19.08165086,19.08165086
14,2,98800,5,19760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,1,1, Panoramic,0,0,0,1,0,0,0,1,1,1,"We offer for sale a 50 sqm apartment in district 7., Wesselényi utca. This is situated in a good condition classical building on the fifth floor, the windows has a french panoramic. It consists of living room, kitchen, study, bathroom and bedroom. The apartment is equipped with gas convector. 7th District (Inner) The inner part of the 7th district is one of the most dynamically developing areas of Budapest with several music clubs, restaurants and coffee houses. One of the most popular entertainment areas of the city center, Gozsdu garden is also here. The most famous touristic site of the district is the Dohány Street Synagogue. Thanks to the easy availability of Deák Ferenc tér and Astoria, 3 metro lines, several tram and trolley lines are only a few minutes away. ",19.06125129,19.06125129
15,2,65000,3,21666.66667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,2,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale a 30 sqm apartment in district 13, Tisza utca. It is situated in a classical bauhaus style building on the 2nd floor. The flat consists of 1 bedroom ,a kitchen and a bathroom with a toilet. Windows are facing to the street. Common charges: 9000 HUF /month . Heating: gas convector Újlipótváros is located a few-minute walk away from the bank of the Danube, in a nice neighborhood with a lot of coffee houses and restaurants. Those who enjoy doing sports or other outdoor activities can easily get to Margaret Island, which provides a wide range of such opportunities. Besides the neighborhood the district is rich in entertainment (theatre, movie theatre, etc.) and shopping opportunities (e.g. West End shopping mall). Metro line no. 3, tram line no. 4 and 6 and trolley-bus line no. 76 have stops here, and there is a tram station as well. ",19.05866411,19.05866411
