ID,Apartment,House,Room,Price per month,Size(sqm),Price per sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Number of rooms,Number of seperate rooms,Number ofhalf rooms,Type of the building,Brick apartment,Block apartment,Deposit,Utilities,Common cost,Furniture,Furnished,Equipped,Partly furnished,Empty,Floor,Balconies,View,View: Courtyard,"View: Courtyard, sunny","View: Courtyard, not sunny",View: Danube,View: Garden,View: Roof,View: Square,View: Panoramic,View: Park,View: Street,"View: Street, quiet","View: Street, sunny",View: City,View: Hill,Shortest rental period,Children welcomed,American kitchen,Can be an office,Foreigners welcomed,Washing machine,Details,Area,Transportation,Near universities,Latitude,Longitude,Lats,Lons,Postcode,District,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Fuel,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
2505,1,0,0,556,30,18.53333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vámház körút,"
                1 room                 + 1 half room            ",1,1,Brick Apartment,1,0,1113,77,46,"Furnished, equipped",1,1,0,0,3,-1,To the courtyard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,budapestalberletek.alberlet.hu,,,"Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.373 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 0.695 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE BCE ( 1.770 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE GTK BCE GTK ( 1.770 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KTK BCE KTK ( 1.770 km )Budapesti Corvinus Egyetem - BKÁE TK BCE TK ( 1.993 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 1.121 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.669 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.312 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.312 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.090 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 0.944 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.840 km )Közép-Európai Egyetem - KEE ( 0.146 km )Károli Gáspár Református Egyetem - KRE ( 1.552 km )Károli Gáspár Református Egyetem - KRE BTK ( 1.660 km )Károli Gáspár Református Egyetem - KRE HTK ( 1.971 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 1.015 km )Magyar Képzőművészeti Egyetem - MKE ( 1.369 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.667 km )Pázmány Péter Katolikus Egyetem - PPKE ( 1.524 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.276 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.489 km )Semmelweis Egyetem - SE ( 1.994 km )Semmelweis Egyetem - SE ÁOK ( 1.994 km )Semmelweis Egyetem - SE EFK ( 1.440 km )Semmelweis Egyetem - SE FOK ( 1.994 km )Semmelweis Egyetem - SE GYTK ( 1.994 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.283 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 0.943 km )Central European University - CEU ( 0.146 km )

                    More
                    



",47.4878923,19.0589885,47.4878923,19.0589885,1053,5,1282,197,18,213,110,78,82,73,4,8,230,382,6,4,252,2,22,1580
2506,1,0,0,556,76,7.315789474,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Hollán Ernő utca,"
                3 rooms                 + 1 half room            ",3,1,Brick Apartment,1,0,1113,62,62,"Furnished, equipped",1,1,0,0,2,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,At least one year,-1,-1,-1,-1,-1,budapestalberletek.alberlet.hu,,,"Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.427 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 0.710 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 0.439 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.376 km )Baptista Teológiai Akadémia - BTA ( 1.489 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.553 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.553 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.217 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 0.786 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.278 km )Közép-Európai Egyetem - KEE ( 0.839 km )Károli Gáspár Református Egyetem - KRE ( 1.731 km )Károli Gáspár Református Egyetem - KRE BTK ( 1.728 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 0.440 km )McDaniel College - MCDC ( 1.578 km )Magyar Képzőművészeti Egyetem - MKE ( 0.678 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.503 km )Pázmány Péter Katolikus Egyetem - PPKE ( 1.525 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.590 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.490 km )Semmelweis Egyetem - SE EFK ( 1.354 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.145 km )Szent István Egyetem - SZIE ÁOTK ( 1.448 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.396 km )Central European University - CEU ( 0.839 km )

                    More
                    



",47.5157739,19.0511781,47.5157739,19.0511781,1136,13,682,73,10,140,104,33,46,36,13,8,128,277,6,13,207,5,16,698
2507,1,0,0,556,36,15.44444444,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Garay tér,"
                1 room                            ",1,0,Brick Apartment,1,0,1113,46,31,"Furnished, equipped",1,1,0,0,2,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,-1,-1,-1,budapestalberletek.alberlet.hu,,,,47.5038382,19.0849282,47.5038382,19.0849282,1076,7,492,91,9,86,80,19,51,37,8,2,84,134,12,8,169,2,14,665
2508,1,0,0,541,49,11.04081633,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Diós árok,"
                2 rooms                            ",2,0,Brick Apartment,1,0,1082,46,28,"Furnished, equipped",1,1,0,0,0,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,-1,-1,budapestalberletek.alberlet.hu,,,"Általános Vállalkozási Főiskola - ÁVF ( 0.377 km )Budapesti Corvinus Egyetem - BCE-KIK ( 0.743 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE BCE ( 1.730 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem  - BKÁE ÉTK BCE ÉTK ( 0.281 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE GTK BCE GTK ( 1.730 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KERTK BCE KERTK ( 0.281 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KTK BCE KTK ( 1.730 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE TÁJK BCE TÁJK ( 0.281 km )Budapesti Corvinus Egyetem - BKÁE TK BCE TK ( 1.818 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ( 1.367 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ÉSZK ( 1.367 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME GTK ( 1.367 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME KSK ( 1.367 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME TTK ( 1.367 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME VIK ( 1.311 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-ÉŐK ( 1.367 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-VBK ( 1.367 km )Eötvös Loránd Tudományegyetem - ELTE IK ( 1.846 km )Eötvös Loránd Tudományegyetem - ELTE TÁTK ( 1.846 km )Eötvös Loránd Tudományegyetem - ELTE TTK ( 1.846 km )Fernuniversitätgesamthochschule in Hagen - FU ( 0.377 km )Gábor Dénes Főiskola - GDF ( 1.344 km )Számalk Rt. School of Economic Studies - SES ( 1.700 km )

                    More
                    



",47.5090595,18.9982778,47.5090595,18.9982778,1125,12,46,54,0,7,39,4,8,12,0,0,21,12,2,0,113,1,10,436
2509,1,0,0,433,46,9.413043477999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Százház utca,"
                2 rooms                            ",2,0,Brick Apartment,1,0,866,46,37,"Empty, equipped",0,1,0,1,6,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,-1,-1,-1,budapestalberletek.alberlet.hu,,,"Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.984 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 1.247 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.272 km )Budapesti Műszaki Főiskola - BMF KGK ( 1.656 km )Baptista Teológiai Akadémia - BTA ( 0.744 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 1.607 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 0.543 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 1.286 km )McDaniel College - MCDC ( 0.239 km )Magyar Képzőművészeti Egyetem - MKE ( 1.080 km )Magyar Táncművészeti Főiskola - MTF ( 1.819 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.583 km )Pázmány Péter Katolikus Egyetem - PPKE ( 1.925 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.911 km )Semmelweis Egyetem - SE EFK ( 1.712 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.593 km )Szent István Egyetem - SZIE ÁOTK ( 0.344 km )Szent István Egyetem - SZIE-YMÉK ( 0.988 km )Wesley János Lelkészképző Főiskola - WJLF ( 1.626 km )

                    More
                    



",47.5028689,19.0880127,47.5028689,19.0880127,1076,7,361,78,6,68,71,17,42,30,9,2,71,108,14,9,192,1,13,551
2510,1,0,0,340,38,8.947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Benő utca,"
                1 room                            ",1,0,Brick Apartment,1,0,680,46,-1,"Furnished, equipped",1,1,0,0,1,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,-1,1,-1,fh.alberlet.hu,,,"Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 0.739 km )Általános Vállalkozási Főiskola - ÁVF ( 1.690 km )Budapesti Corvinus Egyetem - BCE-KIK ( 1.435 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 1.739 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE BCE ( 0.736 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem  - BKÁE ÉTK BCE ÉTK ( 1.760 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE GTK BCE GTK ( 0.736 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KERTK BCE KERTK ( 1.760 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KTK BCE KTK ( 0.736 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE TÁJK BCE TÁJK ( 1.760 km )Budapesti Corvinus Egyetem - BKÁE TK BCE TK ( 0.980 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 1.726 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ( 1.112 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ÉSZK ( 1.112 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME GTK ( 1.112 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME KSK ( 1.112 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME TTK ( 1.112 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME VIK ( 1.666 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-ÉŐK ( 1.112 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-VBK ( 1.112 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.434 km )Budapesti Műszaki Főiskola - BMF KGK ( 1.806 km )Eötvös Loránd Tudományegyetem - ELTE ( 0.412 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 0.412 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 0.539 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 0.957 km )Fernuniversitätgesamthochschule in Hagen - FU ( 1.690 km )Közép-Európai Egyetem - KEE ( 1.006 km )Károli Gáspár Református Egyetem - KRE ( 0.661 km )Károli Gáspár Református Egyetem - KRE BTK ( 0.890 km )Károli Gáspár Református Egyetem - KRE HTK ( 1.040 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 1.477 km )Magyar Képzőművészeti Egyetem - MKE ( 1.973 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.235 km )Pázmány Péter Katolikus Egyetem - PPKE ( 0.899 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 0.285 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 0.880 km )Semmelweis Egyetem - SE ( 1.158 km )Semmelweis Egyetem - SE ÁOK ( 1.158 km )Semmelweis Egyetem - SE EFK ( 0.986 km )Semmelweis Egyetem - SE FOK ( 1.158 km )Semmelweis Egyetem - SE GYTK ( 1.158 km )Színház- és Filmművészeti Egyetem - SZFE ( 0.997 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 0.127 km )Central European University - CEU ( 1.006 km )

                    More
                    



",47.51552589999999,19.19694,47.51552589999999,19.19694,1165,16,28,28,1,6,20,1,2,6,2,0,3,4,0,2,58,0,2,50
2511,1,0,0,1051,115,9.139130435,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wesselényi utca,"
                3 rooms                 + 1 half room            ",3,1,Brick Apartment,1,0,2102,124,71,"Furnished, equipped",1,1,0,0,2,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,At least one year,Yes,-1,-1,-1,1,bojtimaria.alberlet.hu,,,"Budapesti Gazdasági Főiskola - BGF KVIFK ( 0.124 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 1.110 km )Baptista Teológiai Akadémia - BTA ( 1.954 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.819 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 1.498 km )Közép-Európai Egyetem - KEE ( 0.895 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 1.210 km )Magyar Képzőművészeti Egyetem - MKE ( 1.256 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.869 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.763 km )Central European University - CEU ( 0.895 km )

                    More
                    



",47.49606106,19.05996892,47.49606106,19.05996892,1075,7,1528,183,26,259,136,94,114,69,8,13,235,418,6,8,203,4,17,1472
2512,1,0,0,866,92,9.413043477999999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Szilágyi Erzsébet fasor,"
                2 rooms                 + 1 half room            ",2,1,Brick Apartment,1,0,1731,46,37,"Empty, equipped",0,1,0,1,1,-1,"Street, sunny",0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,-1,-1,Yes,Yes,-1,-1,,,"Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 0.871 km )Általános Vállalkozási Főiskola - ÁVF ( 1.588 km )Budapesti Corvinus Egyetem - BCE-KIK ( 1.220 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE BCE ( 0.418 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem  - BKÁE ÉTK BCE ÉTK ( 1.809 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE GTK BCE GTK ( 0.418 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KERTK BCE KERTK ( 1.809 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KTK BCE KTK ( 0.418 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE TÁJK BCE TÁJK ( 1.809 km )Budapesti Corvinus Egyetem - BKÁE TK BCE TK ( 0.170 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ( 0.596 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ÉSZK ( 0.596 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME GTK ( 0.596 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME KSK ( 0.596 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME TTK ( 0.596 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME VIK ( 0.923 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-ÉŐK ( 0.596 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-VBK ( 0.596 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.454 km )Budapesti Műszaki Főiskola - BMF KGK ( 1.327 km )Eötvös Loránd Tudományegyetem - ELTE ( 0.760 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 0.760 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.055 km )Eötvös Loránd Tudományegyetem - ELTE IK ( 1.231 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 1.522 km )Eötvös Loránd Tudományegyetem - ELTE TÁTK ( 1.231 km )Eötvös Loránd Tudományegyetem - ELTE TTK ( 1.231 km )Fernuniversitätgesamthochschule in Hagen - FU ( 1.588 km )Károli Gáspár Református Egyetem - KRE ( 0.541 km )Károli Gáspár Református Egyetem - KRE BTK ( 0.610 km )Károli Gáspár Református Egyetem - KRE HTK ( 0.193 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.141 km )Pázmány Péter Katolikus Egyetem - PPKE ( 0.842 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 0.813 km )Pázmány Péter Katolikus Egyetem - PPKE ITK ( 1.281 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 0.868 km )Semmelweis Egyetem - SE ( 0.440 km )Semmelweis Egyetem - SE ÁOK ( 0.440 km )Semmelweis Egyetem - SE EFK ( 1.068 km )Semmelweis Egyetem - SE FOK ( 0.440 km )Semmelweis Egyetem - SE GYTK ( 0.440 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.259 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.216 km )Wesley János Lelkészképző Főiskola - WJLF ( 1.611 km )Wekerle Sándor Üzleti Főiskola - WSUF ( 1.375 km )

                    More
                    



",47.51319745,19.01599072,47.51319745,19.01599072,1022,2,245,68,1,51,79,17,18,23,5,7,123,83,2,5,188,1,7,751
2513,1,0,0,500,48,10.41666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Erkel utca,"
                1 room                            ",1,0,Brick Apartment,1,0,1000,46,-1,"Furnished, equipped",1,1,0,0,4,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,-1,1,-1,fh.alberlet.hu,,,"Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.427 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 0.710 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 0.439 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.376 km )Baptista Teológiai Akadémia - BTA ( 1.489 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.553 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.553 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.217 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 0.786 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.278 km )Közép-Európai Egyetem - KEE ( 0.839 km )Károli Gáspár Református Egyetem - KRE ( 1.731 km )Károli Gáspár Református Egyetem - KRE BTK ( 1.728 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 0.440 km )McDaniel College - MCDC ( 1.578 km )Magyar Képzőművészeti Egyetem - MKE ( 0.678 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.503 km )Pázmány Péter Katolikus Egyetem - PPKE ( 1.525 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.590 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.490 km )Semmelweis Egyetem - SE EFK ( 1.354 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.145 km )Szent István Egyetem - SZIE ÁOTK ( 1.448 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.396 km )Central European University - CEU ( 0.839 km )

                    More
                    



",47.4871542,19.063243300000003,47.4871542,19.063243300000003,1092,9,1192,211,18,208,122,73,76,75,6,8,234,366,5,6,266,2,21,1607
2514,1,0,0,340,42,8.095238095,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Garam utca,"
                1 room                            ",1,0,Brick Apartment,1,0,680,46,31,Empty,0,0,0,1,1,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,-1,1,-1,fh.alberlet.hu,,,"Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.872 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 0.341 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 1.274 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.815 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.815 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.591 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 1.385 km )Közép-Európai Egyetem - KEE ( 0.521 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 1.278 km )Magyar Képzőművészeti Egyetem - MKE ( 1.479 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.771 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.982 km )Semmelweis Egyetem - SE EFK ( 1.917 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.745 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.415 km )Central European University - CEU ( 0.521 km )

                    More
                    



",47.5214537,19.0568862,47.5214537,19.0568862,1133,13,394,65,3,85,87,22,24,27,14,5,97,206,8,14,177,2,23,548
