ID,Apartment,House,For Sale,For Rent,Price,Size(sqm),Price/sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,District,Street,Bedroom,Floor,Garage optional,Parking place optional,View,View: Courtyard,View: Hills,View: Garden,View: Panoramic,View: Danube,View: Square,View: Street,Furniture optional,Elevator optional,Air conditioner optional,Details,Longitude,Latitude,Postcode,District2,Lats,Lons,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport,Distance to Eco Zone,Distance to Crime Pot,Distance to Uni1,Distance to Uni2,Distance to Uni3,Distance to Uni4,Distance to Uni5,Distance to Uni6,Distance to Uni7,Distance to Uni8,Distance to Uni9,Distance to Uni10,Distance to Uni11,Distance to Uni12,Distance to Uni13,Distance to Uni14,Distance to Uni15,Distance to Uni16,Distance to Uni17,Distance to Uni18,Distance to Uni19,Distance to Uni20,Distance to Uni21,"Shop: Art, music, hobbies",Shop: Beauty,"Shop: Clothing, shoes, accessories",Shop: Convenience shop,Shop: Department Store,"Shop: Discount store, charity","Shop: Food, beverages",Shop: Health,Shop: Laundry,Shop: Mall,"Shop: Stationery, gifts, books, newspapers",Shop: Supermarket,Shop: Travel Agency,Shop: Others
0,1,0,0,1,-1,-1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1.0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,852.1217716,5732.995097999999,5734.572861,5734.717628,5732.625624,5733.874027000001,4138.18147,5733.7626869999995,5733.383536,5733.008367,5733.008367,5731.6702780000005,5736.588264,5733.355183,5736.764575,5733.3690560000005,5732.214882,5732.250331,5734.121688,5734.635762,5739.660373,5732.61875,5737.367588,5733.055673,5732.668932,5736.224734,5733.022024,5732.63955,5731.819941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,135000,2,67500.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,-2,1.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We offer a 20 sqm furnished apartment in district 6, in Paulay Ede utca. It is situated in a classical building on the 1th floor. The windows are facing to the courtyard. The apartment is newly renovated. It consists of a living room with american kitchen, galery, 1 bathroom and toilet. Only long term rent!",19.056376999999998,47.50205041,1065,6,47.50205041,19.056376999999998,0.7907234320000001,0.747961256,2.0644346369999997,1.064361179,2.386823606,16.32738302,0.046866522,0.579768317,1.051760311,1.226359739,1.226359739,2.265434869,5.164203379,1.401927474,5.940041542,0.533524165,1.749189405,2.55457084,0.615799795,1.0088381370000001,6.684872181,1.490588454,4.78730381,5.160245681,3.1303848739999998,3.935289858,1.335929127,1.828242065,2.59438714,52,186,263,4,3,9,393,41,4,10,193,52,24,397
2,1,0,0,1,-1,5,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,One bedroom apartment is available for rent in Pannónia street next to Vígszinház. Totally equipped and furnished apartment. There is no bed in the bedroom. Common cost is 7500 HUF. ,-1.0,-1.0,-1,-1,-1.0,-1.0,852.1217716,5732.995097999999,5734.572861,5734.717628,5732.625624,5733.874027000001,4138.18147,5733.7626869999995,5733.383536,5733.008367,5733.008367,5731.6702780000005,5736.588264,5733.355183,5736.764575,5733.3690560000005,5732.214882,5732.250331,5734.121688,5734.635762,5739.660373,5732.61875,5737.367588,5733.055673,5732.668932,5736.224734,5733.022024,5732.63955,5731.819941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,1,140000,3,46666.66667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,-1,-2,4.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer a 36 sqm apartment in district 19. in Kossuth Lajos utca. It is situated in a newly built building on the 4th floor. The windows are facing to the street. It consists of a living room, american kitchen, 1 bathroom and toilet. Only long term rent! ",19.04990877,47.51429499,1137,13,47.51429499,19.04990877,0.23195093600000002,1.97705543,2.924454341,0.626075349,2.380017208,17.38241257,0.135186399,1.888023779,2.4400361669999997,2.665338941,2.665338941,3.650529667,5.6461474339999995,2.75865748,6.465414697000001,1.519883852,3.164385092,3.989100343,1.6352570690000001,1.489747327,5.328964474,2.9343731010000003,4.909105621,4.419090263,4.486098437,2.498895535,2.7658704530000002,3.2667311089999997,3.012876411,19,133,115,6,3,7,215,19,5,2,78,37,6,280
4,1,0,0,1,110000,4,27500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,-1,-2,0.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We offer a 45 sqm furnished apartment in district 9. in Angyal utca. It is situated in a classical building on the ground. The windows are facing to the courtyard. T It consists of a living room with galery, kitchen, 1 bathroom and toilet. Only long term rent! ",19.17003558,47.44648103,1181,18,47.44648103,19.17003558,0.6046292289999999,10.5552183,8.902721901,11.14923926,12.51982557,6.246403247000001,6.445949799,9.97815761,9.507577239,9.460446206,9.460446206,9.456421345,7.662821537,9.149360824,7.1583971129999995,10.87182769,9.524517993,8.313860099,10.14843063,10.29680973,15.5421383,9.423620267,9.079704184,15.54291297,7.480320272,14.10506337,9.321207474,8.951040073,12.13798534,2,6,3,0,2,2,21,0,0,2,0,24,0,45
5,1,0,0,1,135000,2,67500.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,-2,2.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We offer a 21 sqm furnished studio apartment in district 5. in Mérleg utca. It is situated in a classical building on the 2th floor. The windows are facing to the courtyard. The apartment is newly renovated. It consists of a living room with american kitchen+galery ,1 bathroom and toilet.",19.06896205,47.48534604,1092,9,47.48534604,19.06896205,0.66595387,1.851136331,2.106199776,3.049940429,3.779748052,14.72831325,0.345537881,1.6808253569999998,1.127224344,0.8581558220000001,0.8581558220000001,1.0887110420000001,4.884585684,0.931180747,5.498843608,2.237195849,0.839183692,0.474363662,2.02583809,2.473800266,8.614557721,0.689182153,5.100513313,6.80293602,1.294049832,6.0185458,0.7614429079999999,0.256174955,3.4770780589999997,50,154,176,1,1,20,358,44,3,12,157,53,22,391
6,1,0,0,1,140000,1,140000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,5,4.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"Rent a nice room in a shared 5 bedroom apartment in district 6, in Eötvös utca. It is situated in a classical building on the 4th floor. The windows are facing to the street. The apartment is newly renovated. It consists of a hall, kitchen, 5 bedrooms, 1 bathroom and toilet. Utilitiy 12000 HUF including Internet. Only long term rent. Rent fee of Rooms 250 eur- 350 eur for a girl.",19.04868221,47.5010901,1051,5,47.5010901,19.04868221,0.221143473,0.530043355,2.641441601,1.333963848,1.8080420130000001,16.80653375,0.63183268,1.11769741,1.4645126609999999,1.509206439,1.509206439,2.218154356,5.7513445270000005,1.822896736,6.525144985,0.08562554900000001,1.778847857,2.793229387,1.203312549,1.555941564,6.80014105,1.650399839,5.361812397,4.654033265,3.49071418,3.8323945910000004,1.64380335,2.0757576490000003,2.020827293,38,133,207,7,4,6,260,27,5,7,175,53,21,294
7,1,0,0,1,96000,3,32000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,-2,2.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We offer a 35 sqm furnished apartment in district 7, Rákóczi street. It is situated in a classical building on the 2nd floor. The windows are facing to the courtyard. The apartment is newly renovated. It consists of a living room, kitchen, gallery, 1 bathroom and toilet. Common cost is 9500HUF/month. Utilities depend on the used amount. Only long term rent. ",19.06027437,47.50937258,1067,6,47.50937258,19.06027437,1.149404879,1.599508599,1.9798879130000002,0.33739299,2.8212136589999997,16.43667401,0.460529951,1.0695205490000002,1.62578889,1.9198410430000001,1.9198410430000001,3.0993262219999997,4.828280057,1.902112236,5.636932517999999,1.260589437,2.565899575,3.196167623,0.742032444,0.547679118,5.887712835,2.252555164,4.242481547,5.252932629,3.595886964,3.373935978,1.992362591,2.499525366,3.2321376230000003,35,152,174,8,3,9,275,18,6,5,111,47,13,354
8,1,0,0,1,135000,3,45000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,-1,-2,5.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer a 36 sqm furnished studio apartment in district 2. in Keleti Károly utca. It is situated in a classical building on the 5th floor. The windows are facing to the street. It consists of a living room with balcony,kitchen, 1 bathroom and toilet. Common cost is 10350 Ft/month(water included).Only long term rent! ",19.07124107,47.49931292,1074,7,47.49931292,19.07124107,1.15771595,1.573804608,0.974609552,1.724960161,3.5100841839999997,15.19003096,0.941202509,0.58853826,0.584465907,0.9528858029999999,0.9528858029999999,2.288342637,4.121915276,0.631276368,4.868083758,1.6327379819999999,1.755650335,1.9430548719999998,0.680617044,0.9690990690000001,7.107347643,1.339085214,3.95003347,6.316178273999999,2.2143780019999997,4.7628971810000005,0.927587423,1.350277669,3.588366187,53,172,252,6,3,14,425,39,7,12,181,60,25,436
9,1,0,0,1,125000,5,25000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,1,1.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"First letting of this nicely furnished, one bedroom apartment located in residential new development, Toscana Garden. It is fully furnished, first floor apartment. It consists of entrance hall, bright open plan living/dining room, fully equipped kitchen with fridge, oven, microwave, exhaust fan, one double, bright bedroom with bathroom and including washing machine. The Toscana Gardens is located in the 9th District, in Lenhossék Street. The building is close to the Danube, the Hungarian National Theatre and also to a big shopping center Lurdy Ház, where a large cinema and many shops are opened for the visitors. The transport is easy and fast to the center with the tram no. 30, no. 4 and no. 6, and also with the metro. ",19.02772311,47.51344399,1022,2,47.51344399,19.02772311,0.633025291,2.553369199,4.422846022,2.225657644,1.3593876059999999,18.81667651,1.762239423,3.0733358280000003,3.5240434030000003,3.5984880919999997,3.5984880919999997,4.102859811,7.2947823220000005,3.8823358139999997,8.109804493,2.174746883,3.7698137519999997,4.8684237239999995,2.974370598,3.025569307,5.7599414410000005,3.7177692060000003,6.5761930710000005,2.7684011330000002,5.577880154,2.3593672409999997,3.7323485180000002,4.159589118,2.237427178,7,45,33,7,1,2,113,8,0,4,35,23,2,135
