ID,poi shape,poi type,coordinate,amenity_types,latitude,longitude
0,Polygon,courthouse," 19.0514766, 47.510016 ",Government,47.510016,19.0514766
1,Polygon,bank," 19.0523756, 47.5046371 ",Financial,47.5046371,19.0523756
2,Polygon,public_building," 19.0497568, 47.4983713 ",others,47.4983713,19.0497568
3,Polygon,college," 19.0537326, 47.5088453 ",School,47.5088453,19.0537326
4,Polygon,public_building," 19.0493761, 47.5071711 ",others,47.5071711,19.0493761
5,Polygon,public_building," 19.0462421, 47.505209 ",others,47.505209,19.0462421
6,Polygon,school," 19.0487242, 47.5006903 ",School,47.5006903,19.0487242
7,Polygon,school," 19.0536602, 47.5015933 ",School,47.5015933,19.0536602
8,Polygon,school," 19.0544475, 47.4967267 ",School,47.4967267,19.0544475
9,Polygon,public_building," 19.049542, 47.5002585 ",others,47.5002585,19.049542
10,Polygon,community_centre," 19.0749615, 47.5108871 ",Entertainment,47.5108871,19.0749615
11,Polygon,marketplace," 19.0656248, 47.5050459 ",others,47.5050459,19.0656248
12,Polygon,university," 19.0641284, 47.503431 ",School,47.503431,19.0641284
13,Polygon,townhall," 19.0513466, 47.497901 ",Government,47.497901,19.0513466
14,Polygon,police," 19.0689933, 47.5327737 ",Police,47.5327737,19.0689933
15,Polygon,townhall," 19.089633, 47.5624671 ",Government,47.5624671,19.089633
16,Polygon,place_of_worship," 19.1101247, 47.5827171 ",Religion,47.5827171,19.1101247
17,Polygon,university," 19.0187615, 47.4914711 ",School,47.4914711,19.0187615
18,Polygon,parking," 19.0551322, 47.5181488 ",Parking,47.5181488,19.0551322
19,Polygon,community_centre," 19.0646547, 47.5050045 ",Entertainment,47.5050045,19.0646547
20,Polygon,embassy," 19.0644105, 47.5054016 ",others,47.5054016,19.0644105
21,Polygon,parking," 19.0576485, 47.5187273 ",Parking,47.5187273,19.0576485
22,Polygon,parking," 19.0523714, 47.5216278 ",Parking,47.5216278,19.0523714
23,MultiPolygon,parking," 19.0546222, 47.598851 ",Parking,47.598851,19.0546222
24,Polygon,bus_station," 19.0028209, 47.3319477 ",others,47.3319477,19.0028209
25,Polygon,university," 19.0853887, 47.4813697 ",School,47.4813697,19.0853887
26,Polygon,exhibition_center," 19.1207243, 47.4952978 ",others,47.4952978,19.1207243
27,MultiPolygon,marketplace," 19.1840594, 47.4425549 ",others,47.4425549,19.1840594
28,MultiPolygon,parking," 19.03993, 47.4749705 ",Parking,47.4749705,19.03993
29,Polygon,public_building," 19.0467237, 47.5071404 ",others,47.5071404,19.0467237
