id,poi shape,poi type,coordinate
30,Point,bus_stop," 18.9997858, 47.4259208 "
216,Point,bus_stop," 18.8795403, 47.5757817 "
217,Point,bus_stop," 18.8868014, 47.5758167 "
218,Point,bus_stop," 18.8893882, 47.5762242 "
219,Point,bus_stop," 18.8914693, 47.5758093 "
220,Point,bus_stop," 18.9092736, 47.5671214 "
221,Point,bus_stop," 18.9098539, 47.5669759 "
222,Point,bus_stop," 18.898491, 47.571612 "
259,Point,bus_stop," 18.9403553, 47.4559403 "
296,Point,bus_stop," 19.3393768, 47.44505 "
357,Point,bus_stop," 19.0151738, 47.4519479 "
369,Point,bus_stop," 19.0302136, 47.4733222 "
416,Point,bus_stop," 19.0745011, 47.5038146 "
417,Point,bus_stop," 19.0690921, 47.5054454 "
418,Point,bus_stop," 19.0690469, 47.5053311 "
419,Point,bus_stop," 19.071805, 47.506981 "
420,Point,bus_stop," 19.0735113, 47.5029111 "
421,Point,bus_stop," 19.0695763, 47.4983181 "
423,Point,bus_stop," 19.0871744, 47.5174419 "
424,Point,bus_stop," 19.0730083, 47.5002613 "
427,Point,bus_stop," 19.072206, 47.5026047 "
543,Point,bus_stop," 19.0527403, 47.4740535 "
549,Point,bus_stop," 19.0362045, 47.4900548 "
550,Point,bus_stop," 19.0305452, 47.4903343 "
556,Point,bus_stop," 19.0184364, 47.4905867 "
574,Point,bus_stop," 19.0234784, 47.4901754 "
602,Point,bus_stop," 19.0301699, 47.4822162 "
607,Point,bus_stop," 19.0318764, 47.4784631 "
614,Point,bus_stop," 19.0593005, 47.476623 "
615,Point,bus_stop," 19.0569793, 47.4759995 "
617,Point,bus_stop," 19.0455036, 47.4744314 "
711,Point,bus_stop," 19.2086825, 47.3964538 "
719,Point,bus_stop," 19.2104494, 47.3948796 "
720,Point,bus_stop," 19.2105239, 47.3947008 "
721,Point,bus_stop," 19.2086976, 47.3968853 "
723,Point,bus_stop," 19.2179714, 47.3899044 "
724,Point,bus_stop," 19.2177208, 47.3901862 "
726,Point,bus_stop," 19.2213582, 47.3917556 "
727,Point,bus_stop," 19.2248782, 47.3920833 "
728,Point,bus_stop," 19.2285504, 47.3897314 "
729,Point,bus_stop," 19.2311154, 47.3880834 "
730,Point,bus_stop," 19.235512, 47.3852617 "
731,Point,bus_stop," 19.2307619, 47.3818353 "
732,Point,bus_stop," 19.2283311, 47.3834002 "
733,Point,bus_stop," 19.2237166, 47.3863987 "
744,Point,bus_stop," 19.1468201, 47.5397373 "
756,Point,bus_stop," 19.0470638, 47.4890959 "
758,Point,bus_stop," 19.0483897, 47.4891222 "
759,Point,bus_stop," 19.0406184, 47.4977485 "
760,Point,bus_stop," 19.0408183, 47.4978416 "
761,Point,bus_stop," 19.0433586, 47.4938874 "
762,Point,bus_stop," 19.0431014, 47.4931084 "
768,Point,bus_stop," 19.2107794, 47.6202157 "
834,Point,bus_stop," 18.9998073, 47.4257647 "
840,Point,bus_stop," 18.9649215, 47.4481852 "
853,Point,bus_stop," 19.0243935, 47.5288348 "
854,Point,bus_stop," 19.0242425, 47.528727 "
855,Point,bus_stop," 19.0270825, 47.5281214 "
856,Point,bus_stop," 19.027379, 47.528353 "
871,Point,bus_stop," 19.0302028, 47.526569 "
875,Point,bus_stop," 19.0284171, 47.5274278 "
876,Point,bus_stop," 19.0285848, 47.5277236 "
877,Point,bus_stop," 19.0314205, 47.5269209 "
900,Point,bus_stop," 19.0600346, 47.4955743 "
903,Point,bus_stop," 19.0657828, 47.4963055 "
904,Point,bus_stop," 19.0655233, 47.4985529 "
912,Point,bus_stop," 19.0693311, 47.5009408 "
959,Point,bus_stop," 19.0972204, 47.5106515 "
996,Point,bus_stop," 19.0420687, 47.5505983 "
1039,Point,bus_stop," 19.0025686, 47.5290593 "
1041,Point,bus_stop," 19.0089067, 47.5298078 "
1042,Point,bus_stop," 19.0087445, 47.5300886 "
1043,Point,bus_stop," 19.0219558, 47.5287235 "
1044,Point,bus_stop," 19.0215799, 47.528529 "
1057,Point,bus_stop," 19.0299534, 47.5427162 "
1079,Point,bus_stop," 19.0182514, 47.5706409 "
1080,Point,bus_stop," 19.0189187, 47.5696274 "
1086,Point,bus_stop," 19.0133884, 47.5744443 "
1087,Point,bus_stop," 19.0152793, 47.574162 "
1117,Point,bus_stop," 19.0419932, 47.5399548 "
1201,Point,bus_stop," 19.1030574, 47.4815251 "
