id,poi shape,poi_type,coordinate
0,Polygon,water_park," 19.0814871, 47.5188636 "
1,Polygon,water_park," 19.0372916, 47.5182006 "
2,Polygon,park," 19.0339554, 47.4677416 "
3,Polygon,playground," 19.068473, 47.4318871 "
4,MultiPolygon,park," 19.1785711, 47.4437067 "
5,Polygon,sports_centre," 19.1165542, 47.334111 "
6,Polygon,park," 19.246445, 47.4719353 "
7,Polygon,park," 19.263149, 47.4945717 "
8,Polygon,park," 19.2494565, 47.4895177 "
9,Polygon,park," 19.2606754, 47.4907023 "
10,Polygon,park," 19.2335255, 47.4676044 "
11,Polygon,playground," 19.2371698, 47.4610459 "
12,Polygon,park," 19.2416845, 47.4656132 "
13,Polygon,park," 19.1663798, 47.4669946 "
14,Polygon,park," 19.1628955, 47.4674024 "
15,Polygon,track," 19.0733546, 47.4194166 "
16,Polygon,park," 19.1640724, 47.5064593 "
17,Polygon,park," 19.1699177, 47.5039782 "
18,MultiPolygon,park," 19.1215754, 47.4996384 "
19,MultiPolygon,park," 19.0716448, 47.4741734 "
20,Polygon,park," 19.0181825, 47.4993664 "
21,Polygon,park," 19.0402964, 47.4760104 "
22,MultiPolygon,park," 19.0412439, 47.4754575 "
23,Polygon,sports_centre," 19.0432265, 47.4765525 "
24,Polygon,park," 19.0677312, 47.4795506 "
25,Polygon,water_park," 19.058636, 47.536924 "
26,MultiPolygon,park," 19.0514459, 47.5179822 "
27,Polygon,park," 19.0504727, 47.4965406 "
28,Polygon,park," 19.0616114, 47.4917991 "
29,Polygon,nature_reserve," 19.3136061, 47.5636732 "
30,Polygon,sports_centre," 19.0274242, 47.4500418 "
31,Polygon,sports_centre," 19.0286541, 47.4206739 "
32,Polygon,sports_centre," 19.0257683, 47.4223578 "
33,Polygon,pitch," 18.9734786, 47.4164813 "
35,Polygon,park," 19.0464357, 47.50838 "
36,Polygon,park," 19.0466009, 47.5065785 "
37,Polygon,park," 19.1249892, 47.4563231 "
38,Polygon,park," 19.0669943, 47.5064535 "
39,Polygon,park," 19.1110599, 47.5828408 "
40,Polygon,park," 19.0788072, 47.5035245 "
41,Polygon,pitch," 19.0670538, 47.506076 "
42,Polygon,playground," 19.0168523, 47.463016 "
43,Polygon,park," 19.0654593, 47.4074962 "
44,Polygon,park," 19.1064463, 47.3978819 "
45,Polygon,park," 19.0647279, 47.4110322 "
46,Polygon,sports_centre," 18.9542573, 47.4861349 "
47,Polygon,park," 18.9809523, 47.4947628 "
48,Polygon,park," 19.0862928, 47.4829916 "
49,Polygon,park," 19.039708, 47.4982494 "
50,Polygon,park," 19.0241787, 47.5219144 "
51,Polygon,park," 19.0433541, 47.5622849 "
52,Polygon,park," 19.0838421, 47.5567405 "
53,Polygon,sports_centre," 19.0820282, 47.5741853 "
54,Polygon,park," 19.0356849, 47.5002555 "
55,Polygon,park," 18.9191792, 47.3767341 "
56,Polygon,park," 18.9186679, 47.3765374 "
