ID,poi shape,poi_type,coordinate,longitude,latitude
0,Polygon,museum," 19.0481216, 47.5072807 ",19.0481216,47.5072807
1,Polygon,attraction," 19.0461145, 47.5014708 ",19.0461145,47.5014708
2,Polygon,attraction," 19.0523756, 47.5046371 ",19.0523756,47.5046371
3,Polygon,attraction," 19.0477221, 47.5000562 ",19.0477221,47.5000562
4,Polygon,hotel," 19.0489417, 47.4998083 ",19.0489417,47.4998083
5,Polygon,museum," 19.0544309, 47.4967322 ",19.0544309,47.4967322
6,Polygon,museum," 19.0623839, 47.4916182 ",19.0623839,47.4916182
7,Polygon,hotel," 19.0527406, 47.5000601 ",19.0527406,47.5000601
8,Polygon,attraction," 19.0536465, 47.4923571 ",19.0536465,47.4923571
9,Polygon,attraction," 19.0814871, 47.5188636 ",19.0814871,47.5188636
10,Polygon,attraction," 19.0641284, 47.503431 ",19.0641284,47.503431
11,Polygon,attraction," 19.0372916, 47.5182006 ",19.0372916,47.5182006
12,Polygon,hotel," 19.0486782, 47.4977571 ",19.0486782,47.4977571
13,Polygon,gallery," 19.0646547, 47.5050045 ",19.0646547,47.5050045
14,Polygon,museum," 19.0648623, 47.5069309 ",19.0648623,47.5069309
15,Polygon,museum," 19.0461855, 47.5423619 ",19.0461855,47.5423619
16,Polygon,hotel," 18.9592755, 47.4894861 ",18.9592755,47.4894861
17,Polygon,hostel," 19.0627699, 47.4886951 ",19.0627699,47.4886951
18,Polygon,museum," 19.0275324, 47.5382866 ",19.0275324,47.5382866
19,Polygon,attraction," 19.0467237, 47.5071404 ",19.0467237,47.5071404
20,Polygon,attraction," 19.0495397, 47.4962863 ",19.0495397,47.4962863
21,Polygon,gallery," 19.0484033, 47.502196 ",19.0484033,47.502196
22,Polygon,hotel," 19.0586379, 47.493272 ",19.0586379,47.493272
23,Polygon,museum," 19.0952602, 47.5383067 ",19.0952602,47.5383067
24,Polygon,museum," 19.0584388, 47.4911724 ",19.0584388,47.4911724
25,Polygon,attraction," 19.0418548, 47.4906616 ",19.0418548,47.4906616
26,Polygon,museum," 19.042717, 47.493671 ",19.042717,47.493671
27,Polygon,museum," 19.097216, 47.505162 ",19.097216,47.505162
28,Polygon,hotel," 19.0790176, 47.499992 ",19.0790176,47.499992
29,Polygon,gallery," 19.0679289, 47.507155 ",19.0679289,47.507155
30,Polygon,hotel," 19.0727677, 47.4979148 ",19.0727677,47.4979148
31,Polygon,museum," 19.0607813, 47.5020249 ",19.0607813,47.5020249
32,Polygon,hotel," 19.0574313, 47.5025584 ",19.0574313,47.5025584
33,Polygon,hotel," 19.0562895, 47.5018103 ",19.0562895,47.5018103
34,Polygon,hotel," 19.346942, 47.5991998 ",19.346942,47.5991998
35,Polygon,museum," 18.9184848, 47.3764633 ",18.9184848,47.3764633
36,Polygon,hotel," 18.9360779, 47.5403343 ",18.9360779,47.5403343
37,Polygon,attraction," 19.0477031, 47.5678602 ",19.0477031,47.5678602
38,Polygon,attraction," 18.8734947, 47.3992032 ",18.8734947,47.3992032
39,MultiPolygon,hotel," 19.105912, 47.4327546 ",19.105912,47.4327546
40,Polygon,hotel," 19.0329941, 47.5031664 ",19.0329941,47.5031664
41,Polygon,attraction," 19.0389924, 47.5334865 ",19.0389924,47.5334865
43,Polygon,museum," 19.0420813, 47.4959675 ",19.0420813,47.4959675
44,Polygon,museum," 19.0431264, 47.4934292 ",19.0431264,47.4934292
45,Polygon,attraction," 19.0765769, 47.5150099 ",19.0765769,47.5150099
46,Polygon,attraction," 19.0401089, 47.4960182 ",19.0401089,47.4960182
49,Polygon,hotel," 19.0744186, 47.5158818 ",19.0744186,47.5158818
50,Polygon,guest_house," 18.8598397, 47.4193764 ",18.8598397,47.4193764
53,Polygon,museum," 18.9887592, 47.3906352 ",18.9887592,47.3906352
54,Polygon,attraction," 19.0581621, 47.50331 ",19.0581621,47.50331
55,Polygon,attraction," 19.0514846, 47.5038507 ",19.0514846,47.5038507
56,Polygon,hotel," 19.047937, 47.4967157 ",19.047937,47.4967157
57,Polygon,hotel," 19.0528614, 47.4974652 ",19.0528614,47.4974652
58,Polygon,hotel," 19.0518725, 47.4973579 ",19.0518725,47.4973579
59,Polygon,hotel," 19.0530391, 47.5068511 ",19.0530391,47.5068511
60,Polygon,attraction," 19.0486958, 47.4885524 ",19.0486958,47.4885524
61,Polygon,attraction," 19.0525244, 47.4924192 ",19.0525244,47.4924192
62,Polygon,attraction," 19.0579587, 47.4870476 ",19.0579587,47.4870476
63,Polygon,attraction," 19.053262, 47.4928986 ",19.053262,47.4928986
64,Polygon,attraction," 19.0567747, 47.4931704 ",19.0567747,47.4931704
65,Polygon,hotel," 19.0607915, 47.4901929 ",19.0607915,47.4901929
66,Polygon,attraction," 19.0623679, 47.5021366 ",19.0623679,47.5021366
67,Polygon,museum," 19.078227, 47.5140236 ",19.078227,47.5140236
68,Polygon,museum," 19.0753719, 47.5161418 ",19.0753719,47.5161418
69,Polygon,attraction," 19.0808754, 47.5193123 ",19.0808754,47.5193123
70,Polygon,attraction," 19.0849826, 47.5208011 ",19.0849826,47.5208011
71,Polygon,attraction," 19.0792884, 47.5151916 ",19.0792884,47.5151916
72,Polygon,attraction," 19.0759866, 47.5012414 ",19.0759866,47.5012414
73,Polygon,attraction," 19.0613501, 47.5037257 ",19.0613501,47.5037257
74,Polygon,museum," 19.059638, 47.5034711 ",19.059638,47.5034711
75,Polygon,gallery," 19.0696078, 47.5134003 ",19.0696078,47.5134003
76,Polygon,museum," 19.0731149, 47.5112936 ",19.0731149,47.5112936
