ID,poi shape,poi type,coordinate,amenity_types,latitude,longitude
558,Polygon,recycling," 19.1833584, 47.5208855 ",Recycling,47.5208855,19.1833584
583,Polygon,recycling," 18.9207265, 47.4499471 ",Recycling,47.4499471,18.9207265
648,Polygon,recycling," 19.0293823, 47.4695135 ",Recycling,47.4695135,19.0293823
2114,Polygon,recycling," 19.0921339, 47.5379078 ",Recycling,47.5379078,19.0921339
3877,Polygon,recycling," 18.8869233, 47.3665299 ",Recycling,47.3665299,18.8869233
4822,Polygon,recycling," 19.1065801, 47.5603797 ",Recycling,47.5603797,19.1065801
4823,Polygon,recycling," 19.0185557, 47.5644708 ",Recycling,47.5644708,19.0185557
6922,Point,recycling," 19.1833989, 47.5208655 ",Recycling,47.5208655,19.1833989
6950,Point,recycling," 18.9215223, 47.4497125 ",Recycling,47.4497125,18.9215223
7015,Point,recycling," 19.0295719, 47.4695813 ",Recycling,47.4695813,19.0295719
7144,Point,recycling," 19.0288027, 47.6362038 ",Recycling,47.6362038,19.0288027
7231,Point,recycling," 19.0055226, 47.430824 ",Recycling,47.430824,19.0055226
7234,Point,recycling," 18.9267628, 47.4103937 ",Recycling,47.4103937,18.9267628
7235,Point,recycling," 18.9403154, 47.4039982 ",Recycling,47.4039982,18.9403154
7719,Point,recycling," 19.0267743, 47.4571604 ",Recycling,47.4571604,19.0267743
8518,Point,recycling," 19.0500576, 47.5098026 ",Recycling,47.5098026,19.0500576
8519,Point,recycling," 19.0508144, 47.4995308 ",Recycling,47.4995308,19.0508144
8585,Point,recycling," 19.092303, 47.5377433 ",Recycling,47.5377433,19.092303
8821,Point,recycling," 19.0046538, 47.4661239 ",Recycling,47.4661239,19.0046538
8822,Point,recycling," 18.9933156, 47.4733241 ",Recycling,47.4733241,18.9933156
9114,Point,recycling," 19.0528405, 47.4976449 ",Recycling,47.4976449,19.0528405
10507,Point,recycling," 18.9596791, 47.5610375 ",Recycling,47.5610375,18.9596791
10515,Point,recycling," 18.960826, 47.5540291 ",Recycling,47.5540291,18.960826
10523,Point,recycling," 18.9530185, 47.5519501 ",Recycling,47.5519501,18.9530185
10606,Point,recycling," 18.9886016, 47.5230495 ",Recycling,47.5230495,18.9886016
10610,Point,recycling," 18.965108, 47.5421031 ",Recycling,47.5421031,18.965108
10611,Point,recycling," 19.0378976, 47.4885564 ",Recycling,47.4885564,19.0378976
10667,Point,recycling," 19.0928349, 47.5646594 ",Recycling,47.5646594,19.0928349
10673,Point,recycling," 18.9946898, 47.5285101 ",Recycling,47.5285101,18.9946898
10694,Point,recycling," 18.8875723, 47.3663718 ",Recycling,47.3663718,18.8875723
10730,Point,recycling," 19.0213476, 47.5141129 ",Recycling,47.5141129,19.0213476
10937,Point,recycling," 18.9524881, 47.4646865 ",Recycling,47.4646865,18.9524881
10960,Point,recycling," 18.9539596, 47.4867787 ",Recycling,47.4867787,18.9539596
11027,Point,recycling," 18.9331337, 47.4395926 ",Recycling,47.4395926,18.9331337
11028,Point,recycling," 18.9123974, 47.4255788 ",Recycling,47.4255788,18.9123974
11333,Point,recycling," 19.0639393, 47.5002108 ",Recycling,47.5002108,19.0639393
11335,Point,recycling," 19.0624158, 47.499304 ",Recycling,47.499304,19.0624158
11351,Point,recycling," 19.0871976, 47.4784381 ",Recycling,47.4784381,19.0871976
11742,Point,recycling," 19.0449329, 47.537036 ",Recycling,47.537036,19.0449329
11751,Point,recycling," 19.0407979, 47.5369276 ",Recycling,47.5369276,19.0407979
11857,Point,recycling," 19.1355508, 47.5047586 ",Recycling,47.5047586,19.1355508
11865,Point,recycling," 19.1384116, 47.5516797 ",Recycling,47.5516797,19.1384116
11866,Point,recycling," 19.1247521, 47.5509103 ",Recycling,47.5509103,19.1247521
11992,Point,recycling," 19.0381247, 47.5408816 ",Recycling,47.5408816,19.0381247
12017,Point,recycling," 19.1066354, 47.5602986 ",Recycling,47.5602986,19.1066354
12018,Point,recycling," 19.0185153, 47.5644004 ",Recycling,47.5644004,19.0185153
13124,Point,recycling," 19.15693, 47.42015 ",Recycling,47.42015,19.15693
13136,Point,recycling," 19.173154, 47.4145384 ",Recycling,47.4145384,19.173154
13209,Point,recycling," 19.155316, 47.455416 ",Recycling,47.455416,19.155316
13262,Point,recycling," 19.1537698, 47.4470543 ",Recycling,47.4470543,19.1537698
13283,Point,recycling," 19.1331649, 47.5245732 ",Recycling,47.5245732,19.1331649
13479,Point,recycling," 19.1288817, 47.4296738 ",Recycling,47.4296738,19.1288817
13643,Point,recycling," 19.1512575, 47.4815095 ",Recycling,47.4815095,19.1512575
13644,Point,recycling," 19.1524484, 47.4804944 ",Recycling,47.4804944,19.1524484
13653,Point,recycling," 18.9146522, 47.61558 ",Recycling,47.61558,18.9146522
13698,Point,recycling," 18.9099808, 47.6141805 ",Recycling,47.6141805,18.9099808
13699,Point,recycling," 18.9007111, 47.6157138 ",Recycling,47.6157138,18.9007111
13700,Point,recycling," 18.9056893, 47.6178545 ",Recycling,47.6178545,18.9056893
13709,Point,recycling," 19.0116646, 47.403698 ",Recycling,47.403698,19.0116646
13720,Point,recycling," 19.0383626, 47.4938552 ",Recycling,47.4938552,19.0383626
13753,Point,recycling," 19.0414894, 47.4974661 ",Recycling,47.4974661,19.0414894
13856,Point,recycling," 19.2324827, 47.4559915 ",Recycling,47.4559915,19.2324827
13936,Point,recycling," 19.1138226, 47.5412705 ",Recycling,47.5412705,19.1138226
13941,Point,recycling," 18.9670096, 47.5673835 ",Recycling,47.5673835,18.9670096
13951,Point,recycling," 19.0659932, 47.5212706 ",Recycling,47.5212706,19.0659932
13952,Point,recycling," 19.0583935, 47.5192214 ",Recycling,47.5192214,19.0583935
13953,Point,recycling," 19.062414, 47.518723 ",Recycling,47.518723,19.062414
13965,Point,recycling," 19.053993, 47.5230759 ",Recycling,47.5230759,19.053993
13985,Point,recycling," 18.904859, 47.444889 ",Recycling,47.444889,18.904859
13986,Point,recycling," 19.0576104, 47.5253377 ",Recycling,47.5253377,19.0576104
13987,Point,recycling," 19.0266611, 47.5360003 ",Recycling,47.5360003,19.0266611
13988,Point,recycling," 19.0383341, 47.5160846 ",Recycling,47.5160846,19.0383341
14043,Point,recycling," 18.9893653, 47.5153589 ",Recycling,47.5153589,18.9893653
14085,Point,recycling," 19.1317668, 47.6074499 ",Recycling,47.6074499,19.1317668
14148,Point,recycling," 19.1141668, 47.4697411 ",Recycling,47.4697411,19.1141668
14161,Point,recycling," 19.1381207, 47.5429489 ",Recycling,47.5429489,19.1381207
14162,Point,recycling," 19.1360814, 47.5394614 ",Recycling,47.5394614,19.1360814
14168,Point,recycling," 18.89466, 47.4175402 ",Recycling,47.4175402,18.89466
14173,Point,recycling," 19.0895692, 47.5037756 ",Recycling,47.5037756,19.0895692
14176,Point,recycling," 19.032735, 47.4722995 ",Recycling,47.4722995,19.032735
14177,Point,recycling," 19.1414282, 47.4588188 ",Recycling,47.4588188,19.1414282
14178,Point,recycling," 19.1418842, 47.459283 ",Recycling,47.459283,19.1418842
14183,Point,recycling," 19.0253612, 47.469469 ",Recycling,47.469469,19.0253612
14218,Point,recycling," 19.0008822, 47.4010993 ",Recycling,47.4010993,19.0008822
14235,Point,recycling," 19.0991834, 47.483255 ",Recycling,47.483255,19.0991834
14239,Point,recycling," 19.1168509, 47.3950061 ",Recycling,47.3950061,19.1168509
14244,Point,recycling," 19.036668, 47.4337911 ",Recycling,47.4337911,19.036668
14245,Point,recycling," 19.0206499, 47.4296109 ",Recycling,47.4296109,19.0206499
14313,Point,recycling," 19.1009594, 47.5005291 ",Recycling,47.5005291,19.1009594
14317,Point,recycling," 19.0633848, 47.5300172 ",Recycling,47.5300172,19.0633848
14319,Point,recycling," 19.0604737, 47.5295097 ",Recycling,47.5295097,19.0604737
14356,Point,recycling," 19.0479329, 47.4797967 ",Recycling,47.4797967,19.0479329
14374,Point,recycling," 19.3457954, 47.5972072 ",Recycling,47.5972072,19.3457954
14375,Point,recycling," 19.3461387, 47.5990421 ",Recycling,47.5990421,19.3461387
14412,Point,recycling," 19.0494833, 47.6015656 ",Recycling,47.6015656,19.0494833
14413,Point,recycling," 19.0463988, 47.5998149 ",Recycling,47.5998149,19.0463988
14415,Point,recycling," 19.0505026, 47.6007447 ",Recycling,47.6007447,19.0505026
14486,Point,recycling," 19.0357447, 47.4332331 ",Recycling,47.4332331,19.0357447
14489,Point,recycling," 19.141464, 47.456592 ",Recycling,47.456592,19.141464
14519,Point,recycling," 18.9962018, 47.4005377 ",Recycling,47.4005377,18.9962018
14520,Point,recycling," 19.0696257, 47.4801445 ",Recycling,47.4801445,19.0696257
14521,Point,recycling," 19.0712271, 47.4801998 ",Recycling,47.4801998,19.0712271
14576,Point,recycling," 19.35465, 47.3906798 ",Recycling,47.3906798,19.35465
14605,Point,recycling," 19.0201049, 47.4074359 ",Recycling,47.4074359,19.0201049
14610,Point,recycling," 19.0991318, 47.560808 ",Recycling,47.560808,19.0991318
14618,Point,recycling," 19.1013038, 47.5214447 ",Recycling,47.5214447,19.1013038
14635,Point,recycling," 19.038113, 47.4515696 ",Recycling,47.4515696,19.038113
14638,Point,recycling," 19.1066157, 47.560319 ",Recycling,47.560319,19.1066157
14641,Point,recycling," 19.0858389, 47.556159 ",Recycling,47.556159,19.0858389
14779,Point,recycling," 19.086453, 47.5448777 ",Recycling,47.5448777,19.086453
14789,Point,recycling," 19.0977208, 47.5553759 ",Recycling,47.5553759,19.0977208
14790,Point,recycling," 19.0913074, 47.5515573 ",Recycling,47.5515573,19.0913074
14797,Point,recycling," 19.0305262, 47.5434768 ",Recycling,47.5434768,19.0305262
14798,Point,recycling," 19.0340709, 47.5429239 ",Recycling,47.5429239,19.0340709
14803,Point,recycling," 19.0807489, 47.5470386 ",Recycling,47.5470386,19.0807489
14807,Point,recycling," 19.1032, 47.55514 ",Recycling,47.55514,19.1032
14808,Point,recycling," 19.0894705, 47.5463897 ",Recycling,47.5463897,19.0894705
14812,Point,recycling," 19.0398674, 47.4652991 ",Recycling,47.4652991,19.0398674
14813,Point,recycling," 19.11672, 47.54852 ",Recycling,47.54852,19.11672
14843,Point,recycling," 19.0818132, 47.5503209 ",Recycling,47.5503209,19.0818132
14845,Point,recycling," 19.0897616, 47.5517191 ",Recycling,47.5517191,19.0897616
14856,Point,recycling," 19.0779333, 47.5471541 ",Recycling,47.5471541,19.0779333
14857,Point,recycling," 19.0799537, 47.5493766 ",Recycling,47.5493766,19.0799537
14858,Point,recycling," 19.0767708, 47.5456472 ",Recycling,47.5456472,19.0767708
14862,Point,recycling," 19.0738, 47.53863 ",Recycling,47.53863,19.0738
14900,Point,recycling," 19.10938, 47.55587 ",Recycling,47.55587,19.10938
14902,Point,recycling," 19.0638899, 47.5342738 ",Recycling,47.5342738,19.0638899
14903,Point,recycling," 19.07313, 47.54299 ",Recycling,47.54299,19.07313
14904,Point,recycling," 19.08895, 47.54083 ",Recycling,47.54083,19.08895
14905,Point,recycling," 19.09462, 47.5411 ",Recycling,47.5411,19.09462
14907,Point,recycling," 19.1106269, 47.5629263 ",Recycling,47.5629263,19.1106269
14908,Point,recycling," 19.1124807, 47.5627211 ",Recycling,47.5627211,19.1124807
14909,Point,recycling," 19.10628, 47.54895 ",Recycling,47.54895,19.10628
14912,Point,recycling," 19.0806821, 47.53438 ",Recycling,47.53438,19.0806821
14913,Point,recycling," 19.0796824, 47.532156 ",Recycling,47.532156,19.0796824
14914,Point,recycling," 19.0763034, 47.533354 ",Recycling,47.533354,19.0763034
14918,Point,recycling," 19.07369, 47.53265 ",Recycling,47.53265,19.07369
14920,Point,recycling," 19.0895552, 47.5370376 ",Recycling,47.5370376,19.0895552
14921,Point,recycling," 19.0948829, 47.5681623 ",Recycling,47.5681623,19.0948829
14924,Point,recycling," 19.0378518, 47.46108 ",Recycling,47.46108,19.0378518
14925,Point,recycling," 19.08359, 47.52645 ",Recycling,47.52645,19.08359
14927,Point,recycling," 19.1137106, 47.544879 ",Recycling,47.544879,19.1137106
14929,Point,recycling," 19.10867, 47.53925 ",Recycling,47.53925,19.10867
14930,Point,recycling," 19.0712971, 47.5470955 ",Recycling,47.5470955,19.0712971
14932,Point,recycling," 19.0617517, 47.5373425 ",Recycling,47.5373425,19.0617517
14933,Point,recycling," 19.06292, 47.53883 ",Recycling,47.53883,19.06292
14934,Point,recycling," 19.06695, 47.5368 ",Recycling,47.5368,19.06695
14939,Point,recycling," 19.0794697, 47.5480955 ",Recycling,47.5480955,19.0794697
14940,Point,recycling," 19.0614125, 47.530767 ",Recycling,47.530767,19.0614125
14949,Point,recycling," 19.06162, 47.53409 ",Recycling,47.53409,19.06162
14950,Point,recycling," 19.08023, 47.55225 ",Recycling,47.55225,19.08023
14951,Point,recycling," 19.07648, 47.54909 ",Recycling,47.54909,19.07648
14954,Point,recycling," 19.06024, 47.53461 ",Recycling,47.53461,19.06024
14956,Point,recycling," 19.0723224, 47.5229989 ",Recycling,47.5229989,19.0723224
14958,Point,recycling," 19.0602954, 47.5256825 ",Recycling,47.5256825,19.0602954
14960,Point,recycling," 19.0690148, 47.5287083 ",Recycling,47.5287083,19.0690148
14961,Point,recycling," 19.0706754, 47.5284506 ",Recycling,47.5284506,19.0706754
14981,Point,recycling," 19.11825, 47.5451432 ",Recycling,47.5451432,19.11825
14984,Point,recycling," 19.0393088, 47.4730854 ",Recycling,47.4730854,19.0393088
14985,Point,recycling," 19.10489, 47.56185 ",Recycling,47.56185,19.10489
14986,Point,recycling," 19.1083, 47.56308 ",Recycling,47.56308,19.1083
