ID,poi shape,poi type,coordinate,shop_types,longitude,latitude
112,Polygon,chemist,"   19.0388718, 47.427801  ",Beauty,19.0388718,47.427801
139,Polygon,chemist,"   19.0813014, 47.5317119  ",Beauty,19.0813014,47.5317119
142,Polygon,chemist,"   19.1059287, 47.5603145  ",Beauty,19.1059287,47.5603145
249,Polygon,beauty,"   18.8849129, 47.5761013  ",Beauty,18.8849129,47.5761013
255,Polygon,hairdresser,"   18.9048356, 47.4452762  ",Beauty,18.9048356,47.4452762
375,Polygon,beauty,"   18.8853363, 47.575831  ",Beauty,18.8853363,47.575831
490,Polygon,chemist,"   19.3521488, 47.6007983  ",Beauty,19.3521488,47.6007983
557,Polygon,hairdresser,"   18.9242929, 47.3831045  ",Beauty,18.9242929,47.3831045
579,Polygon,hairdresser,"   18.9221174, 47.3880414  ",Beauty,18.9221174,47.3880414
636,Polygon,chemist,"   19.1316262, 47.461733  ",Beauty,19.1316262,47.461733
666,Polygon,beauty,"   19.3504439, 47.6082978  ",Beauty,19.3504439,47.6082978
685,Polygon,beauty,"   18.9234271, 47.4424994  ",Beauty,18.9234271,47.4424994
689,Polygon,beauty,"   18.9160826, 47.4310462  ",Beauty,18.9160826,47.4310462
692,Polygon,beauty,"   18.9059877, 47.4451019  ",Beauty,18.9059877,47.4451019
721,Polygon,beauty,"   19.2475853, 47.4082399  ",Beauty,19.2475853,47.4082399
794,Polygon,beauty,"   19.2557686, 47.4771188  ",Beauty,19.2557686,47.4771188
795,Polygon,beauty,"   19.2556323, 47.4771854  ",Beauty,19.2556323,47.4771854
796,Polygon,beauty,"   19.2557005, 47.477151  ",Beauty,19.2557005,47.477151
841,Polygon,beauty,"   19.1359046, 47.6350597  ",Beauty,19.1359046,47.6350597
850,Polygon,hairdresser,"   19.0311526, 47.438323  ",Beauty,19.0311526,47.438323
892,Polygon,hairdresser,"   19.0147502, 47.5983677  ",Beauty,19.0147502,47.5983677
938,Polygon,chemist,"   19.1144148, 47.5792222  ",Beauty,19.1144148,47.5792222
941,Polygon,chemist,"   19.2255515, 47.4859354  ",Beauty,19.2255515,47.4859354
961,Polygon,beauty,"   19.1992093, 47.5135991  ",Beauty,19.1992093,47.5135991
972,Polygon,hairdresser,"   19.3356788, 47.4964139  ",Beauty,19.3356788,47.4964139
973,Polygon,hairdresser,"   19.3357885, 47.4957656  ",Beauty,19.3357885,47.4957656
1127,Polygon,chemist,"   19.0731306, 47.4928682  ",Beauty,19.0731306,47.4928682
1144,Polygon,chemist,"   19.0734057, 47.4932048  ",Beauty,19.0734057,47.4932048
1156,Polygon,beauty,"   18.9776701, 47.462522  ",Beauty,18.9776701,47.462522
1166,Polygon,hairdresser,"   19.1663624, 47.5206431  ",Beauty,19.1663624,47.5206431
1281,Point,chemist,"   19.0389736, 47.4279916  ",Beauty,19.0389736,47.4279916
1308,Point,chemist,"   19.0813939, 47.5315677  ",Beauty,19.0813939,47.5315677
1311,Point,chemist,"   19.1062243, 47.5602048  ",Beauty,19.1062243,47.5602048
1423,Point,beauty,"   18.8849909, 47.5761937  ",Beauty,18.8849909,47.5761937
1429,Point,hairdresser,"   18.904935, 47.4452594  ",Beauty,18.904935,47.4452594
1550,Point,beauty,"   18.8853711, 47.5757288  ",Beauty,18.8853711,47.5757288
1646,Point,chemist,"   19.0490416, 47.5130615  ",Beauty,19.0490416,47.5130615
1673,Point,chemist,"   19.3522494, 47.6007567  ",Beauty,19.3522494,47.6007567
1747,Point,hairdresser,"   18.9243353, 47.3830345  ",Beauty,18.9243353,47.3830345
1769,Point,hairdresser,"   18.9222276, 47.388053  ",Beauty,18.9222276,47.388053
1826,Point,chemist,"   19.1315171, 47.4619521  ",Beauty,19.1315171,47.4619521
1856,Point,beauty,"   19.3504995, 47.6082668  ",Beauty,19.3504995,47.6082668
1875,Point,beauty,"   18.9235528, 47.4423992  ",Beauty,18.9235528,47.4423992
1879,Point,beauty,"   18.916077, 47.4311309  ",Beauty,18.916077,47.4311309
1882,Point,beauty,"   18.9059669, 47.4450626  ",Beauty,18.9059669,47.4450626
1911,Point,beauty,"   19.2475871, 47.4083095  ",Beauty,19.2475871,47.4083095
1992,Point,beauty,"   19.2557458, 47.4771557  ",Beauty,19.2557458,47.4771557
1993,Point,beauty,"   19.255609, 47.4772223  ",Beauty,19.255609,47.4772223
1994,Point,beauty,"   19.255677, 47.477188  ",Beauty,19.255677,47.477188
2043,Point,beauty,"   19.1360173, 47.6349604  ",Beauty,19.1360173,47.6349604
2054,Point,hairdresser,"   19.0311972, 47.4382799  ",Beauty,19.0311972,47.4382799
2096,Point,hairdresser,"   19.014835, 47.5983175  ",Beauty,19.014835,47.5983175
2144,Point,chemist,"   19.1146795, 47.5790489  ",Beauty,19.1146795,47.5790489
2152,Point,chemist,"   19.0695054, 47.4998578  ",Beauty,19.0695054,47.4998578
2164,Point,chemist,"   19.2257985, 47.4856579  ",Beauty,19.2257985,47.4856579
2188,Point,beauty,"   19.1993155, 47.5136684  ",Beauty,19.1993155,47.5136684
2199,Point,hairdresser,"   19.3353841, 47.4963562  ",Beauty,19.3353841,47.4963562
2200,Point,hairdresser,"   19.3358279, 47.4957326  ",Beauty,19.3358279,47.4957326
2324,Point,chemist,"   19.0690928, 47.4829336  ",Beauty,19.0690928,47.4829336
2329,Point,beauty,"   19.0723816, 47.4816452  ",Beauty,19.0723816,47.4816452
2330,Point,beauty,"   19.074103, 47.4817747  ",Beauty,19.074103,47.4817747
2358,Point,beauty,"   19.1407503, 47.5425974  ",Beauty,19.1407503,47.5425974
2412,Point,chemist,"   19.0730704, 47.4928721  ",Beauty,19.0730704,47.4928721
2429,Point,chemist,"   19.0733849, 47.4931375  ",Beauty,19.0733849,47.4931375
2441,Point,beauty,"   18.9777241, 47.4625719  ",Beauty,18.9777241,47.4625719
2453,Point,hairdresser,"   19.166338, 47.5205438  ",Beauty,19.166338,47.5205438
2472,Point,chemist,"   19.0629815, 47.5058214  ",Beauty,19.0629815,47.5058214
2522,Point,hairdresser,"   19.0277967, 47.5078031  ",Beauty,19.0277967,47.5078031
2523,Point,beauty,"   19.0249496, 47.5081152  ",Beauty,19.0249496,47.5081152
