ID,poi shape,poi type,coordinate,shop_types,longitude,latitude
0,Polygon,mall,"   19.0545741, 47.4931702  ",Mall,19.0545741,47.4931702
3,Polygon,mall,"   19.0687421, 47.4962073  ",Mall,19.0687421,47.4962073
8,Polygon,mall,"   19.1470606, 47.54865  ",Mall,19.1470606,47.54865
17,Polygon,mall,"   19.1461538, 47.4622418  ",Mall,19.1461538,47.4622418
19,Polygon,mall,"   19.0604079, 47.514681  ",Mall,19.0604079,47.514681
21,Polygon,mall,"   19.0403934, 47.5428143  ",Mall,19.0403934,47.5428143
25,Polygon,mall,"   19.0894142, 47.4989447  ",Mall,19.0894142,47.4989447
31,Polygon,mall,"   19.1277103, 47.4636198  ",Mall,19.1277103,47.4636198
32,Polygon,mall,"   19.0733587, 47.5507009  ",Mall,19.0733587,47.5507009
33,Polygon,mall,"   19.0498247, 47.5600735  ",Mall,19.0498247,47.5600735
40,Polygon,mall,"   19.1463505, 47.4585018  ",Mall,19.1463505,47.4585018
45,Polygon,mall,"   19.1444999, 47.546531  ",Mall,19.1444999,47.546531
51,Polygon,mall,"   19.0827751, 47.4709661  ",Mall,19.0827751,47.4709661
52,Polygon,mall,"   19.0977428, 47.5605792  ",Mall,19.0977428,47.5605792
59,Polygon,mall,"   19.0258527, 47.5091141  ",Mall,19.0258527,47.5091141
64,Polygon,mall,"   18.9995018, 47.5164774  ",Mall,18.9995018,47.5164774
69,Polygon,mall,"   19.1373288, 47.5045066  ",Mall,19.1373288,47.5045066
70,Polygon,mall,"   19.3857207, 47.4264913  ",Mall,19.3857207,47.4264913
71,Polygon,mall,"   19.3311918, 47.4598132  ",Mall,19.3311918,47.4598132
73,Polygon,mall,"   19.1407066, 47.5026241  ",Mall,19.1407066,47.5026241
78,Polygon,mall,"   19.0720384, 47.4864519  ",Mall,19.0720384,47.4864519
86,Polygon,mall,"   18.9407523, 47.4546537  ",Mall,18.9407523,47.4546537
92,Polygon,mall,"   19.249085, 47.5412336  ",Mall,19.249085,47.5412336
93,Polygon,mall,"   19.2439916, 47.542152  ",Mall,19.2439916,47.542152
108,Polygon,mall,"   19.0403166, 47.4359544  ",Mall,19.0403166,47.4359544
116,Polygon,mall,"   19.0509298, 47.458506  ",Mall,19.0509298,47.458506
117,Polygon,mall,"   19.0148348, 47.4064042  ",Mall,19.0148348,47.4064042
118,Polygon,mall,"   19.2489403, 47.4164287  ",Mall,19.2489403,47.4164287
119,Polygon,mall,"   19.0054601, 47.4666265  ",Mall,19.0054601,47.4666265
123,Polygon,mall,"   19.0673522, 47.424516  ",Mall,19.0673522,47.424516
128,Polygon,mall,"   19.0491917, 47.4761316  ",Mall,19.0491917,47.4761316
136,Polygon,mall,"   19.0889712, 47.5609728  ",Mall,19.0889712,47.5609728
210,Polygon,mall,"   19.0245713, 47.5084753  ",Mall,19.0245713,47.5084753
228,Polygon,mall,"   19.3383894, 47.609365  ",Mall,19.3383894,47.609365
232,Polygon,mall,"   19.1405, 47.5035073  ",Mall,19.1405,47.5035073
243,Polygon,mall,"   19.0057819, 47.5292183  ",Mall,19.0057819,47.5292183
271,Polygon,mall,"   19.0114276, 47.5906952  ",Mall,19.0114276,47.5906952
280,Polygon,mall,"   19.0285302, 47.545962  ",Mall,19.0285302,47.545962
283,Polygon,mall,"   19.0220097, 47.4907235  ",Mall,19.0220097,47.4907235
287,Polygon,mall,"   19.0608266, 47.6121262  ",Mall,19.0608266,47.6121262
293,Polygon,mall,"   19.1910874, 47.5100485  ",Mall,19.1910874,47.5100485
330,Polygon,mall,"   19.0118564, 47.4908572  ",Mall,19.0118564,47.4908572
333,Polygon,mall,"   19.2013362, 47.4337409  ",Mall,19.2013362,47.4337409
383,Polygon,mall,"   19.0602788, 47.4843335  ",Mall,19.0602788,47.4843335
424,Polygon,mall,"   19.0553975, 47.490084  ",Mall,19.0553975,47.490084
