ID,poi shape,poi type,coordinate,shop_types,longitude,latitude
427,Polygon,travel_agency,"   19.0225852, 47.5064466  ",Travel Agency,19.0225852,47.5064466
1602,Point,travel_agency,"   19.0224152, 47.5064483  ",Travel Agency,19.0224152,47.5064483
2159,Point,travel_agency,"   19.0586122, 47.4962359  ",Travel Agency,19.0586122,47.4962359
2499,Point,travel_agency,"   18.9594456, 47.4607126  ",Travel Agency,18.9594456,47.4607126
2674,Point,travel_agency,"   19.0490819, 47.5020605  ",Travel Agency,19.0490819,47.5020605
2921,Point,travel_agency,"   19.0697166, 47.5321905  ",Travel Agency,19.0697166,47.5321905
3284,Point,travel_agency,"   19.0553174, 47.5002594  ",Travel Agency,19.0553174,47.5002594
3972,Point,travel_agency,"   19.066119, 47.4815899  ",Travel Agency,19.066119,47.4815899
4181,Point,travel_agency,"   19.0552154, 47.4926952  ",Travel Agency,19.0552154,47.4926952
4303,Point,travel_agency,"   19.0626996, 47.4877659  ",Travel Agency,19.0626996,47.4877659
4326,Point,travel_agency,"   19.0356585, 47.339943  ",Travel Agency,19.0356585,47.339943
4455,Point,travel_agency,"   19.0627601, 47.4869117  ",Travel Agency,19.0627601,47.4869117
4458,Point,travel_agency,"   19.063457, 47.4902161  ",Travel Agency,19.063457,47.4902161
4671,Point,travel_agency,"   19.3477683, 47.6011198  ",Travel Agency,19.3477683,47.6011198
4688,Point,travel_agency,"   19.0681838, 47.4819719  ",Travel Agency,19.0681838,47.4819719
4718,Point,travel_agency,"   19.0647327, 47.4827047  ",Travel Agency,19.0647327,47.4827047
4895,Point,travel_agency,"   18.9998003, 47.5163571  ",Travel Agency,18.9998003,47.5163571
5038,Point,travel_agency,"   19.0605041, 47.4881872  ",Travel Agency,19.0605041,47.4881872
5225,Point,travel_agency,"   19.0661762, 47.4955945  ",Travel Agency,19.0661762,47.4955945
5228,Point,travel_agency,"   19.0607371, 47.4942632  ",Travel Agency,19.0607371,47.4942632
5237,Point,travel_agency,"   19.0657028, 47.4954979  ",Travel Agency,19.0657028,47.4954979
5613,Point,travel_agency,"   19.1089958, 47.5161591  ",Travel Agency,19.1089958,47.5161591
5629,Point,travel_agency,"   19.055161, 47.5036716  ",Travel Agency,19.055161,47.5036716
5677,Point,travel_agency,"   19.3472198, 47.601541  ",Travel Agency,19.3472198,47.601541
5824,Point,travel_agency,"   18.9660574, 47.5380296  ",Travel Agency,18.9660574,47.5380296
6009,Point,travel_agency,"   19.0577744, 47.493616  ",Travel Agency,19.0577744,47.493616
6071,Point,travel_agency,"   19.0584165, 47.4931818  ",Travel Agency,19.0584165,47.4931818
6162,Point,travel_agency,"   19.0538735, 47.4964832  ",Travel Agency,19.0538735,47.4964832
6279,Point,travel_agency,"   19.0580989, 47.4881085  ",Travel Agency,19.0580989,47.4881085
6322,Point,travel_agency,"   19.0574275, 47.488032  ",Travel Agency,19.0574275,47.488032
6413,Point,travel_agency,"   19.1048465, 47.5262917  ",Travel Agency,19.1048465,47.5262917
6502,Point,travel_agency,"   19.0534514, 47.4975057  ",Travel Agency,19.0534514,47.4975057
6582,Point,travel_agency,"   19.0640497, 47.5051845  ",Travel Agency,19.0640497,47.5051845
6586,Point,travel_agency,"   18.913614, 47.617981  ",Travel Agency,18.913614,47.617981
6606,Point,travel_agency,"   18.90949, 47.621064  ",Travel Agency,18.90949,47.621064
6781,Point,travel_agency,"   19.0638462, 47.4950452  ",Travel Agency,19.0638462,47.4950452
6807,Point,travel_agency,"   19.0655834, 47.5064126  ",Travel Agency,19.0655834,47.5064126
6821,Point,travel_agency,"   19.0596162, 47.5168451  ",Travel Agency,19.0596162,47.5168451
6928,Point,travel_agency,"   19.0555379, 47.4918422  ",Travel Agency,19.0555379,47.4918422
7357,Point,travel_agency,"   19.0536748, 47.491762  ",Travel Agency,19.0536748,47.491762
7415,Point,travel_agency,"   19.0257709, 47.4648498  ",Travel Agency,19.0257709,47.4648498
7616,Point,travel_agency,"   19.072616, 47.4861187  ",Travel Agency,19.072616,47.4861187
7640,Point,travel_agency,"   19.0494595, 47.5685216  ",Travel Agency,19.0494595,47.5685216
7751,Point,travel_agency,"   19.0393702, 47.5277252  ",Travel Agency,19.0393702,47.5277252
7889,Point,travel_agency,"   19.059435, 47.4946593  ",Travel Agency,19.059435,47.4946593
8499,Point,travel_agency,"   19.0060042, 47.4668084  ",Travel Agency,19.0060042,47.4668084
8622,Point,travel_agency,"   19.3488757, 47.6011059  ",Travel Agency,19.3488757,47.6011059
9393,Point,travel_agency,"   18.9995396, 47.4480533  ",Travel Agency,18.9995396,47.4480533
9809,Point,travel_agency,"   18.9660217, 47.4506053  ",Travel Agency,18.9660217,47.4506053
9963,Point,travel_agency,"   18.9237356, 47.378351  ",Travel Agency,18.9237356,47.378351
10365,Point,travel_agency,"   19.0882232, 47.5034674  ",Travel Agency,19.0882232,47.5034674
10404,Point,travel_agency,"   19.0419329, 47.4351995  ",Travel Agency,19.0419329,47.4351995
