ID,Apartment,House,Room,Price per month,Size(sqm),Price per sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Number of rooms,Number of seperate rooms,Number ofhalf rooms,Type of the building,Brick apartment,Block apartment,Deposit,Utilities,Common cost,Furniture,Furnished,Equipped,Partly furnished,Empty,Floor,Balconies,View,View: Courtyard,"View: Courtyard, sunny","View: Courtyard, not sunny",View: Danube,View: Garden,View: Roof,View: Square,View: Panoramic,View: Park,View: Street,"View: Street, quiet","View: Street, sunny",View: City,View: Hill,Shortest rental period,Children welcomed,American kitchen,Can be an office,Foreigners welcomed,Washing machine,Details,Area,Transportation,Near universities,Latitude,Longitude,Lats,Lons,Postcode,District,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport
0,1,0,0,386,35,11.02857143,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Gregus utca,"
                1 room                            ",1,0,Brick Apartment,1,0,773,62,31,"Furnished, equipped",1,1,0,0,1,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,-1,-1,-1,-1,-1,"Located in a quiet street in the south of the railway station, in a tidy house, first floor apartment. It is a long-term publisher from 15 December.    
He was healed, 1.5 years ago. Parquet. The kitchen has A gas stove. Next to the ventricle. Large entrance hall from where the rooms are separated, with kitchen, bathroom, room.",Corvin negyed,"4, 6 trams, Metro 3 blue						","Eötvös Loránd Tudományegyetem - ELTE TÓFK ( 0.776 km )Mozgássérültek Pető András Nevelőképző és Nevelőintézete - MPANNI ( 1.984 km )Semmelweis Egyetem - SE TSK ( 0.674 km )
",47.4990917,19.0217214,47.4990917,19.0217214,1123,12,0.8677562070000359,2.1959078256912177,4.673661654554124,3.0084648684809747,0.3364951716499034,18.589323040113925
1,1,0,0,773,56,13.80357143,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corvin sétány,"
                2 rooms                            ",2,0,Brick Apartment,1,0,1546,31,93,"Empty, furnished as well",1,0,0,1,8,-1,Panoramic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,-1,1,-1,-1,-1,"Newly built 1 bedroom apartment is for rent from January 2019 in the popular Corvin sétány.
From the balcony there is a nice view to the promenade.

At the moment it is unfurnished but can be rented with new units for 290000 huf rental fee as well.

Garage is for 20000 huf upon demand.

Available with 2 month's deposit and long term lease agreement",Széll Kálmán square,Metro 3 blue,"Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.174 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE BCE ( 1.378 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE GTK BCE GTK ( 1.378 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KTK BCE KTK ( 1.378 km )Budapesti Corvinus Egyetem - BKÁE TK BCE TK ( 1.179 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ( 1.596 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ÉSZK ( 1.596 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME GTK ( 1.596 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME KSK ( 1.596 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME TTK ( 1.596 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME VIK ( 1.751 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-ÉŐK ( 1.596 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-VBK ( 1.596 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.158 km )Budapesti Műszaki Főiskola - BMF KGK ( 0.558 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.401 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.401 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.464 km )Eötvös Loránd Tudományegyetem - ELTE IK ( 1.698 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 1.683 km )Eötvös Loránd Tudományegyetem - ELTE TÁTK ( 1.698 km )Eötvös Loránd Tudományegyetem - ELTE TTK ( 1.698 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.832 km )Károli Gáspár Református Egyetem - KRE ( 1.160 km )Károli Gáspár Református Egyetem - KRE BTK ( 0.930 km )Károli Gáspár Református Egyetem - KRE HTK ( 0.898 km )McDaniel College - MCDC ( 1.982 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 0.951 km )Pázmány Péter Katolikus Egyetem - PPKE ( 1.015 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.543 km )Pázmány Péter Katolikus Egyetem - PPKE ITK ( 0.273 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.049 km )Semmelweis Egyetem - SE ( 0.679 km )Semmelweis Egyetem - SE ÁOK ( 0.679 km )Semmelweis Egyetem - SE EFK ( 1.116 km )Semmelweis Egyetem - SE FOK ( 0.679 km )Semmelweis Egyetem - SE GYTK ( 0.679 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.313 km )Szent István Egyetem - SZIE ÁOTK ( 1.931 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.931 km )Wesley János Lelkészképző Főiskola - WJLF ( 0.709 km )Wekerle Sándor Üzleti Főiskola - WSUF ( 0.370 km )

                    More
                    



",47.4859623,19.0762572,47.4859623,19.0762572,1082,8,3.481197915297751,2.2506448718934577,1.8086039333192507,3.189495111677587,4.242511106122118,14.241612650628536
2,1,0,0,464,53,8.754716981,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bocskai utca,"
                2 rooms                            ",2,0,Brick Apartment,1,0,927,62,31,"Furnished, equipped",1,1,0,0,3,-1,Street and courtyard,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,1,-1,-1,-1,1,"In the 4th district, close to Danube river, in Bocskai street, a 53 sqm, RENOVATED apartment with 2 room (Living room + bedroom) is waiting for a new tenant for LONG TERM (min 1 year).    
THE APARTMENT IS TOTALLY FURNISHED and EQUIPPED.   

Rental fee: 150,000 HUF / month    
Common costs: 10,000 HUF / month   
The overhead shall be PAID ON CONSUMPTION.   

The public transport is excellent - metroline M3, bus nr. 121, 196A The train and the long-distance bus station is very near to the apartment.    

Several supermarkets and shops are all around.    

With 2 month deposit and one month rental fee, the apatment can be moved in.    

Don't hesitate to call me, if you are interested!   
","Andrássy street, Oktogon","4, 6 trams","Károli Gáspár Református Egyetem - KRE ÁJK ( 1.341 km )
",47.5575498,19.0848108,47.5575498,19.0848108,1043,4,1.22229855700684,7.253028043336484,6.244107760447112,5.512417720670268,7.707532351682646,18.253886722489007
3,1,0,0,835,75,11.13333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vérhalom utca,"
                3 rooms                 + 1 half room            ",3,1,Brick Apartment,1,0,1669,22,201,"Partly furnished, equipped",0,1,1,0,1,-1,Overlooking the garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,At least one year,Yes,-1,-1,-1,-1,"2. district, 75 sm flat, living-room with american kitchen (totally equipped), 2 and a half bedrooms, bathroom, separated WC, balcony, parking place in garage for 1 car, partly furnished, very good location, please call me if you want to see. ","Corvin negyed, Inside Nagykörút","4, 6 trams, Metro 1 historic line, Metro 3 blue, Metro 2 red						",,47.5201027,19.0288345,47.5201027,19.0288345,1025,2,1.2059795383363618,3.093954547215921,4.625383108820528,2.3325919234027395,2.1036197430481964,19.0811590147893
4,1,0,0,773,69,11.20289855,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dessewffy utca,"
                3 rooms                            ",3,0,Brick Apartment,1,0,1546,15,108,"Furnished, equipped",1,1,0,0,1,-1,"Courtyard, sunny",1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,-1,-1,1,-1,"1 livingroom + 2 bedrooms     
LUXURY APARTMENT     
DOUBLE COMFORT (2 bathrooms, 2 toilets)    
newly renovated     
fully furnished and equipped (brand new)     
bright, sunny apartment     
available now",Near Danube,"4, 6 trams, 7 bus, Metro 3 blue, Metro 2 red, Matro 4						","Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.546 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 0.582 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 0.519 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.513 km )Baptista Teológiai Akadémia - BTA ( 1.530 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.653 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.653 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.326 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 0.914 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.394 km )Közép-Európai Egyetem - KEE ( 0.821 km )Károli Gáspár Református Egyetem - KRE ( 1.841 km )Károli Gáspár Református Egyetem - KRE BTK ( 1.849 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 0.568 km )McDaniel College - MCDC ( 1.684 km )Magyar Képzőművészeti Egyetem - MKE ( 0.733 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.637 km )Pázmány Péter Katolikus Egyetem - PPKE ( 1.650 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.680 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.614 km )Semmelweis Egyetem - SE EFK ( 1.484 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.276 km )Szent István Egyetem - SZIE ÁOTK ( 1.557 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.460 km )Central European University - CEU ( 0.821 km )

                    More
                    



",47.5054421,19.0574559,47.5054421,19.0574559,1066,6,1.3849240756323236,1.113966578342169,2.0323997024883993,0.6854895319919118,2.5073088482267494,16.4210715731692
5,1,0,0,750,82,9.146341462999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,József körút,"
                3 rooms                            ",3,0,Brick Apartment,1,0,1500,68,56,"Furnished, equipped",1,1,0,0,3,-1,Street and courtyard,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,-1,-1,-1,"1 livingroom + 2 bedrooms
2 bathrooms
fully furnished and equipped apartment
newly renovated flat
american kitchen
modern style
good public transportation, metro, tram, bus.
available now","Andrássy street, Blaha Lujza square, street opening from Nagykörút, Oktogon","4, 6 trams, 7 bus, Metro 2 red						","Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 0.549 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE BCE ( 1.172 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE GTK BCE GTK ( 1.172 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KTK BCE KTK ( 1.172 km )Budapesti Corvinus Egyetem - BKÁE TK BCE TK ( 1.115 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 1.627 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ( 1.566 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ÉSZK ( 1.566 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME GTK ( 1.566 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME KSK ( 1.566 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME TTK ( 1.566 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME VIK ( 1.936 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-ÉŐK ( 1.566 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-VBK ( 1.566 km )Budapesti Műszaki Főiskola - BMF BGK ( 0.473 km )Budapesti Műszaki Főiskola - BMF KGK ( 0.524 km )Eötvös Loránd Tudományegyetem - ELTE ( 0.909 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 0.909 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 0.813 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 0.929 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.236 km )Közép-Európai Egyetem - KEE ( 1.885 km )Károli Gáspár Református Egyetem - KRE ( 0.762 km )Károli Gáspár Református Egyetem - KRE BTK ( 0.492 km )Károli Gáspár Református Egyetem - KRE HTK ( 0.823 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 1.365 km )McDaniel College - MCDC ( 1.479 km )Magyar Képzőművészeti Egyetem - MKE ( 1.760 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 0.196 km )Pázmány Péter Katolikus Egyetem - PPKE ( 0.387 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.074 km )Pázmány Péter Katolikus Egyetem - PPKE ITK ( 0.844 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 0.407 km )Semmelweis Egyetem - SE ( 0.593 km )Semmelweis Egyetem - SE ÁOK ( 0.593 km )Semmelweis Egyetem - SE EFK ( 0.381 km )Semmelweis Egyetem - SE FOK ( 0.593 km )Semmelweis Egyetem - SE GYTK ( 0.593 km )Színház- és Filmművészeti Egyetem - SZFE ( 0.558 km )Szent István Egyetem - SZIE ÁOTK ( 1.388 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.381 km )Wesley János Lelkészképző Főiskola - WJLF ( 0.840 km )Wekerle Sándor Üzleti Főiskola - WSUF ( 1.020 km )Central European University - CEU ( 1.885 km )

                    More
                    



",47.4917504,19.0709015,47.4917504,19.0709015,1085,8,2.874375399144481,1.6076422675140394,1.4478259433795098,2.4348503891599313,3.638933797087567,14.85977867181856
6,1,0,0,711,90,7.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Árpád fejedelem útja,"
                3 rooms                            ",3,0,Brick Apartment,1,0,1422,117,37,"Furnished, equipped",1,1,0,0,5,-1,Panoramic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,-1,-1,-1,-1,-1,"From January!    
Near Kolossy Square there is a renovated, refurbished, high quality furnished apartment.        
Distribution: hall, restroom, kitchen, hall, living room, living room with bath        
The living room with bathtub room view to the Árpád fejedelem utja, the rest of the rooms view to the bright inner courtyard.        
Remote but individual measurement.        
Common cost: 15 000Ft.        
Price based on a minimum 12 months rental contract.        
Overhead costs based on your consumption.        
Caution:2 months        
","Andrássy street, street opening from Nagykörút, Nyugati square, Oktogon, Városliget","4, 6 trams, Metro 1 historic line, Metro 3 blue",,0.0,0.0,0.0,0.0,-1,-1,1046.5394535486328,5594.241873326249,5595.789548234935,5595.968594366229,5593.902362143333,5594.875558635575
7,1,0,0,340,31,10.96774194,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Kerékgyártó utca,"
                1 room                            ",1,0,Brick Apartment,1,0,680,93,28,"Furnished, IKEA, KIKA",1,0,0,0,0,-1,Overlooking the garden,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,-1,-1,-1,1,1,-1,"Bazilika, Deák square, Duna korzó, Near Danube, Jászai Mari square, Inside Nagykörút, Nyugati square","Metro 3 blue, Metro 2 red",,47.5236096,19.108164,47.5236096,19.108164,1147,14,4.2148550101797255,5.262827961770206,3.071845242875515,4.051077895654655,6.7431675661430335,14.374540169130455
8,1,0,0,556,50,11.12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Kárpát utca,"
                1 room                 + 1 half room            ",1,1,Brick Apartment,1,0,1113,93,-1,Furnished or unfurnished,1,0,0,0,7,-1,Park view,0,0,0,0,0,0,0,0,1,0,0,0,0,0,At least one year,-1,-1,-1,-1,-1,-1,"Blaha Lujza square, Corvin negyed, street opening from Nagykörút","4, 6 trams, 7 bus, Metro 2 red, Matro 4","Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 0.955 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 1.676 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE BCE ( 1.771 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE GTK BCE GTK ( 1.771 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KTK BCE KTK ( 1.771 km )Budapesti Corvinus Egyetem - BKÁE TK BCE TK ( 1.828 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 0.764 km )Budapesti Műszaki Főiskola - BMF BGK ( 0.461 km )Budapesti Műszaki Főiskola - BMF KGK ( 1.167 km )Baptista Teológiai Akadémia - BTA ( 1.372 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.294 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.294 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 0.960 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 0.544 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 0.535 km )Közép-Európai Egyetem - KEE ( 1.515 km )Károli Gáspár Református Egyetem - KRE ( 1.329 km )Károli Gáspár Református Egyetem - KRE BTK ( 1.174 km )Károli Gáspár Református Egyetem - KRE HTK ( 1.598 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 0.547 km )McDaniel College - MCDC ( 0.878 km )Magyar Képzőművészeti Egyetem - MKE ( 0.864 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 0.707 km )Pázmány Péter Katolikus Egyetem - PPKE ( 0.942 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.421 km )Pázmány Péter Katolikus Egyetem - PPKE ITK ( 1.615 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 0.919 km )Semmelweis Egyetem - SE ( 1.432 km )Semmelweis Egyetem - SE ÁOK ( 1.432 km )Semmelweis Egyetem - SE EFK ( 0.717 km )Semmelweis Egyetem - SE FOK ( 1.432 km )Semmelweis Egyetem - SE GYTK ( 1.432 km )Színház- és Filmművészeti Egyetem - SZFE ( 0.546 km )Szent István Egyetem - SZIE ÁOTK ( 0.743 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.495 km )Wesley János Lelkészképző Főiskola - WJLF ( 1.353 km )Wekerle Sándor Üzleti Főiskola - WSUF ( 1.789 km )Central European University - CEU ( 1.515 km )

                    More
                    



",47.5197023,19.0538169,47.5197023,19.0538169,1133,13,0.5609837480935058,2.588010786165048,3.0377041045154756,0.9361946049658724,2.991850720381014,17.428708924814952
9,1,0,0,665,62,10.72580645,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Barcsay utca,"
                2 rooms                            ",2,0,Brick Apartment,1,0,1329,77,37,Luxury,1,1,0,0,1,-1,Street and courtyard,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,-1,-1,-1,"In annex VII, In Barcsay Street, a fully renovated 60 sqm, with 2 bedroom, family and child-friendly, 1. Floor (lift not) flat.                      

The property is individually furnished and mechanized!             

The kitchen has built-in kitchen furniture, stove, refrigerator and A steam extractor with dishwasher.                        
In the double bathroom with shower there are two-room washbasin, the WC is separate.                                                

Pet care in the apartment and smoking is forbidden!                        

Public utility fees are payable on the basis of monthly dictation and are equipped with individual meters.     

Common cost: 12.000 HUF 
For heating and hot water gas boiler. 
Overhead: consumption based, approx. 25.000 HUF

 Parking on the street is paid, or parking nearby is also rentable (BOSCOLO HOTEL). 

The apartment can be moved immediately with a 2-month deposit and the current monthly rental fee for a long term (min. 2 years).                        

If you are interested in call for confidence, even on weekends!

",Móricz Zsigmond square,"4, 6 trams, 47, 49 trams, 7 bus, Matro 4","Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.670 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 1.192 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 0.203 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.313 km )Baptista Teológiai Akadémia - BTA ( 0.871 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.912 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.912 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.550 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 1.039 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 0.873 km )Közép-Európai Egyetem - KEE ( 1.457 km )Károli Gáspár Református Egyetem - KRE BTK ( 1.942 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 0.459 km )McDaniel College - MCDC ( 1.092 km )Magyar Képzőművészeti Egyetem - MKE ( 0.058 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.549 km )Pázmány Péter Katolikus Egyetem - PPKE ( 1.713 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.992 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.683 km )Semmelweis Egyetem - SE EFK ( 1.498 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.290 km )Szent István Egyetem - SZIE ÁOTK ( 0.984 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.894 km )Central European University - CEU ( 1.457 km )

                    More
                    



",47.4997795,19.069523,47.4997795,19.069523,1073,7,2.457204307992274,1.4594833986672888,1.0906324966292753,1.6066746792795306,3.378133784522897,15.32872469435306
