ID,Apartment,House,Price,Size(sqm),Price/sqm,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Bedroom,Floor,Garage optional,Parking place optional,View,View: Courtyard,View: Hills,View: Garden,View: Panoramic,View: Danube,View: Square,View: Street,Furniture optional,Elevator optional,Air conditioner optional,Details,Longitude,Latitude,Postcode,District,Lats,Lons,Distace to Danube,Distace to City Centre,Distace to Keleti,Distace to Nyugati,Distance to Deli,Distance to Airport
0,1,0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,1167.6521527879972,5732.995097558857,5734.572860668599,5734.71762771819,5732.625624493174,5733.874026758354
1,1,0,30900000,2,15450000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,6.0,1,1, Garden,0,0,1,0,0,0,0,1,1,1,"We are offering for sale a 25 sqm apartment in Nagy Ignác utca close to Nyugati Pályaudvar and the Parlament. The garden/panoramic view apartment is situated on the top (6th) floor in a nice classical style building which has got an elevator. The flat consists of one room with gallery, open plan kitchen and bathroom. The common cost is only 8.000 HUF, including the water and the heating too! Public transportation connections are great, thanks to tram line 2, 4&6 and metro line 3, so it could be a great investment!",19.05064949,47.50997941,1055,5,47.50997941,19.05064949,0.7266774047407955,1.4962899217800507,2.6695449573070182,0.5263987885177649,2.17564014059827,17.10641854209084
2,1,0,29900000,4,7475000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale a one bedroom, unrenovated apartment in Thököly út. The street facing property is situated on the 3rd floor (no elevator) in a bauhaus-style building. The flat consists of 2 rooms, a hall, kitchen, bathroom, hallway. Could be a great investment.",19.10105035,47.51566683,1145,14,47.51566683,19.10105035,4.033651893066008,4.339711246180446,2.046367617905082,3.3217249354883895,5.955990694719975,14.233598848243945
3,1,0,28990000,4,7247500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,1,1, Garden,0,0,1,0,0,0,0,1,1,1,,19.12825466,47.4846576,1102,10,47.4846576,19.12825466,7.181378176730265,5.9743997876893,3.820964187243756,6.119377909497692,8.00590880787115,10.637193016132379
4,1,0,29500000,4,7375000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offering for sale a 48 sqm renovated one bedroom courtyard facing property in Eötvös utca, close to Nyugati Railway Station and Oktogon. The apartment is situated on the 3rd floor in a nice classical building which does not have elevator. It contains a spacious livingroom with kitchen, a decent bedroom, a wardrobe and a bathroom. The property is located in a new built level which does not have usage permit and the entire top level is registered under one lot number (undivided common property).",19.05896836,47.51064487,1062,6,47.51064487,19.05896836,1.2834346656693676,1.6885672490324375,2.132534242748148,0.16853844580464333,2.7774215308623433,16.590608282236413
5,1,0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,1167.6521527879972,5732.995097558857,5734.572860668599,5734.71762771819,5732.625624493174,5733.874026758354
6,1,0,30500000,2,15250000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are advertising for sale in the 5th district, next to the Danube, in the Havas street, a ground floor studio apartment with a gallery. The apartment is facing the courtyard, the building is in good condition. The 28m2 apartment has a gallery of about 15 square meters. Because of the location, it's a good investment. Easy to dispense. Close to Fővám Square, Váci Street. Walk 4 metro, 2 and 47-49 trams.",19.05418957,47.48951424,1056,5,47.48951424,19.05418957,1.7911492182521873,0.8221850734581744,2.5902301526449945,2.4669902087646247,2.585064066829876,15.930471000007877
7,1,0,28900000,4,7225000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0.5,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale a 40 sqm apartment in district 9, Tűzoltó utca next to Corvin negyed. It is situated in a classical style building on the mezzaine floor. The flat consists of bedrooms, a kitchen with dining area, a bathroom and a toilet. Common charges: 8500 HUF /month including all utility costs. Heating: gas convector. Great opportunity for investment due to its perfect location and nice layout and design. It could be a profitable investment or an ideal home as well. High rental potential. The most popular part of the district is the inner part, within the boulevard. There are a lot of places to visit in Vámház körút, Üllői út, Ferenc körút and in the area bordered by the Danube. There are several touristic sites in this part of the district, like the monumental building complex of CET Shopping and Cultural Centre, the Museum of Applied Arts and the Great Market Hall. The river bank provides a wonderful view to Gellért Hill. The area bordered by Szabadság Bridge and Petőfi Bridge has exceptionally good traffic opportunities, thanks to Fővám tér, Corvin negyed and Kálvin tér. Metro lines no. 3 and 4 have several stations here. There are a lot of universities nearby, which makes the neighborhood ideal for students. ",19.06836007,47.48595744,1092,9,47.48595744,19.06836007,2.927277576522995,1.772079591004302,2.073921045241082,2.9718817921298877,3.707957710778215,14.79464916251275
8,1,0,31900000,3,10633333.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,1.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,We are offering for sale a 37 sqm renovated studio apartment in district 2. Szépvölgyi út. The street facing property is situated on the first floor in a Bauhaus style building which has got an elevator. Because of the location it could be a great opportunity for investment or ideal home as well.,19.03710595,47.52886971,1036,3,47.52886971,19.03710595,0.9756610083592623,3.7389482883947536,4.652958175165139,2.4432667353123203,3.1952292207218944,19.030927736958827
9,1,0,31900000,3,10633333.33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,4.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer for sale a 32 sqm apartment in district 9., Lónyay utca, few steps from the Danube. This is sitauted in a classical building on the fourth floor, the windows are facing to the street. It consists of room with mezzanine floor, separated kitchen, bathroom and a balcony. The common cost is 9.500 HUF, it is included the unlimited water consumption.",19.06092645,47.48659643,1092,9,47.48659643,19.06092645,2.380200892355769,1.3447548777922074,2.3818783125579537,2.794641706830563,3.1860521810016804,15.34266687390067
10,1,0,29800000,2,14900000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,1.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offer for sale 28 sqm studio apartment in district VI. Located between Nyugati and the Opera, this is a first-floor, courtyard flat with excellent facilities. Entering the fully refurbished flat, we arrive at a kitchen equipped with a security door, leading to a living room with the dining area. The living room has a space separator to provide privacy for the sleeping area. A comfortable wardrobe is at your disposal to store your convenience stuff. The bathroom has a youthful design, recently built, so you can be the first one to enjoy the built-in shower first.The apartment was built from scratch, so everything is brand new, and you can benefit the guarantee. It has very low common cost (about 11k HUF).",19.05584225,47.5088348,1065,6,47.5088348,19.05584225,1.1364357035178119,1.422400703935466,2.2598845190649857,0.32523709839733866,2.48684160585074,16.701915813328903
11,1,0,31800000,3,10600000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,3.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer for sale a 31 m2 furnished studio apartment on the 3rd floor. It is located at the beginning of Akácfa Street, 2 minutes walk from the Blaha Boulevard, near the Emke Hotel, in the middle of the party area. The common cost is 11500 HUF, which includes unlimited water consumption. The facade was renewed last year. Excellent investment, high rental yield.",19.06801904,47.49875613,1072,7,47.49875613,19.06801904,2.392555505908723,1.3243646174679806,1.2244426406564086,1.642497607069036,3.2736042031943082,15.380406792001493
12,1,0,28900000,3,9633333.332999999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We are offering for sale a 33 sqm furnished apartment in district 6, Izabella utca next to Andrássy út. It is situated in a classical style building on the ground floor. The flat consists of a bedroom, a kitchen with dining area, and a bathroom with a toilet. Windows are facing to the the inner courtyard. Common charges: 8500 HUF /month including water fee and all utility costs. Heating: gas convector. Great opportunity for investment due to its perfect location. It could be a profitable investment or an ideal home as well. High rental potential. Andrássy út, which is a UNESCO World Heritage Site, is easy to reach from here. There are several coffee houses, restaurants and pedestrian areas in the district. Mostly classical-style villas and embassies are located here. The Heroes’ Square is also nearby, which is one of the most popular touristic sites of district 6. Városliget (City Park) provides several sport and entertainment opportunities (Museum of Fine Arts, Széchenyi Thermal Bath, Budapest Zoo and Botanical Garden). The district provides exceptionally good traffic opportunities: metro line no. 1, tram line no. 4 and 6., trolley line no. 76, train (Nyugati railway station). ",19.06660652,47.50839951,1064,6,47.50839951,19.06660652,1.9086362284249896,1.7807854072738214,1.510645183303951,0.7891785366621218,3.248588812201336,15.967704460016414
13,1,0,28990000,4,7247500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0.0,1,1, Garden,0,0,1,0,0,0,0,1,1,1,"We are offering for sale newly built apartments in a condominium in district 10, next to Szent László tér and Városközpont. These apartments are between 28 sqm and 96 sqm and they are situated in a 4-storey building. The street is quiet, wide, nonetheless free from transit traffic. The building is in the best part of the district , in the neighbourhood there is a school, kindergarten, shopping malls, public transport hub. Heating: geothermal, electricity: by sun collectors. Now you can choose the clolours and wall coverings. It will be finished till Autumn of 2019. For further information, floorplan and viewing please call me!",19.1305902,47.48782986,1102,10,47.48782986,19.1305902,7.218255515941031,6.07953465113205,3.8225646387165457,6.1121668125769615,8.103408912411771,10.660149558164608
14,1,0,40990000,7,5855714.286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We are offering for sale a 72 sqm apartment in József Street (District VIII.), close to the Rákóczi Square, close to Hungarian Elte University. It is situated in a classical building on the 1st floor. The street facing property consists of 3 rooms (1 with gallery), a kitchen, a hall, a bathroom and a pantry. The public transportation connections are superb so it could be a great investment or ideal home as well.",19.07087291,47.49207243,1085,8,47.49207243,19.07087291,2.859515878996462,1.5941333848513042,1.4229623965668081,2.4015113637911227,3.626468217117432,14.875987260852623
