ID,Apartment,House,Price,Size(sqm),Price/sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Bedroom,Floor,Garage optional,Parking place optional,View,View: Courtyard,View: Hills,View: Garden,View: Panoramic,View: Danube,View: Square,View: Street,Furniture optional,Elevator optional,Air conditioner optional,Details,Longitude,Latitude,Postcode,District,Lats,Lons,Accounting,ATM,Backery,Bank,Bar,Bus station,Cafe,Clothing store,Convenience store,Department store,Doctor,Gym,Laundry,Park,Pharmacy,Physiotherapist,Police,Post office,Restaurant,School,Store,Subway,Taxi stand,Transit station,Beauty salon,Hair care,Book store,Library,Gas station,Shopping mall,Hospital,Meal delivery,Meal takeaway,Travel agency,Car repair,Car wash,Parking,Casino,Movie theater,Night clubs,Real Estate Agency
0,1,0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,4.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,0,135000,2,67500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,1.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We offer a 20 sqm furnished apartment in district 6, in Paulay Ede utca. It is situated in a classical building on the 1th floor. The windows are facing to the courtyard. The apartment is newly renovated. It consists of a living room with american kitchen, galery, 1 bathroom and toilet. Only long term rent!",19.056376999999998,47.50205041,1065,6,-1.0,-1.0,20,20,20,20,20,20,20,20,6,20,20,20,15,20,-1.0,0,3.0,9,20,20,20,-1.0,3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,20,20,20
2,1,0,-1,5,-0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,One bedroom apartment is available for rent in Pannónia street next to Vígszinház. Totally equipped and furnished apartment. There is no bed in the bedroom. Common cost is 7500 HUF. ,-1.0,-1.0,-1,-1,47.50205041,19.056376999999998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,-1.0,-1,0.0,-1,-1,-1,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,1,0,140000,3,46666.66667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,4.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer a 36 sqm apartment in district 19. in Kossuth Lajos utca. It is situated in a newly built building on the 4th floor. The windows are facing to the street. It consists of a living room, american kitchen, 1 bathroom and toilet. Only long term rent! ",19.04990877,47.51429499,1137,13,-1.0,-1.0,20,20,20,20,20,20,20,20,4,20,20,20,11,20,-1.0,4,3.0,5,20,20,20,-1.0,0,20,20,20,20,17,20,20,20,20,6,20,20,20,20,0,20,10,20
4,1,0,110000,4,27500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,0.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We offer a 45 sqm furnished apartment in district 9. in Angyal utca. It is situated in a classical building on the ground. The windows are facing to the courtyard. T It consists of a living room with galery, kitchen, 1 bathroom and toilet. Only long term rent! ",19.17003558,47.44648103,1181,18,-1.0,-1.0,10,9,0,8,4,20,1,12,1,20,13,10,-1,3,-1.0,0,2.0,2,20,20,20,-1.0,0,20,14,3,0,1,20,20,20,20,0,4,20,20,0,0,12,2,7
5,1,0,135000,2,67500.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,2.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We offer a 21 sqm furnished studio apartment in district 5. in Mérleg utca. It is situated in a classical building on the 2th floor. The windows are facing to the courtyard. The apartment is newly renovated. It consists of a living room with american kitchen+galery ,1 bathroom and toilet.",19.06896205,47.48534604,1092,9,47.51429499,19.04990877,16,20,20,20,20,20,20,20,1,20,20,20,8,20,-1.0,3,5.0,8,20,20,20,-1.0,1,20,20,20,20,20,20,20,20,20,13,20,20,20,20,1,20,20,20
6,1,0,140000,1,140000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,4.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"Rent a nice room in a shared 5 bedroom apartment in district 6, in Eötvös utca. It is situated in a classical building on the 4th floor. The windows are facing to the street. The apartment is newly renovated. It consists of a hall, kitchen, 5 bedrooms, 1 bathroom and toilet. Utilitiy 12000 HUF including Internet. Only long term rent. Rent fee of Rooms 250 eur- 350 eur for a girl.",19.04868221,47.5010901,1051,5,47.44648103,19.17003558,20,20,20,20,20,20,20,20,4,20,20,20,20,20,-1.0,0,2.0,6,20,20,20,-1.0,1,20,20,20,20,20,20,20,20,20,15,20,20,20,20,3,20,20,20
7,1,0,96000,3,32000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,2.0,1,1, Courtyard,1,0,0,0,0,0,0,1,1,1,"We offer a 35 sqm furnished apartment in district 7, Rákóczi street. It is situated in a classical building on the 2nd floor. The windows are facing to the courtyard. The apartment is newly renovated. It consists of a living room, kitchen, gallery, 1 bathroom and toilet. Common cost is 9500HUF/month. Utilities depend on the used amount. Only long term rent. ",19.06027437,47.50937258,1067,6,47.48534604,19.06896205,20,20,20,20,20,20,20,20,6,20,20,20,2,20,-1.0,1,2.0,10,20,20,20,-1.0,0,20,20,20,20,20,20,20,20,20,14,20,20,20,20,0,20,20,20
8,1,0,135000,3,45000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,5.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"We offer a 36 sqm furnished studio apartment in district 2. in Keleti Károly utca. It is situated in a classical building on the 5th floor. The windows are facing to the street. It consists of a living room with balcony,kitchen, 1 bathroom and toilet. Common cost is 10350 Ft/month(water included).Only long term rent! ",19.07124107,47.49931292,1074,7,47.5010901,19.04868221,20,20,20,20,20,20,20,20,5,20,20,20,0,20,-1.0,1,4.0,7,20,20,20,-1.0,1,20,20,20,20,20,20,20,20,20,15,20,20,20,20,0,20,20,20
9,1,0,125000,5,25000.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1.0,1,1, Street,0,0,0,0,0,0,1,1,1,1,"First letting of this nicely furnished, one bedroom apartment located in residential new development, Toscana Garden. It is fully furnished, first floor apartment. It consists of entrance hall, bright open plan living/dining room, fully equipped kitchen with fridge, oven, microwave, exhaust fan, one double, bright bedroom with bathroom and including washing machine. The Toscana Gardens is located in the 9th District, in Lenhossék Street. The building is close to the Danube, the Hungarian National Theatre and also to a big shopping center Lurdy Ház, where a large cinema and many shops are opened for the visitors. The transport is easy and fast to the center with the tram no. 30, no. 4 and no. 6, and also with the metro. ",19.02772311,47.51344399,1022,2,47.50937258,19.06027437,20,20,20,20,20,20,20,20,1,20,20,20,7,20,-1.0,4,3.0,3,20,20,20,-1.0,0,20,20,20,17,10,20,20,20,20,0,16,20,20,17,0,20,5,20
