,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Type of properties,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Price per month,439,510,510,464,402,402,371,402,402,371,850,0,584,386,510,386,464,773,773,1839,587,556,556,526,402,495,618,649,800,556,742,402,1200,417,433,526,371,556,433,495,402,495,1994,448,510,492,402,371
District I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
District III,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
District IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District V,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
District VII,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District VIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District IX,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XI,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
District XII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
District XIII,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
District XIV,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
District XV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XVII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XVIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XIX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XXI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XXII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XXIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Street,Karinthy Frigyes út,Kassák Lajos utca,Drégely utca,Liliom utca,Váci út,Szent István körút,Fűrész utca,Madách Imre út,Munkás utca,Hadriánus utca,Egressy út,Cinkotai út,Kálmán Imre utca,Móricz Zsigmond körtér,Szőlő utca,Széher út,Erkel utca,Hermann Ottó utca,Szabó Ilonka utca,Havas utca,Branyiszkó út,Derék utca,Iskola utca,Fillér utca,Madách Imre út,Kövér Lajos utca,Honvéd tér,Somogyi Béla utca,Batthyány utca,Újvilág utca,Tóth Kálmán utca,Szent István körút,Hattyú utca,Budafoki út,Egressy út,Dagály utca,Szabolcs utca,Hegyalja út,Podmaniczky utca,Hegedű utca,Kucsma utca,Kerékgyártó utca,Benczúr utca,Kondorosi út,Nádorliget utca,Baranyai utca,Csévi utca,Hadriánus utca
Size(sqm),40,51,42,38,43,53,33,36,42,51,84,90,37,33,50,40,42,62,55,122,65,68,47,50,36,33,55,59,96,51,70,53,80,42,53,70,38,58,29,45,30,42,160,40,57,43,39,51
Number of rooms,"
                1 room                            ","
                2 rooms                            ","
                2 rooms                            ","
                1 room                            ","
                1 room                            ","
                1 room                            ","
                1 room                            ","
                1 room                            ","
                1 room                            ","
                2 rooms                            ","
                3 rooms                            ","
                2 rooms                 + 1 half room            ","
                1 room                            ","
                1 room                            ","
                1 room                 + 1 half room            ","
                1 room                 + 1 half room            ","
                1 room                            ","
                2 rooms                 + 1 half room            ","
                2 rooms                            ","
                3 rooms                            ","
                3 rooms                            ","
                3 rooms                            ","
                2 rooms                            ","
                2 rooms                            ","
                1 room                            ","
                1 room                            ","
                1 room                            ","
                1 room                 + 2 half room            ","
                3 rooms                            ","
                3 rooms                            ","
                2 rooms                 + 1 half room            ","
                1 room                            ","
                3 rooms                            ","
                1 room                            ","
                2 rooms                            ","
                3 rooms                            ","
                1 room                            ","
                1 room                 + 2 half room            ","
                1 room                            ","
                2 rooms                            ","
                1 room                            ","
                1 room                 + 1 half room            ","
                4 rooms                            ","
                1 room                 + 1 half room            ","
                2 rooms                            ","
                1 room                 + 2 half room            ","
                1 room                 + 1 half room            ","
                2 rooms                            "
Type of the building,Brick Apartment,Block Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Block Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Brick Apartment,Block Apartment
Deposit,927,1530,1020,927,804,804,742,804,804,742,1849,1113,1169,773,1020,773,927,1546,1546,3679,1175,1113,1113,1051,804,1082,1237,1298,1600,1113,1484,804,1363,835,866,1051,742,1237,866,989,804,989,3988,896,1020,983,804,742
Utilities,62,62,62,62,62,77,62,62,62,71,62,77,77,31,25,40,53,62,46,124,62,62,37,56,15,46,62,108,93,77,40,56,93,62,71,77,25,46,68,31,46,62,108,46,46,62,62,62
Common cost,37,28,25,28,31,28,28,19,37,37,108,56,31,31,40,46,28,40,62,31,46,56,37,46,40,22,37,37,65,31,53,31,62,31,37,53,71,49,25,77,31,34,62,-1,31,25,31,46
Number of separate rooms,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,2,-1,3,0,2,2,2,2,-1,-1,-1,-1,2,2,2,2,-1,2,-1,2,2,-1,3,-1,0,-1,1,3,1,1,2,2,2
Furniture,"Furnished, equipped","Empty, equipped","Empty, equipped","Partly furnished, equipped","Empty, furnished as well","Furnished, equipped",Empty,"Furnished, equipped","Furnished, equipped","Furnished, equipped","Empty, equipped","Partly furnished, equipped","Furnished, equipped","Empty, furnished as well",Furnished by designer,"Partly furnished, equipped","Furnished, equipped","Empty, equipped","Furnished, equipped","Furnished, equipped","Empty, equipped",Empty,"Partly furnished, equipped","Furnished, equipped","Partly furnished, equipped","Furnished, equipped",Furnished or unfurnished,"Furnished, equipped","Furnished, equipped","Partly furnished, equipped","Furnished, IKEA, KIKA","Furnished, equipped","Partly furnished, equipped","Furnished, equipped","Furnished, equipped","Furnished, equipped","Furnished, equipped","Empty, equipped","Furnished, equipped","Furnished, equipped","Furnished, equipped","Furnished, equipped",Luxury,"Partly furnished, equipped","Partly furnished, equipped","Partly furnished, equipped",Partly furnished,"Furnished, equipped"
Floor,5,1,4,Ground floor,Ground floor,3,1,2,2,9,Rooftop,1,3,Half floor,3,1,3,1,Ground floor,1,Ground floor,2,1,2,2,Ground floor,2,3,3,Ground floor,5,3,3,4,3,1,4,2,1,4,Ground floor,1,2,6,4,4,Half ground floor,9
Balconies,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
View,"Street, quiet",To the street,To the street,Overlooking the garden,Overlooking the garden,To the street,To the street,To the street,To the courtyard,View to the hills,Street and courtyard,"Courtyard, sunny",To the courtyard,"Street, sunny",Park view,Overlooking the garden,"Courtyard, sunny","Courtyard, sunny",Overlooking the garden,Panoramic,Overlooking the garden,To the street,"Street, sunny","Courtyard, sunny",To the street,To the courtyard,Park view,"Courtyard, sunny","Courtyard, sunny",Overlooking the garden,Overlooking the garden,Street and courtyard,To the street,"Courtyard, sunny",Park view,Street and courtyard,"Street, sunny",View to the hills,To the courtyard,"Street, sunny",To the street,To the street,To the street,Park view,To the street,Overlooking the garden,"Courtyard, sunny",To the street
Shortest rental period,At least one year,-1,-1,-1,-1,-1,-1,-1,-1,At least one year,At least one year,At least one year,At least one year,7 months,6 months,At least one year,At least one year,At least one year,At least one year,At least one year,-1,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,10 months,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year,11 months,At least one year,At least one year,At least one year,At least one year,At least one year,At least one year
Children welcomed,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,Yes,-1,-1,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,-1,-1
American kitchen,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1
Can be an office,Yes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,-1,-1,-1,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,-1
Foreigners welcomed,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yes,-1,-1,Yes,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Washing machine,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
Details, ,budapestalberletek.alberlet.hu,budapestalberletek.alberlet.hu,budapestalberletek.alberlet.hu,budapestalberletek.alberlet.hu,budapestalberletek.alberlet.hu,budapestalberletek.alberlet.hu,budapestalberletek.alberlet.hu,budapestalberletek.alberlet.hu,"Perfect quiet flat at a perfect location for staying in Bp.  
With 2 rooms. Low costs.  
Available immediatelly.  
Only for long term. Two month deposit and first month rental price.",www.renthungary.hu,www.renthungary.hu,"37 sqm, SUNNY and QUIET flat for rent in Pest 5th district near to OKTOGON. 
 The location's is very cool, the transport is excellent, just few mins walk from M3 and 4-6 tram  station. 

 The flat is furnished and fully equipped and AIR-CONDITIONED.

The rental fee is 189.000 HUF per month  
utilities(gas, electicity, water) are overhead on basis according to measured consumption.  
The common cost is 10.000 HUF per month 

Only available for long term rent(minimum renting period is 12 month). 
 Two months deposit needed.
",diamond.alberlet.hu,-1,"------>ONLY FOR LONG TERM, MINIMUM 1 YEAR with 2 month deposit , and first month rent. It can be mooved from the MIDDLE OF DECEMBER!<------ 
YOU CAN CALL ME ON THE WEEKEND TOO! 
OUR SERVICE IS FREE FOR THE TENANTS! 
I can speak in English!","In the 9th district, on Erkel Street, a 42 sqm, 1 bedroom, furnished, mechanized, galvanized, 3rd floor, air-conditioned, bathtub, bright, January moveable apartment is for rent. 

The real estate cost and common cost together amount to about 26,000 Forints, but it obviously depends on consumption as well. 
Keeping pets and smoking in the apartment is not allowed. (You can smoke in the corridor.) 
Near the apartment are the Corvinus, the Market Hall, the Kalvin Square and Fovam Square. 

Minimum rental period is 1 year. 
The apartment can be moved from January by paying 2 month deposit and the rent for the month month!","Apartment FOR RENT in 2nd district at Herman Otto Street is a spacious freshly RENOVATED 62nm, unfurnished, 1st floor 3room apartment  with terrace and A/C and terasse in quiet environment.        

LAYOUT:2 bedrooms + 1 living room + kitchen, bathroom with bath tub, separate toilet.       
EQUIPPED:  washing machine, air-conditioner, Alarm, owen , microwave, dishwashermachine       

Cozy, comfortable home in a beautiful, quiet environment is recommended for couples and families. .   

Easily accessable by public transportation close Mammut  and Szell Kalman ter.        
Many International Schools/nursery  is nearby        
Sorry NO pets and Smoking.       

Rental Price: 250,000.-HUF/month +cc + utilities       
Available immediately, for a long distance, for a minimum of one year. with 2 monthly deposit       

Only for demanding tenants with reference.        
Please feel free contact for more information even on weekends.        
","Cosy FLAT FOR RENT in the 1st district at Szabo Ilonka st near Szell Kalman Sqr and Mammut mall.    

The apartment is 55 sqm fully equipped and furnished  a big living room w/ american kitchen,with bedroom,bathroom and separate toilet.    
Suitable for businessmen and couples.    

All costs including electricity, heating and common cost is paid monthly.    

Can be moved in immediately by paying deposit (2months rent fee) and one month rent fee.    

Sorry NO smoking and pets allowed.    

Only for demanding tenants with reference.    

Please feel free to contact me on weekends as well.","In the 5th district, there is a LUXURY apartment with a view for the DANUBE, in the Havas street for rent.

The interior is designed and built by an interior designer and is unique and stylish. 
-American-style, fully mechanized kitchen with the most modern machines-spacious and bright living room
-2 bedrooms, with bathroom and wardrobe
-guest toilet
-fully air-conditioned

transport is excellent, M3, M4 Metro, 2, 47 and 49, is just a 3 minutes walk far.

It can be moved immediately for a 2-month deposit and one-month rental fee. (for long term, at least 1 year)

","Apartment FOR RENT in the 2th district in Branyiszko utca   a newly renovated bright and cosy villa flat with garden use                    

1 livingroom w/ kitchen 2 separate bedrooms, bathroom w/shower and toilet.                    

Newly RENOVATED, not fully equipped(no dishwasher)  or UNFURNISHED.                  
Washing machine is negotiatable.                    

All costs including electricity, heating and common cost is 35 000 HUF.                      

Can be moved in immediately by paying deposit (2 months rent fee) and 1 month rent fee.                     
For LONG TERM ONLY, at least 1 year.                      

Sorry NO smoking and pets are allowed.                      

Only for demanding tenants with reference.","FOR RENT  in the 1st district at Naphegy  a  2nd floor 68nm very bright apartment with 3rooms  and AIRCONDITIONING also small terasse .    

Rooms: Livingroom, 2bedroom, hall, kitchen, 2 bathrooms  bathtub. kitchen with only stove and oven  washing can be arranged.     

Common cost: 20000ft. The overhead costs (gas, electricity, Internet) shall be paid in addition to the current meter's positions, cleared monthly. Two months of deposit are required when moving on. You can move immediately to pet and smoking is not allowed.     

Recommended for couples, students and businessmen.     
AVAILABLE, Can be moved in immediately. For a long term, for a minimum of 1 year with 2 monthly deposit and the first month rent,    
Sorry NO smoking and pets.     

Only for demanding tenants with reference.     
Please feel free to contact me on weekends as well.    
","Cosy FLAT FOR RENT in the 1st district in Iskola street just a few minute walk away from Batthyany square.            

The freshly renovated and furnished apartment is 47 sqm with livingroom, kitchen, bathroom and 2 Separated bedrooms.            

Can be moved in immediately by paying deposit (2months rent fee) and one month rent fee.            
LONG TERM ONLY, at least 1 year.            

Sorry NO smoking and pets allowed.            

Only for demanding tenants with reference.            
Please feel free to contact me on weekends as well.","Cosy FLAT FOR RENT in the 2nd district in Filler street near Szell Kalman Sqr and Varosmajor.                

The fully equipped and UNFURNISHED apartment Wwith Aircinditioning is 50 sqm with bedroom, livingroom, kitchen, bathroom and separate toilet.                 

All costs including electricity and heating is 18 000 HUF                

Can be moved in immediately by paying deposit (2months rent fee) and one month rent fee.                
LONG TERM ONLY at least 1 year.                

Sorry NO smoking and pets allowed.                   

Only for demanding tenants with reference.                                

Please feel free to contact me on weekends as well.","FOR RENT a 36 sqm furnished studio apartment at Madach Imre st  on the first floor w/Elevator. The  studio          
Layout: living room with  kitchen, bedroom, bathroom and toilet.          
Pets not allowed in smoking are not permitted.         
Available immediately to  move in  for a  minimum of one year with a two-month deposit and a first month rent.          
Rent: 130.000 HUF/month          
The Common cost includes heating and water usage.         
For reliable tenants.         
Please feel to contact even on weekends","Rent a 33sqm American kitchen with a modern, furnished and mechanized ground floor of a contemporary studio apartment in the XIV. District Kožana Lajos Street.
The apartment has a terrace.

Common cost: 7640ft overhead: 15.000 HUF parking: House Front Street free Internet: UPC pet Discussion question.

You can move immediately with the 2 monthly deposit and the first monthly rental fee.
For long term rent, min. 1year.","55 sqm, 1st floor, in a good condition flat for rent in Pest 5th district near to Danube. The location's milieu  is laxouriousm friendly, nice area, the public transportation is good, just 2 minutes walk from M3 metro station, the 7, 8E, 173E, 5 bus can be reached within 1 mins. The flat is empty . If you want the owner will buy further furniture for higher rent.             
The rental fee is 160.000 per month plus utilities(gas, electricity, water) are overhead on basis according to measured consumption.             
The common cost is 16.000 HUF.            
Only available for long term rent(minimum one year). 2 months deposit needed.","59 sqm, SUNNY and QUIET flat for rent in Pest 8th district near to Blaha Lujza Square. 
 The location's is very cool, the transport is excellent, just few mins walk from M2, M4 and 4-6 tram  station. 

 The flat is furnished and fully equipped. AIR CONDITIONED.

The rental fee is 210.000 HUF per month  
utilities(gas, electicity, water) are overhead on basis according to measured consumption.  
The common cost is 12.000 HUF per month 

Only available for long term rent(minimum renting period is 12 month). 
 Two months deposit needed.
","Perfect quiet flat at a perfect location for staying in Bp.                                                                                             
With 3 rooms.                                                                                          
Available immediatelly.                                                                              
Only for long term. Two month deposit and first month rental price.","Rent a 51 sqm, innovative, American kitchen with living room + 2 bedrooms, partially furnished and mechanized (fridge, stove, washing machine, microwave, dishwasher), air conditioning, ground floor, own garden connection (4nm), bright brick flat, the 14th. District in Ujvilag Street. 

Common cost: 10.000 HUF/month. 
Overhead: 20-25,000 HUF/month. 
Internet: UPC. 
Parking: Street, free of charge. 
The apartment is invoice-based! 


The child-friendly apartment is ideal for 2-3 persons. 
Pet rearing is not allowed. 

You can move immediately with the 2 monthly deposit and the first monthly rental fee. 
For long term rent for min. 1 year.","In district 9, on Toth Kalman utca, a 70 sqm 2 + 1 half room (2 bedrooms), furnished, equipped, new, air-conditioned, with balcony (5 sqm), 5. floor, immediately moveable apartment for rent.

The cost of living and the common cost together is approximately 30,000 HUF per month, but it obviously depends on consumption as well.
There is no possibility of smoking in the apartment and keeping pets.

Minimum rental period is 1 year.
The apartment can be moved immediately by paying a 2 month deposit and the rent for the month.","In the 5th district, on Szent Istvan ringroad, a 53 sqm 1 bedroom, balcony (3 sqm), furnished, mechanized, downtown, pet friendly, 3rd floor, lift, with bath, immediately moveable apartment is for rent.

The cost of living and the common cost together amounts to about 28,000 HUF per month, but it also depends on consumption.
Pets are allowed. Smoking is only possible on the balcony.

Minimum rental period is 1 year.
You can move immediately with 2 month deposit and payment of the monthly rent per month!","In the first District, in the water town from December for rent a restored, partially furnished, mechanized, 3. Floor (elevator), flat with balcony, apartment with announcement and invoice.

The apartment has an entrance hall, a living room + American kitchen, two bedrooms with separate opening, a bathroom with shower + WC and a separate toilet.

The heating system is provided by an electric water heater.
Overhead: according to consumption.
Parking: On the street or underground parking lot can be rented nearby.
Transport is excellent.
Within walking distance you will find the Szell Kalman Square and the Batthyany square with numerous bus and tram connections and Metro line 2.

Smoking and pets are not allowed in the apartment.

The apartment is for a long term, with a minimum of one year.
It can be moved by two monthly deposit and the month of rent.
","FLAT FOR RENT NEAR MUSZAKI UNIVERSITY! 

In the XI.district, RENOVATED 1 bedroom, COMPLETELY EQUIPPED AND FURNISHED, KLIMATIZED flat with electric heating panel for rent. 

Transport: M4 metro, E buses 
Shopping facilities: Allee shopping center, Lidl, Rossmann, Fehervari road market. 
No pets can be brought or smoking. 

2 months deposit + 1 month rental fee!",-1,"In the Dagaly Street for Rent 70sqm, with 3 rooms (2 separate opening) furnished and mechanized flat. 
Shared costs 17.000 HUF, the overhead cost is extremely low, only payable on the basis of consumption.                                        
You can move immediately with 2 monthly deposit and 1 month's rental fee for a minimum of 1 year.                                                                
----call with confidence, from morning to evening and don't miss out, check out the rental property ASAP.                                                                                                     

Mediation is free of charge for our clients.                                                                                                      

If I can not add the phone, I recall!                                                                                                     




","In district 13, in Szabolcs street, near Dozsa Gyorgy road, on the 4th floor of a NEWLY BUILT HOUSE with LIFT, a 38 sqm flat is for rent. The flat is FURNISHED and EQUIPPED (electric stove, oven, fridge, washing machine). It consists of an ample and bright room, an attached kitchen, a bathroom (with tub), and a BALCONY.                       

Sophisticated small dog might be accepted.                      

In the UNDERGROUND GARAGE of the house, a parking spot can be rented.                      

The common cost is 23,000 HUF, and the overhead is an average of around 8,000.                       

The public transport connection is good: Tram nr. 14, Bus nr. 30, 105, 230, Trolley nr. 72, 75, 79, Night bus nr. 914 and 914A are accessible within minutes.                      

The flat can be occupied IMMEDIATELY, for long-term, by paying 2 month deposit and 1 month rental fee in advance.                      
Show-around is free of charge. Callings are accepted during daytime.                      
","In district 12, on Hegyalja road, on the 2nd floor of a 60s condominium, a 58 + 7 sqm, RENOVATED, AIR-CONDITIONED flat is for rent.   
The flat is PARTLY FURNISHED (can be taken unfurnished as well) and EQUIPPED (stove, oven, fridge, washing machine, dishwasher). It consists of an ample and bright big room, 2 also sunshiny smaller rooms, a bathroom (with tub), a separate toilet, two 3.5 sqm BALCONIES, a 2 sqm store-room in the basement, and plenty of storing space.   

The windows and balconies of the flat look to the silent and green garden.  

In the garden of the building, there is possibility for car parking.  

The common cost is 16,000 HUF, and the overhead is an average of around 15,000.    

The public transport connection is good: by Bus nr. 8E and Night bus nr. 908, the city centre can be reached within 15 minutes.  

The flat can IMMEDIATELY be moved in for long-term, by paying 2-month deposit and the 1st month’s rental fee in advance.  
Show-around is free of charge. Callings are accepted during daytime.  
"," 



"," 


",fh.alberlet.hu,"42 sqm, pet-friendly, fully furnished, 1st floor,  Kerékgyártó Street in the 14th district with 2 lovely, separated rooms, balcony The flat is fully renovated and the kitchen is totally equipped with washing machine and dishwasher also. A circulating system provides the heating and hot water, so the overhead depends on consumption. Common cost is 10.130 HUF and the deposit is two months of the rental fee. Public transport is excellent (subway 3 and bus 7 are only few minutes walk away). Available for long term (minimum 1 year) and you can move from the 1st of jun.  ","For rent in annex VI. District, in the Benczur utca 2. Floor, living room, 3 bedrooms, 2 bathrooms, separate kitchen and toilet, chamber, Interior terrace, nicely furnished and mechanized property.

If you have any questions, check with confidence!
Deposit: 2months. You can take possession of them immediately!",pesthouse.alberlet.hu,pesthouse.alberlet.hu,www.renthungary.hu,"II. district, 39 sm, 4 sm loggia, 1 living-room and a half room, bathroom (with bath). Very beautiful flat to rent min. 1 year. Now it is a cosmetic salon, the owner wants to give to rent for same profile (or massage). Very good location, the windows see to the inner garden. Please call me if you want to see. ",fh.alberlet.hu
Area,Móricz Zsigmond square,Near Danube,"Bazilika, Nyugati square, Oktogon","Near Danube, Móricz Zsigmond square","Fővám tér, Kálvin square",Széll Kálmán square,"Near Danube, Pedestrian street, Váci street",Széll Kálmán square,"Near Danube, Parlament, Széll Kálmán square","Széll Kálmán square, Vár","Deák square, Inside Nagykörút","Corvin negyed, Oktogon","Széll Kálmán square, Vár","Jászai Mari square, Nyugati square","Near Danube, Széll Kálmán square","Near Danube, Móricz Zsigmond square",Oktogon,Móricz Zsigmond square,Széll Kálmán square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,"4, 6 trams, 47, 49 trams, 7 bus, Matro 4",Metro 2 red,"4, 6 trams, Metro 3 blue						","4, 6 trams, 47, 49 trams, 7 bus, Matro 4","47, 49 trams, Metro 3 blue, Matro 4						",Metro 2 red,"4, 6 trams, Metro 2 red						","47, 49 trams, Metro 3 blue, Matro 4						","47, 49 trams, Metro 2 red",Metro 2 red,"47, 49 trams, Metro 1 historic line, Metro 2 red						","4, 6 trams, Metro 2 red, Matro 4						","4, 6 trams, Metro 2 red						",7 bus,"4, 6 trams, Metro 3 blue						","4, 6 trams, Metro 2 red",Matro 4,"4, 6 trams, Metro 3 blue						","4, 6 trams, Metro 1 historic line						","4, 6 trams, 47, 49 trams, 7 bus, Matro 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
