,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Price per month,2 900,1 833,621,2 951,466,559,1 833,373,311,2 019,1 087,1 010,373,1 460,2 100,1 708,500,559,683,1 087,373,466,186,249,746,1 708,404,1 087,373,621,1 864,3 103,777,590,606,1 833,1 491,3 417,1 491,559,683,1 491,1 833,1 336,2 400,4 000,1 211,1 802
District,"Budapest, II. District","Budapest, II. District","Budapest, XVI. District","Budapest, III. District","Budapest, XI. District","Budapest, XXI. District","Budapest, II. District","Budapest, XV. District","Budapest, XV. District","Budapest, XIII. District","Budapest, II. District","Budapest, XVIII. District","Budapest, XXIII. District","Budapest, XI. District","Budapest, III. District","Budapest, II. District","Budapest, II. District","Budapest, XXI. District","Budapest, II. District","Budapest, X. District","Budapest, III. District","Budapest, XX. District","Budapest, XXII. District","Budapest, XVIII. District","Budapest, XVII. District","Budapest, X. District","Budapest, III. District","Budapest, III. District","Budapest, XX. District","Budapest, XVI. District","Budapest, II. District","Budapest, III. District","Budapest, XXII. District","Budapest, XVIII. District","Budapest, XI. District","Budapest, II. District","Budapest, XII. District","Budapest, XII. District","Budapest, XII. District","Budapest, XIX. District","Budapest, II. District","Budapest, XII. District","Budapest, II. District","Budapest, XI. District","Budapest, II. District","Budapest, II. District","Budapest, III. District","Budapest, XI. District"
Street,Szalamandra út,Aszu utca,Ágoston Péter utca,Nyereg út,Háromszék utca,Fürjes utca,Kilincs utca,Bartók Béla utca,Lehel utca,Pajtás utca,Széchenyi utca,Nefelejcs utca,Maros utca,Görbe utca,Jablonka út,Budakeszi út,Pusztaszeri út,Rákóczi Ferenc (II.) út,Hideg utca,Rákász utca,Határ utca,Előd utca,Bocskai utca,Nefelejcs utca,Õsrepülő utca,Pesti Gábor utca,Berzsenyi Dániel utca,Kőpor köz,Szabadka utca,Vörösmarty utca,Budakeszi út,Jeles utca,mező utca,Móra Ferenc utca,Verbéna utca,Kilincs utca,Lejtő út,Fodor utca,Lejtő út,Nagysándor József utca,Szegfű utca,Lejtő út,Kilincs utca,Fejér Lipót utca,Tópart utca,Csatlós utca,Hanga köz,Nagymákfa utca
Size,"
                            280 sqm                        ","
                            300 sqm                        ","
                            100 sqm                        ","
                            390 sqm                        ","
                            50 sqm                        ","
                            100 sqm                        ","
                            310 sqm                        ","
                            36 sqm                        ","
                            32 sqm                        ","
                            230 sqm                        ","
                            120 sqm                        ","
                            200 sqm                        ","
                            70 sqm                        ","
                            92 sqm                        ","
                            280 sqm                        ","
                            208 sqm                        ","
                            45 sqm                        ","
                            80 sqm                        ","
                            90 sqm                        ","
                            120 sqm                        ","
                            46 sqm                        ","
                            73 sqm                        ","
                            35 sqm                        ","
                            20 sqm                        ","
                            150 sqm                        ","
                            292 sqm                        ","
                            70 sqm                        ","
                            140 sqm                        ","
                            45 sqm                        ","
                            85 sqm                        ","
                            250 sqm                        ","
                            420 sqm                        ","
                            155 sqm                        ","
                            90 sqm                        ","
                            90 sqm                        ","
                            290 sqm                        ","
                            80 sqm                        ","
                            310 sqm                        ","
                            80 sqm                        ","
                            120 sqm                        ","
                            100 sqm                        ","
                            80 sqm                        ","
                            310 sqm                        ","
                            110 sqm                        ","
                            200 sqm                        ","
                            260 sqm                        ","
                            144 sqm                        ","
                            200 sqm                        "
Number of rooms,"
                6 rooms                            ","
                5 rooms                 + 1 half room            ","
                3 rooms                            ","
                5 rooms                 + 4 half room            ","
                2 rooms                            ","
                3 rooms                            ","
                5 rooms                            ","
                1 room                 + 1 half room            ","
                1 room                            ","
                4 rooms                 + 2 half room            ","
                4 rooms                            ","
                6 rooms                 + 2 half room            ","
                2 rooms                            ","
                3 rooms                            ","
                5 rooms                            ","
                6 rooms                            ","
                1 room                 + 1 half room            ","
                3 rooms                            ","
                3 rooms                            ","
                1 room                 + 2 half room            ","
                1 room                            ","
                2 rooms                            ","
                1 room                            ","
                1 room                            ","
                4 rooms                            ","
                5 rooms                            ","
                1 room                            ","
                4 rooms                            ","
                1 room                            ","
                3 rooms                            ","
                7 rooms                            ","
                5 rooms                            ","
                4 rooms                 + 2 half room            ","
                3 rooms                            ","
                2 rooms                 + 1 half room            ","
                5 rooms                            ","
                2 rooms                            ","
                7 rooms                            ","
                3 rooms                            ","
                3 rooms                 + 1 half room            ","
                2 rooms                 + 1 half room            ","
                3 rooms                            ","
                6 rooms                            ","
                5 rooms                            ","
                3 rooms                 + 2 half room            ","
                5 rooms                            ","
                5 rooms                            ","
                3 rooms                            "
Type of the building,House,House,House,House,Part of house,House,Semi detached house,Part of house,Part of house,House,Semi detached house,House,House,House,House,House,House,House,Part of house,Part of house,Part of house,Semi detached house,House,Part of house,Row house,House,House,House,Part of house,House,House,House,Part of house,House,Part of house,Semi detached house,Part of house,"Castle, villa",Part of house,House,Row house,Part of house,Semi detached house,Semi detached house,Semi detached house,House,Row house,Semi detached house
Deposit,5 800 EURO,3 665 EURO,1 243 EURO,5 902 EURO,932 EURO,1 118 EURO,3 665 EURO,746 EURO,621 EURO,4 038 EURO,2 174 EURO,2 019 EURO,1 118 EURO,2 920 EURO,4 200 EURO,3 417 EURO,500 EURO,1 118 EURO,1 367 EURO,2 174 EURO,746 EURO,932 EURO,373 EURO,497 EURO,1 491 EURO,3 417 EURO,808 EURO,2 174 EURO,746 EURO,1 243 EURO,3 728 EURO,6 206 EURO,777 EURO,1 180 EURO,1 211 EURO,3 665 EURO,2 982 EURO,10 251 EURO,2 982 EURO,1 118 EURO,1 367 EURO,1 491 EURO,3 665 EURO,2 671 EURO,4 800 EURO,8 000 EURO,2 423 EURO,3 603 EURO
Utilities,155 EURO / month,124 EURO / month,62 EURO / month,186 EURO / month,78 EURO / month,93 EURO / month,186 EURO / month,78 EURO / month,53 EURO / month,186 EURO / month,155 EURO / month,155 EURO / month,124 EURO / month,155 EURO / month,124 EURO / month,3 EURO / month,93 EURO / month,124 EURO / month,93 EURO / month,124 EURO / month,62 EURO / month,124 EURO / month,47 EURO / month,93 EURO / month,124 EURO / month,155 EURO / month,9 EURO / month,155 EURO / month,3 EURO / month,124 EURO / month,155 EURO / month,93 EURO / month,43 EURO / month,155 EURO / month,124 EURO / month,155 EURO / month,124 EURO / month,466 EURO / month,109 EURO / month,16 EURO / month,109 EURO / month,155 EURO / month,155 EURO / month,124 EURO / month,62 EURO / month,62 EURO / month,155 EURO / month,155 EURO / month
Common cost,3 EURO / month,No info available,3 EURO / month,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,3 EURO / month,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,16 EURO / month,No info available,No info available,No info available,3 EURO / month,No info available,No info available,No info available,No info available,No info available,No info available,No info available,No info available,3 EURO / month
Number of separate rooms,5,No info available,2,7,2,3,4,No info available,No info available,6,3,7,2,2,5,6,1,3,3,2,No info available,No info available,No info available,1,No,No info available,No info available,3,No info available,2,6,4,No info available,3,3,5,1,6,2,No info available,2,No info available,6,5,5,5,4,3
