ID,Apartment,House,Room,Price per month,Size(sqm),Price per sqm,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Street,Number of rooms,Number of seperate rooms,Number ofhalf rooms,Type of the building,Brick apartment,Block apartment,Deposit,Utilities,Common cost,Furniture,Furnished,Equipped,Partly furnished,Empty,Floor,Balconies,View,View: Courtyard,"View: Courtyard, sunny","View: Courtyard, not sunny",View: Danube,View: Garden,View: Roof,View: Square,View: Panoramic,View: Park,View: Street,"View: Street, quiet","View: Street, sunny",View: City,View: Hill,Shortest rental period,Children welcomed,American kitchen,Can be an office,Foreigners welcomed,Washing machine,Details,Area,Transportation,Near universities,Latitude,Longitude,Lats,Lons,Postcode,District,Amenity: Sustenance,Amenity: School,Amenity: Education,Amenity: Financial,Amenity: Healthcare,Amenity: Arts,Amenity: Entertainment,Amenity: Religion,Amenity: police,Amenity: Government,Amenity: Vending_machine,Amenity: Transportation_bicycle,Amenity: Transportation_car,Amenity: Fuel,Amenity: Parking,Amenity: Coworking_space,Amenity: Recycling,Amenity: Others
1021,1,0,0,1100,133,8.270676692,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stollár Béla utca,"
                3 rooms                            ",3,0,Brick Apartment,1,0,2200,77,43,"Furnished, new furniture",1,0,0,0,5,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,1,1,"Dominated  by a rare space and size with an ideal sunny aspect, this stylish dual level residence presents a lifestyle of quality and sophistication in a celebrated downtown setting. The flat is airconditioned.","Near Danube, Danube view","47, 49 trams, Matro 4						","Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.969 km )Általános Vállalkozási Főiskola - ÁVF ( 1.868 km )Budapesti Corvinus Egyetem - BCE-KIK ( 1.855 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 1.711 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE BCE ( 1.800 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem  - BKÁE ÉTK BCE ÉTK ( 1.740 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE GTK BCE GTK ( 1.800 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KERTK BCE KERTK ( 1.740 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KTK BCE KTK ( 1.800 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE TÁJK BCE TÁJK ( 1.740 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ( 1.953 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ÉSZK ( 1.953 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME GTK ( 1.953 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME KSK ( 1.953 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME TTK ( 1.953 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-ÉŐK ( 1.953 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-VBK ( 1.953 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.657 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.657 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.717 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 1.925 km )Eötvös Loránd Tudományegyetem - ELTE TÓFK ( 1.381 km )Fernuniversitätgesamthochschule in Hagen - FU ( 1.868 km )Közép-Európai Egyetem - KEE ( 1.099 km )Károli Gáspár Református Egyetem - KRE ( 1.894 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.510 km )Semmelweis Egyetem - SE TSK ( 1.032 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.140 km )Central European University - CEU ( 1.099 km )

                    More
                    



",47.5102696,19.0506735,47.5102696,19.0506735,1055,5,1097,92,11,191,106,77,77,47,14,14,134,343,8,14,224,5,19,901
1022,1,0,0,417,38,10.97368421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bajnok utca,"
                1 room                            ",1,0,Brick Apartment,1,0,835,31,40,"Furnished, equipped",1,1,0,0,0,-1,"Courtyard, sunny",1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,-1,-1,-1,-1,newlife.alberlet.hu,Váci street,"4, 6 trams, 47, 49 trams, 7 bus, Matro 4						",,47.5116498,19.0662395,47.5116498,19.0662395,1063,6,1016,96,13,162,111,42,77,38,13,5,79,284,11,13,163,6,19,651
1023,1,0,0,402,53,7.58490566,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Menyecske utca,"
                2 rooms                            ",2,0,Brick Apartment,1,0,804,56,22,"Furnished, equipped",1,1,0,0,7,-1,Panoramic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,-1,-1,-1,-1,-1,-1,"Jászai Mari square, Inside Nagykörút","4, 6 trams						",,47.4610228,19.0139305,47.4610228,19.0139305,1112,11,60,63,3,24,29,3,12,13,0,0,18,47,12,0,297,0,10,489
1024,1,0,0,742,84,8.833333332999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Pozsonyi út,"
                2 rooms                            ",2,0,Brick Apartment,1,0,1484,56,37,"Partly furnished, equipped",0,1,1,0,1,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,1,-1,-1,-1,"Corvin negyed, Pedestrian street","4, 6 trams",,47.51886,19.0518555,47.51886,19.0518555,1137,13,490,65,5,108,91,27,24,32,14,8,105,223,8,14,209,3,19,635
1025,1,0,0,587,54,10.87037037,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Trencséni utca,"
                2 rooms                            ",2,0,Brick Apartment,1,0,1175,46,43,"Furnished, equipped",1,1,0,0,2,-1,Panoramic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,-1,-1,-1,-1,newlife.alberlet.hu,Corvin negyed,"4, 6 trams						",,47.5051657,19.0037281,47.5051657,19.0037281,1125,12,110,65,0,21,53,8,13,18,2,2,53,34,2,2,128,1,11,539
1026,1,0,0,371,27,13.74074074,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ernő utca,"
                1 room                            ",1,0,Brick Apartment,1,0,742,46,22,"Furnished, equipped",1,1,0,0,0,-1,To the courtyard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,-1,-1,-1,-1,rieltor.alberlet.hu,-1,"4, 6 trams, Metro 1 historic line						",,47.4781943,19.0838168,47.4781943,19.0838168,1094,9,256,114,2,46,78,11,51,29,5,3,65,70,10,5,193,0,11,354
1027,1,0,0,800,65,12.30769231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rottenbiller utca,"
                3 rooms                            ",3,0,Brick Apartment,1,0,1600,62,46,"Partly furnished, equipped",0,1,1,0,3,-1,To the street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,-1,-1,-1,-1,-1,"65 sqms two bedroom apartment is for rent next to the Veterinary University, on request with furnitures!

The third floor apartment is freshly renovated and has new windows and doors. The apartment consists of two separate bedrooms, two bathrooms, a living room and an equipped kitchen. 
Each bedroom has a bathroom with shower and toilet (The shower is an extraordinary Wellis hydromassage shower cabin). Both of the bedrooms have air-conditioning system.
The apartment has just been totally renovated with electricity, water and the heating system change. The apartment's machines were replaced to new ones: cooker, electrical owen, fridge, microwave and washing machine.
At the moment the apartment is partly furnished, but on request it can be rented with furnishing.
The flat has air-conditioning.
The location of the apartment is excellent, it is in the heart of the city with many entertainment and shopping opportunities.
Considering the public transport opportunities the 4-6 tram, the M1, M2 and M4 metros are all in walking distance, furthermore several buses are available too.

Rental fee: 800 €/month
Common cost: 11 375 Ft/month
Two months deposit is needed.","Near Danube, Móricz Zsigmond square",Metro 3 blue,"Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 0.957 km )Általános Vállalkozási Főiskola - ÁVF ( 1.955 km )Budapesti Corvinus Egyetem - BCE-KIK ( 1.744 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 1.372 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE BCE ( 1.122 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem  - BKÁE ÉTK BCE ÉTK ( 1.980 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE GTK BCE GTK ( 1.122 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KERTK BCE KERTK ( 1.980 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE KTK BCE KTK ( 1.122 km )Budapesti Közgazdaságtudományi és Államigazgatási Egyetem - BKÁE TÁJK BCE TÁJK ( 1.980 km )Budapesti Corvinus Egyetem - BKÁE TK BCE TK ( 1.364 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 1.521 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ( 1.486 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME ÉSZK ( 1.486 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME GTK ( 1.486 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME KSK ( 1.486 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME TTK ( 1.486 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-ÉŐK ( 1.486 km )Budapesti Műszaki és Gazdaságtudományi Egyetem - BME-VBK ( 1.486 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.527 km )Eötvös Loránd Tudományegyetem - ELTE ( 0.739 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 0.739 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 0.682 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 0.898 km )Fernuniversitätgesamthochschule in Hagen - FU ( 1.955 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.970 km )Közép-Európai Egyetem - KEE ( 0.623 km )Károli Gáspár Református Egyetem - KRE ( 0.996 km )Károli Gáspár Református Egyetem - KRE BTK ( 1.181 km )Károli Gáspár Református Egyetem - KRE HTK ( 1.400 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 1.307 km )Magyar Képzőművészeti Egyetem - MKE ( 1.778 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.398 km )Pázmány Péter Katolikus Egyetem - PPKE ( 1.125 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 0.652 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.097 km )Semmelweis Egyetem - SE ( 1.484 km )Semmelweis Egyetem - SE ÁOK ( 1.484 km )Semmelweis Egyetem - SE EFK ( 1.140 km )Semmelweis Egyetem - SE FOK ( 1.484 km )Semmelweis Egyetem - SE GYTK ( 1.484 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.077 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 0.269 km )Central European University - CEU ( 0.623 km )

                    More
                    



",47.5033805,19.0761433,47.5033805,19.0761433,1077,7,965,124,10,148,110,40,92,46,9,0,153,236,11,9,169,5,16,843
1028,1,0,0,1200,85,14.11764706,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Dolgos utca,"
                3 rooms                            ",3,0,Brick Apartment,1,0,2400,77,117,"Empty, furnished as well",1,0,0,1,2,-1,Panoramic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,-1,-1,1,-1,-1,"Close to MOM Park shopping mall in Dolgos street, 85 sqm 2nd floor apartment in a newly built apartment complex is available for a minimum of one year rent. Living room with balcony access, 2 separate bedrooms, 2 bathrooms (one with bathtube the other with shower), modern built-in kitchen with applicances. With or without furniture, fully equipped. Apartment faces to beautiful green garden, panoramic view. 24h reception. Common cost: 38,000 Huf (including reception fee). Excellent infrastructure and public transport in the area. (MOM Park, tram lines, buses). Also suitable for office use. 2 months deposit required.","Blaha Lujza square, Corvin negyed","47, 49 trams, Metro 1 historic line, Metro 3 blue, Metro 2 red						",,47.4915761,19.020635,47.4915761,19.020635,1126,12,185,71,5,31,62,26,17,25,8,4,84,53,11,8,152,0,9,627
1029,1,0,0,680,58,11.72413793,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Révay utca,"
                2 rooms                            ",2,0,Brick Apartment,1,0,1360,46,62,"Partly furnished, equipped",0,1,1,0,3,-1,To the courtyard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,-1,-1,-1,-1,"58 sqms bedroom + living room apartment for rent in Révay street!

The third floor freshly renovated apartment consists of a spacious living room, a bedroom, a bathroom and a kitchen.
The apartment is partly furnished: there are a sofa in the living room and a comfortable double bed in the bedroom.
The kitchen is connected to the living room and equipped with cooker, owen, exhauser and fridge. 
The bathroom has a shower and the toilet is in a separated area.
The delightful and quiet apartment is facing an inner yard.
Considering the location of the flat, it is located in the city centre, few minutes walk away from deák square. Therefore the public transport opportunities are excellent with the M1, M2 and M3 metros, 47, 48, 49 trams and with several buses.

Rental fee: 220.000 Ft/month
Common cost: around 20.000 Ft/month
Two months deposit is needed.","Near Danube, Fővám tér, Kálvin square, Inside Nagykörút, Váci street",Metro 1 historic line,"Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.840 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 0.839 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 0.401 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.621 km )Baptista Teológiai Akadémia - BTA ( 1.136 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.664 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 1.184 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.271 km )Közép-Európai Egyetem - KEE ( 1.274 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 0.648 km )McDaniel College - MCDC ( 1.493 km )Magyar Képzőművészeti Egyetem - MKE ( 0.440 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.816 km )Pázmány Péter Katolikus Egyetem - PPKE ( 1.914 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.880 km )Semmelweis Egyetem - SE EFK ( 1.718 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.503 km )Szent István Egyetem - SZIE ÁOTK ( 1.386 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.886 km )Central European University - CEU ( 1.274 km )

                    More
                    



",47.5015433,19.0567352,47.5015433,19.0567352,1065,6,1508,165,26,264,122,90,111,70,11,13,217,415,7,11,188,6,16,1328
1030,1,0,0,433,51,8.490196078,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Selyemfonó utca,"
                1 room                 + 2 half room            ",1,2,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,Near Danube,"4, 6 trams, Metro 1 historic line						","Andrássy Gyula Budapesti Német Nyelvű Egyetem - ANNYE ( 1.804 km )Budapesti Gazdasági Főiskola - BGF KVIFK ( 0.406 km )Bhaktivedanta Hittudományi Főiskola - BKTF ( 0.683 km )Budapesti Műszaki Főiskola - BMF BGK ( 1.770 km )Baptista Teológiai Akadémia - BTA ( 1.576 km )Eötvös Loránd Tudományegyetem - ELTE ( 1.892 km )Eötvös Loránd Tudományegyetem - ELTE ÁJK ( 1.892 km )Eötvös Loránd Tudományegyetem - ELTE BTK ( 1.576 km )Eötvös Loránd Tudományegyetem - ELTE PPK ( 1.177 km )Heller Farkas Gazdasági és Turisztikai Szolgáltatások Főiskolája - HFF ( 1.590 km )Közép-Európai Egyetem - KEE ( 0.911 km )Liszt Ferenc Zeneművészeti Egyetem - LFZE ( 0.803 km )McDaniel College - MCDC ( 1.857 km )Magyar Képzőművészeti Egyetem - MKE ( 0.837 km )Országos Rabbiképző - Zsidó Egyetem - OR ZSE ( 1.901 km )Pázmány Péter Katolikus Egyetem - PPKE ( 1.912 km )Pázmány Péter Katolikus Egyetem - PPKE HTK ( 1.908 km )Pázmány Péter Katolikus Egyetem - PPKE JÁK ( 1.876 km )Semmelweis Egyetem - SE EFK ( 1.748 km )Színház- és Filmművészeti Egyetem - SZFE ( 1.540 km )Szent István Egyetem - SZIE ÁOTK ( 1.737 km )Sapientia Szerzetesi Hittudományi Főiskola - SSZHF ( 1.657 km )Central European University - CEU ( 0.911 km )

                    More
                    



",-1.0,-1.0,-1.0,-1.0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
