ID,poi shape,poi type,coordinate,amenity_types,latitude,longitude
0,Polygon,courthouse," 19.0514766, 47.510016 ",Government,47.510016,19.0514766
13,Polygon,townhall," 19.0513466, 47.497901 ",Government,47.497901,19.0513466
15,Polygon,townhall," 19.089633, 47.5624671 ",Government,47.5624671,19.089633
86,Polygon,townhall," 19.0287295, 47.5047577 ",Government,47.5047577,19.0287295
88,Polygon,townhall," 19.1288277, 47.6307736 ",Government,47.6307736,19.1288277
98,Polygon,townhall," 18.9449967, 47.462082 ",Government,47.462082,18.9449967
99,Polygon,townhall," 19.1019774, 47.4368537 ",Government,47.4368537,19.1019774
167,Polygon,courthouse," 19.0512198, 47.5091453 ",Government,47.5091453,19.0512198
179,Polygon,townhall," 19.0547049, 47.4967095 ",Government,47.4967095,19.0547049
181,Polygon,townhall," 19.0559059, 47.4946139 ",Government,47.4946139,19.0559059
336,Polygon,townhall," 19.0408886, 47.4264313 ",Government,47.4264313,19.0408886
364,Polygon,townhall," 19.2145387, 47.3823535 ",Government,47.3823535,19.2145387
444,Polygon,courthouse," 18.938389, 47.4618386 ",Government,47.4618386,18.938389
629,Polygon,townhall," 19.0818893, 47.529621 ",Government,47.529621,19.0818893
630,Polygon,townhall," 19.0810159, 47.5301839 ",Government,47.5301839,19.0810159
631,Polygon,townhall," 19.0814426, 47.5298662 ",Government,47.5298662,19.0814426
632,Polygon,townhall," 19.0815167, 47.5299067 ",Government,47.5299067,19.0815167
633,Polygon,townhall," 19.0819503, 47.5297353 ",Government,47.5297353,19.0819503
646,Polygon,courthouse," 19.0934422, 47.5580084 ",Government,47.5580084,19.0934422
934,Polygon,townhall," 18.9201427, 47.3776365 ",Government,47.3776365,18.9201427
935,Polygon,townhall," 18.9209285, 47.3773786 ",Government,47.3773786,18.9209285
995,Polygon,townhall," 19.1312253, 47.4871833 ",Government,47.4871833,19.1312253
1010,Polygon,townhall," 19.0324771, 47.5128013 ",Government,47.5128013,19.0324771
1020,Polygon,townhall," 18.8843055, 47.5764982 ",Government,47.5764982,18.8843055
1043,Polygon,townhall," 19.1701917, 47.5156548 ",Government,47.5156548,19.1701917
1072,Polygon,townhall," 18.9116693, 47.6214172 ",Government,47.6214172,18.9116693
1185,Polygon,townhall," 19.0683671, 47.4303548 ",Government,47.4303548,19.0683671
1265,Polygon,courthouse," 19.0683657, 47.4330884 ",Government,47.4330884,19.0683657
1339,Polygon,townhall," 19.1497196, 47.4532962 ",Government,47.4532962,19.1497196
1542,Polygon,courthouse," 19.3441954, 47.6003199 ",Government,47.6003199,19.3441954
1678,Polygon,townhall," 19.0666227, 47.4836017 ",Government,47.4836017,19.0666227
1706,Polygon,courthouse," 19.0364578, 47.504004 ",Government,47.504004,19.0364578
1802,Polygon,townhall," 19.0162678, 47.4929313 ",Government,47.4929313,19.0162678
1817,Polygon,courthouse," 18.9774091, 47.5198973 ",Government,47.5198973,18.9774091
1853,Polygon,courthouse," 19.0996117, 47.5114284 ",Government,47.5114284,19.0996117
2404,Polygon,townhall," 18.9616137, 47.3221833 ",Government,47.3221833,18.9616137
2450,Polygon,townhall," 19.044999, 47.3493466 ",Government,47.3493466,19.044999
3158,Polygon,townhall," 18.9147707, 47.4372983 ",Government,47.4372983,18.9147707
3595,Polygon,townhall," 19.25356, 47.4796467 ",Government,47.4796467,19.25356
3761,Polygon,townhall," 19.3932419, 47.4216321 ",Government,47.4216321,19.3932419
3763,Polygon,townhall," 19.3941247, 47.4223201 ",Government,47.4223201,19.3941247
4090,Polygon,townhall," 18.913961, 47.4296504 ",Government,47.4296504,18.913961
4663,Polygon,townhall," 19.2830529, 47.5264808 ",Government,47.5264808,19.2830529
4773,Polygon,townhall," 18.9287069, 47.558025 ",Government,47.558025,18.9287069
5468,Polygon,townhall," 19.3464215, 47.3860656 ",Government,47.3860656,19.3464215
6080,Polygon,courthouse," 19.1457143, 47.4589594 ",Government,47.4589594,19.1457143
6339,Point,courthouse," 19.0519431, 47.5096142 ",Government,47.5096142,19.0519431
6352,Point,townhall," 19.0514295, 47.4980236 ",Government,47.4980236,19.0514295
6354,Point,townhall," 19.0897423, 47.5621955 ",Government,47.5621955,19.0897423
6425,Point,townhall," 19.0286575, 47.504532 ",Government,47.504532,19.0286575
6427,Point,townhall," 19.1291917, 47.6308557 ",Government,47.6308557,19.1291917
6439,Point,townhall," 18.9451529, 47.4616843 ",Government,47.4616843,18.9451529
6440,Point,townhall," 19.1017614, 47.4365573 ",Government,47.4365573,19.1017614
6514,Point,courthouse," 19.051661, 47.5087087 ",Government,47.5087087,19.051661
6526,Point,townhall," 19.0552626, 47.4957009 ",Government,47.4957009,19.0552626
6528,Point,townhall," 19.0569686, 47.4945952 ",Government,47.4945952,19.0569686
6627,Point,townhall," 19.1165194, 47.5626093 ",Government,47.5626093,19.1165194
6690,Point,townhall," 19.0405826, 47.4262093 ",Government,47.4262093,19.0405826
6718,Point,townhall," 19.2148281, 47.3820963 ",Government,47.3820963,19.2148281
6799,Point,courthouse," 18.9386158, 47.4616915 ",Government,47.4616915,18.9386158
6996,Point,townhall," 19.0819743, 47.5295329 ",Government,47.5295329,19.0819743
6997,Point,townhall," 19.0813359, 47.5300273 ",Government,47.5300273,19.0813359
6998,Point,townhall," 19.0817835, 47.5297133 ",Government,47.5297133,19.0817835
6999,Point,townhall," 19.0815252, 47.5298747 ",Government,47.5298747,19.0815252
7000,Point,townhall," 19.0821186, 47.5297915 ",Government,47.5297915,19.0821186
7013,Point,courthouse," 19.0937161, 47.5576459 ",Government,47.5576459,19.0937161
7324,Point,townhall," 18.920534, 47.3775837 ",Government,47.3775837,18.920534
7325,Point,townhall," 18.9206452, 47.3773396 ",Government,47.3773396,18.9206452
7386,Point,townhall," 19.1311573, 47.4869722 ",Government,47.4869722,19.1311573
7402,Point,townhall," 19.0326467, 47.5126474 ",Government,47.5126474,19.0326467
7412,Point,townhall," 18.8843848, 47.5762979 ",Government,47.5762979,18.8843848
7435,Point,townhall," 19.1703446, 47.5153678 ",Government,47.5153678,19.1703446
7465,Point,townhall," 18.9117576, 47.6212792 ",Government,47.6212792,18.9117576
7581,Point,townhall," 19.0686137, 47.4300835 ",Government,47.4300835,19.0686137
7662,Point,courthouse," 19.0681747, 47.4329668 ",Government,47.4329668,19.0681747
7737,Point,townhall," 19.1499149, 47.4530756 ",Government,47.4530756,19.1499149
7940,Point,courthouse," 19.3445813, 47.6004429 ",Government,47.6004429,19.3445813
8078,Point,townhall," 19.0662992, 47.4835706 ",Government,47.4835706,19.0662992
8106,Point,courthouse," 19.0368352, 47.5038534 ",Government,47.5038534,19.0368352
8207,Point,townhall," 19.0162067, 47.4926712 ",Government,47.4926712,19.0162067
8222,Point,courthouse," 18.9777433, 47.5198805 ",Government,47.5198805,18.9777433
8258,Point,courthouse," 19.0998879, 47.5115188 ",Government,47.5115188,19.0998879
8978,Point,townhall," 18.9615821, 47.321944 ",Government,47.321944,18.9615821
9024,Point,townhall," 19.0451767, 47.3491538 ",Government,47.3491538,19.0451767
9849,Point,townhall," 18.9149074, 47.437257 ",Government,47.437257,18.9149074
10027,Point,courthouse," 19.1456598, 47.4591006 ",Government,47.4591006,19.1456598
10367,Point,townhall," 19.253879, 47.4796519 ",Government,47.4796519,19.253879
10559,Point,townhall," 19.3930348, 47.4216409 ",Government,47.4216409,19.3930348
10561,Point,townhall," 19.3940726, 47.4221627 ",Government,47.4221627,19.3940726
10919,Point,townhall," 18.9141058, 47.4296468 ",Government,47.4296468,18.9141058
11827,Point,townhall," 19.2831726, 47.5265561 ",Government,47.5265561,19.2831726
11959,Point,townhall," 18.9287497, 47.5579651 ",Government,47.5579651,18.9287497
12739,Point,townhall," 19.3462296, 47.3858216 ",Government,47.3858216,19.3462296
13438,Point,courthouse," 19.1461578, 47.4589359 ",Government,47.4589359,19.1461578
13998,Point,courthouse," 19.1385167, 47.6278737 ",Government,47.6278737,19.1385167
14112,Point,townhall," 19.3503459, 47.4434617 ",Government,47.4434617,19.3503459
14574,Point,townhall," 19.3461956, 47.3857845 ",Government,47.3857845,19.3461956
14979,Point,townhall," 19.0017797, 47.3264137 ",Government,47.3264137,19.0017797
15263,Point,townhall," 19.1095925, 47.5188335 ",Government,47.5188335,19.1095925
15264,Point,townhall," 19.1080636, 47.5181705 ",Government,47.5181705,19.1080636
15306,Point,townhall," 19.2602073, 47.54539 ",Government,47.54539,19.2602073
15319,Point,townhall," 19.2836591, 47.5667584 ",Government,47.5667584,19.2836591
15596,Point,townhall," 19.062961, 47.3318401 ",Government,47.3318401,19.062961
15636,Point,townhall," 19.040586, 47.4262845 ",Government,47.4262845,19.040586
15724,Point,townhall," 19.3401979, 47.4891438 ",Government,47.4891438,19.3401979
16298,Point,townhall," 19.0472516, 47.6192542 ",Government,47.6192542,19.0472516
17483,Point,courthouse," 19.098959, 47.47668 ",Government,47.47668,19.098959
17508,Point,courthouse," 19.0530273, 47.5088358 ",Government,47.5088358,19.0530273
17870,Point,townhall," 19.1759107, 47.4445798 ",Government,47.4445798,19.1759107
18662,Point,townhall," 18.9117379, 47.6212524 ",Government,47.6212524,18.9117379
18740,Point,townhall," 19.2648929, 47.406756 ",Government,47.406756,19.2648929
19385,Point,townhall," 19.0838137, 47.3540339 ",Government,47.3540339,19.0838137
19533,Point,townhall," 19.1973987, 47.6079353 ",Government,47.6079353,19.1973987
20989,Point,townhall," 19.1085961, 47.5191353 ",Government,47.5191353,19.1085961
22173,Point,townhall," 19.0449461, 47.5416569 ",Government,47.5416569,19.0449461
23302,Point,townhall," 19.0282394, 47.5122611 ",Government,47.5122611,19.0282394
23303,Point,townhall," 19.0283942, 47.5122243 ",Government,47.5122243,19.0283942
23309,Point,townhall," 18.9285533, 47.5103931 ",Government,47.5103931,18.9285533
26800,Point,courthouse," 19.0360535, 47.5123732 ",Government,47.5123732,19.0360535
27502,Point,townhall," 18.9908981, 47.6071613 ",Government,47.6071613,18.9908981
27523,Point,townhall," 19.3490867, 47.5992239 ",Government,47.5992239,19.3490867
27625,Point,townhall," 19.3942198, 47.5294565 ",Government,47.5294565,19.3942198
28967,Point,townhall," 19.3953238, 47.528139 ",Government,47.528139,19.3953238
28969,Point,courthouse," 19.0050603, 47.3311146 ",Government,47.3311146,19.0050603
30570,Point,courthouse," 19.0430409, 47.5446326 ",Government,47.5446326,19.0430409
