id,price_per_sqm,apartment,number_of_whole_rooms,number_of_half_rooms,apartment_floor,longitude,latitude,location_district,furnish_furnished,lift,view_total,heating_total,air_conditioner,cluster
2,8.754716981,1,2,0,3,19.0848108,47.5575498,IV,1,,street,,0,0
5,9.146341463,1,3,0,3,19.0709015,47.4917504,VIII,1,,street,,0,0
18,7.58490566,1,1,0,3,19.0514866,47.5119888,XIII,1,,street,,0,0
24,0,1,2,1,1,19.13550018,47.52409614,XIV,0,,,,0,0
33,9.030769231,1,3,0,0,19.00115,47.520901,II,0,,garden,,0,0
34,8.176470588,1,3,0,2,19.035019,47.4922898,I,0,,street,,0,0
41,8.333333333,1,3,0,3,19.0266195,47.5063975,I,1,,,,0,0
44,7.58490566,1,1,0,3,19.0491624,47.5124995,V,1,1,street,,0,0
47,8.169811321,1,2,0,3,19.111322,47.510064,XIV,1,,,,0,0
48,7.514285714,1,3,0,1,19.0622328,47.537868,XIII,1,,street,,0,0
69,6.628571429,1,2,0,1,19.0713127,47.4822292,IX,0,,street,,0,0
70,8.285714286,1,2,0,1,19.0492615,47.4722189,XI,1,,,,0,0
77,7.391304348,1,2,1,1.5,19.1104459,47.527727,XIV,1,,street,,0,0
81,9.271428571,1,3,0,2,19.03637286,47.53655953,III,0,,street,,0,0
82,6.80952381,1,4,2,2,19.0319524,47.5068754,I,1,,,,0,0
92,8.140350877,1,2,0,2,19.1304605,47.5101172,XIV,0,,,,0,0
93,0,1,1,2,1.5,18.9843914,47.5070557,XII,0,,garden,,0,0
94,8.244444444,1,1,0,2,18.9901506,47.5114476,XII,1,,,,0,0
95,8.04,1,2,0,0,19.1132387,47.4458732,XX,1,,,,0,0
96,7.391304348,1,3,0,0.5,19.1104459,47.527727,XIV,1,,street,,0,0
97,7.724137931,1,3,1,1,19.0498028,47.5140053,XIII,1,1,street,,0,0
101,7.733333333,1,2,0,1,18.9868808,47.5209691,II,1,,panoramic,,0,0
104,6.724637681,1,2,0,0.5,19.122122,47.507686,XIV,0,,street,gas,0,0
105,9.030769231,1,3,0,3,19.0698633,47.4988083,VII,1,,street,,0,0
106,9.49122807,1,2,0,3,19.0731508,47.4806992,IX,1,,street,,0,0
109,6.7,1,2,0,4,19.0630782,47.5288313,XIII,0,1,,,0,0
111,6.925373134,1,2,0,3,19.0709015,47.4917504,VIII,1,1,,,0,0
115,9.28,1,1,0,3,19.0362538,47.5185701,II,0,1,street,gas,0,0
118,7.732142857,1,2,0,3,19.0287498,47.490948,XII,0,1,street,,0,0
121,6.818897638,1,3,1,1,19.05281235,47.4813337,XI,0,,street,,0,0
123,9.275,1,1,1,1,19.0264669,47.4733477,XI,0,,,,0,0
124,6.866666667,1,2,1,2,19.0581571,47.5049735,VI,1,,street,,0,0
125,7.581818182,1,2,0,0,19.0266776,47.4752972,XI,0,,street,,0,0
130,8.326923077,1,2,0,2,19.014493,47.472667,XI,1,,panoramic,,0,0
132,6.18,1,2,0,0.5,19.0951219,47.477001,VIII,0,,street,,0,0
141,7.9,1,3,0,1,19.0710395,47.5050887,VII,0,,,,0,0
148,8.739130435,1,1,1,0,19.0389211,47.549145,III,1,,,,0,0
152,6,1,2,0,2,19.0696559,47.4840408,IX,0,,street,,0,0
156,6.025974026,1,2,0,3,19.0291401,47.4695992,XI,1,,street,,0,0
158,8.833333333,1,2,0,2,19.0807147,47.5527081,XIII,0,,street,,1,0
162,8.065217391,1,1,0,3,19.1428411,47.512452,XIV,1,,,gas,0,0
163,7.309090909,1,2,0,4,19.021018,47.563222,III,1,,,,0,0
165,7.725,1,3,0,1,19.0744606,47.5141035,VI,0,,street,,0,0
167,8.588888889,1,3,0,1,18.988201,47.406471,XXII,0,,garden,,0,0
169,6.177777778,1,3,0,1,19.000056,47.4105419,XXII,0,,garden,,0,0
173,7.571428571,1,1,1,2,19.0825624,47.4883912,VIII,1,,street,,0,0
176,9.098039216,1,1,1,0,19.0217214,47.4990917,XII,1,,,,0,0
