,price_per_sqm,number_of_whole_rooms,floor,number_of_half_rooms,furnish_furnished,view_panoramic,view_street,balcony,lift,air_conditioner,heating_gas,heating_wall_heating,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,condition_of_property_renovated,longitude,latitude,data_index,cluster
9,10.72580645,2.0,1.0,0.0,1.0,0,1,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,1,19.069523,47.499779499999995,9,5
37,11.16666667,1.0,2.0,0.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.05819,47.498288,37,5
44,7.58490566,1.0,3.0,0.0,1.0,0,1,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.049162399999997,47.5124995,44,1
45,15.0,3.0,3.0,0.0,0.0,0,1,1.0,1.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0,19.032098100000002,47.5072763,45,0
49,9.763157895,1.0,4.0,0.0,1.0,0,1,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0693907,47.51867139,49,4
97,7.7241379310000005,3.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.049802800000002,47.514005299999994,97,1
108,12.5,2.0,2.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.072024,47.504225700000006,108,0
109,6.7,2.0,4.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0630782,47.52883129999999,109,4
110,9.714285713999999,1.0,3.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0670591,47.512111,110,4
111,6.925373134,2.0,3.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0709015,47.491750399999994,111,1
115,9.28,1.0,3.0,0.0,0.0,1,1,0.0,1.0,0.0,1,0,0,0.0,0.0,0.0,0.0,1,19.0362538,47.5185701,115,4
118,7.732142857,2.0,3.0,0.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.028749800000003,47.490947999999996,118,1
128,13.15,1.0,3.0,1.0,1.0,0,0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1,19.067720899999998,47.4999192,128,0
135,11.89230769,3.0,3.0,0.0,1.0,0,0,0.0,1.0,1.0,1,0,0,0.0,0.0,0.0,0.0,1,19.046437,47.502695,135,5
151,10.61538462,2.0,1.0,0.0,1.0,1,1,1.0,1.0,1.0,1,0,0,0.0,0.0,0.0,0.0,0,19.0608395,47.506915500000005,151,5
154,10.30769231,1.0,9.0,0.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0553575,47.5145104,154,7
155,11.23636364,2.0,2.0,0.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0502184,47.505178,155,5
157,9.512820513,1.0,1.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.06106007,47.48693379,157,5
187,11.97183099,3.0,4.0,0.0,1.0,0,0,0.0,1.0,0.0,1,0,1,0.0,0.0,0.0,0.0,1,19.065122600000002,47.492449,187,3
196,11.44186047,1.0,4.0,2.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.048156,47.472177,196,4
197,11.31707317,1.0,3.0,1.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.1068659,47.463192299999996,197,5
208,5.590361446,2.0,2.0,0.0,1.0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,19.0723778,47.4965668,208,1
213,11.04285714,2.0,4.0,0.0,0.0,1,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0274995,47.5152015,213,4
217,20.31428571,1.0,5.0,1.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.052907,47.495042,217,8
227,11.15384615,2.0,3.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0515638,47.494310799999994,227,5
244,9.271428571,2.0,2.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0590554,47.4996847,244,1
255,9.984615385,2.0,2.0,0.0,1.0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0761401,47.4895974,255,5
265,8.553846154,1.0,4.0,1.0,0.0,0,1,1.0,1.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,19.056766699999997,47.4936661,265,4
273,20.31428571,1.0,5.0,1.0,1.0,1,0,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1,19.052784699999997,47.49546470000001,273,8
276,13.97619048,2.0,1.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,19.0495759,47.5092799,276,0
281,11.94666667,3.0,1.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.061165300000003,47.50523,281,5
284,9.020833332999999,2.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.034191,47.454662899999995,284,4
285,10.23076923,2.0,3.0,0.0,1.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0615927,47.507979600000006,285,4
295,12.07317073,1.0,2.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0783703,47.4811187,295,5
302,16.86363636,1.0,2.0,1.0,1.0,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.061004800000003,47.4904273,302,6
307,7.353658537,2.0,3.0,0.0,1.0,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0645768,47.485414399999996,307,1
311,11.48571429,1.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0833812,47.4926291,311,5
319,7.9,3.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.071986399999997,47.50590820000001,319,1
323,13.4,2.0,2.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.060368,47.502928999999995,323,0
326,10.31111111,1.0,3.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0587745,47.4992513,326,4
329,11.04761905,2.0,1.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.070768,47.487871000000005,329,5
333,8.444444444,3.0,5.0,0.0,1.0,0,1,0.0,1.0,1.0,1,0,0,0.0,0.0,0.0,0.0,1,19.0540868,47.496858700000004,333,4
352,8.244444443999999,2.0,3.0,0.0,1.0,0,1,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.085258800000002,47.4859316,352,4
383,8.8875,3.0,2.0,0.0,1.0,0,0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.026906600000004,47.560516,383,1
472,7.733333332999999,2.0,2.0,0.0,0.0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.1191795,47.5608274,472,1
474,9.098039216,1.0,2.0,2.0,1.0,0,1,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.1118896,47.5048564,474,1
481,9.275,1.0,5.0,1.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.091773100000005,47.5359383,481,4
484,15.02857143,1.0,4.0,1.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.07158054,47.4927865,484,3
486,11.38947368,3.0,4.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0303998,47.4985589,486,4
487,7.157407407000001,3.0,1.0,1.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0606555,47.5085639,487,1
498,15.02857143,2.0,4.0,0.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.07158054,47.4927865,498,3
512,11.48571429,1.0,4.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.04753525,47.50405485,512,4
518,11.58333333,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.052108899999997,47.5118841,518,5
532,17.66666667,2.0,3.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0584655,47.5021804,532,6
554,7.58490566,1.0,2.0,2.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.1368449,47.456657899999996,554,1
563,8.114754097999999,2.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,19.0794026,47.5083811,563,1
565,7.391304347999999,4.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0665471,47.503895899999996,565,1
567,7.483870968,2.0,1.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.062298499999997,47.5077558,567,1
570,16.25,1.0,4.0,1.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0599135,47.5019968,570,6
