id,web_alberlet,web_ingatlan,web_tower,apartment,house,sale,rent,price_per_month,size(sqm),price_per_sqm,district,district_i,district_ii,district_iii,district_iv,district_v,district_vi,district_vii,district_viii,district_ix,district_x,district_xi,district_xii,district_xiii,district_xiv,district_xv,district_xvi,district_xvii,district_xviii,district_xix,district_xx,district_xxi,district_xxii,district_xxiii,street,number_of_rooms,number_of_whole_rooms,number_of_half_rooms,type_of_the_building,type_of_the_building_brick_apartment,type_of_the_building_block_apartment,type_of_building_castle_villa,type_of_building_house,type_of_the_building_part_of_house,type_of_the_building_raw_house,type_of_building_semi_detached_house,floor,deposit,deposit_per_sqm,furnish,furnish_total,furnish_furnished,furnish_equipped,furnish_partly_furnished,furnish_empty,view,view_total,view_courtyard,view_courtyard_sunny,view_courtyard_not_sunny,view_danube,view_garden,view_roof,view_square,view_panoramic,view_park,view_street,view_street_quiet,view_street_sunny,view_city,view_hill,utilities_fee,utilities_fee_per_sqm,common_cost,common_cost_details,utilities_fee_details,total_fee,overhead,balcony,parking,garage,lift,air_conditioner,utility_level,utility_double_comfort,heating,heating_total,heating_gas,heating_wall_heating,heating_combination,heating_ceiling,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,available_immediately,shortest_rental_period,children_welcomed,can_be_an_office,foreigners_welcomed,washing_machine,microwave,dish_washer,fridge,american_kitchen,condition_of_property_renovated,pet,reception,transportation,near_universities,latitude,longitude,postcode,distace_to_danube,quadratic_danube,distace_to_city_centre,quadratic_centre,distace_to_keleti,quadratic_keleti,distace_to_nyugati,quadratic_nyugati,distance_to_deli,quadratic_deli,distance_to_airport,quadratic_airport,distance_to_uni1,quadratic_uni1,distance_to_uni5,quadratic_uni5,distance_to_uni13,quadratic_uni13,distance_to_uni16,quadratic_uni16,tourism_apartment,tourism_attraction,tourism_gallery,tourism_guest_house,tourism_hostel,tourism_hotel,tourism_information,tourism_motel,tourism_museum,shop_art_music_hobbies,shop_beauty,shop_clothing_shoes_accessories,shop_convenience_shop,shop_department_store,shop_discount_store_charity,shop_food_beverages,shop_health,shop_laundry,shop_mall,shop_stationery_gifts_books_newspapers,shop_supermarket,shop_travel_agency,metro_station,leisure_dance,leisure_dog_park,leisure_fitness_centre,leisure_fitness_station,leisure_garden,leisure_nature_reserve,leisure_park,leisure_pitch,leisure_playground,leisure_sports_centre,leisure_stadium,leisure_swimming_pool,leisure_track,leisure_water_park,bus_station,amenity_sustenance,amenity_school,amenity_education,amenity_financial,amenity_healthcare,amenity_arts,amenity_entertainment,amenity_religion,amenity_police,amenity_government,amenity_vending_machine,amenity_transportation_bicycle,amenity_transportation_car,amenity_parking,amenity_coworking_space,amenity_recycling,floors_of_the_building,balconies,elevator,air_conditioning,condition_of_property,condition_of_property_newly_build,condition_of_property_in_good_condition,condition_of_property_in_medium_condition,condition_of_property_needs_renovation,condition_of_property_mint,utility_full_comfort,utility_luxury,energy_performance_certificate,ceiling_height,bathroom_and_toilet,bathroom_separate,bathroom_together,orientation,orientation_north,orientation_south,orientation_east,orientation_west,orientation_northeast,orientation_northwest,orientation_southwest,orientation_southeast,garden_access,garden_AC,attic,attic_loft_conversion,attic_penthouse,attic_topfloor
927,1,0,0,1,0,0,1,4328,78,55.48717949,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nádor utca,"
                3 rooms                            ",3,0,Brick Apartment,1,0,0,0,0,0,0,3,8656,,Furnished by designer,furnish,1,0,0,0,To the street,street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31,0.397435897,49,,,,,0,0,0,,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,,0,"4, 6 trams, 47, 49 trams, Matro 4						",,47.502012,19.049021,1051,0.287175574,0.08246981,0.623291275,0.388492013,2.61663321,6.846769356,1.232157627,1.518212418,1.834410245,3.365060947,16.82592526,283.1117609,1.490204504,2.220709464,5.712932755,32.63760066,6.696371062,44.8413854,4.640639,21.53553033,6,39,14,4,9,47,12,0,17,10,20,52,0,0,1,44,4,2,0,23,9,5,6,1,4,1,0,13,0,35,2,8,3,0,35,0,0,10,432,18,5,74,19,41,31,14,1,6,14,107,1,48,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9311,,,,1,0,0,1,3000000,175,54.85714286,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Veres Pálné utca,7 room,,0,,,,,,,,,1,,,0,unfurnished,0,,0,,street view,street,,,,,0,,,0,0,1,,,,,,0,,,,,,,1,,1,1,double comfort,1,central heating,central,0,0,0,0,1,0,0,0,0,,,,,,,,,,,1,,, Villamos   47   48   49    Metró   M3   M4    Busz   108E   5   110   112   133E   7   15   115   178   8E    Éjszakai   973   956   908   907   ,,47.49051,19.05684,1053,0.285149678,0.081310339,0.81218388,0.659642655,2.362473865,5.581282763,2.345841811,5.502973802,2.706742862,7.326456921,15.7844118,249.1476559,0.882786977,0.779312847,5.450455709,29.70746744,7.968577941,63.4982344,5.726590845,32.79384271,5,37,21,8,23,61,19,0,19,23,71,,0,0,5,88,16,0,6,,14,,4,0,2,5,1,8,0,22,3,20,0,0,,0,2,6,466,77,,98,30,40,24,28,2,4,104,146,2,41,0,3,5,,available,available,renovated,0,0,0,0,0,0,0,,,separate and together too,1,0,not specified,0,0,0,0,0,0,0,0,no,0,-1,0,0,0
2925,1,0,0,1,0,0,1,510,11,46.36363636,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kálvin tér,"
                1 room                            ",1,0,Brick Apartment,1,0,0,0,0,0,0,-2,1020,,Empty,unfurnished,0,0,0,1,To the street,street,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46,4.181818182,3,,,,,0,0,0,,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,,,47.4892045,19.0611633,1053,0.519356117,0.269730776,1.131321677,1.279888737,2.177537477,4.741669464,2.508268574,6.291411239,3.06224034,9.3773159,15.42901729,238.0545745,0.777208962,0.604053771,5.205855187,27.10092823,8.129100164,66.08226948,6.080253851,36.96948689,5,26,24,10,25,48,10,0,17,,,113,0,0,8,122,,0,6,,16,,4,1,2,6,1,19,0,17,3,19,0,0,17,0,0,3,452,,,87,52,31,24,28,2,4,,153,0,43,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11095,,,,1,0,0,1,1212038,85,45.62966588,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Középső-Erzsébetváros,3 room,3,0,,,,,,,,,1,,,1,furnish,1,,0,,not specified,other,,,,,0,,,0,0,0,,,,,,0,,,,,,,1,,1,1,luxury,0,combination boiler,combination,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,,-1,,47.50198,19.07244,1077,1.19949235,1.438781898,1.742049291,3.034735732,0.858948791,0.737793026,1.565346985,2.450311183,3.592957188,12.90934135,15.24385647,232.3751601,0.877436456,0.769894734,3.972598919,15.78154217,6.83382842,46.70121087,6.318762444,39.92675882,4,16,13,3,12,41,28,0,8,15,35,27,3,1,2,95,5,1,4,20,18,2,5,3,5,0,2,14,0,16,7,9,8,0,,0,0,23,355,44,9,65,39,6,37,14,1,0,42,84,3,49,2,5,1,,available,available,mint,0,0,0,0,1,0,1,,,not specified,,,not specified,0,0,0,0,0,0,0,0,not specified,,no loft conversion,0,0,0
11097,,,,1,0,0,1,921149,65,45.34887385,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Középső-Erzsébetváros,2 room,2,0,,,,,,,,,1,,,1,furnish,1,,0,,not specified,other,,,,,0,,,0,0,0,,,,,,0,,,,,,,1,,1,1,luxury,0,combination boiler,combination,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,,-1,,47.50198,19.07244,1077,1.19949235,1.438781898,1.742049291,3.034735732,0.858948791,0.737793026,1.565346985,2.450311183,3.592957188,12.90934135,15.24385647,232.3751601,0.877436456,0.769894734,3.972598919,15.78154217,6.83382842,46.70121087,6.318762444,39.92675882,4,16,13,3,12,41,28,0,8,15,35,27,3,1,2,95,5,1,4,20,18,2,5,3,5,0,2,14,0,16,7,9,8,0,,0,0,23,355,44,9,65,39,6,37,14,1,0,42,84,3,49,2,5,1,,available,available,mint,0,0,0,0,1,0,1,,,not specified,,,not specified,0,0,0,0,0,0,0,0,not specified,,no loft conversion,0,0,0
7373,,,,1,0,0,1,960000,69,44.52173913,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Tárnok utca,3 room,3,0,,,,,,,,,2,,,1,furnish,1,,0,,panoramic,panoramic,,,,,0,,,1,0,0,,,,,,0,,,,,,,1,,,,luxury,0,natural gas boiler,gas,1,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,, Busz   16   116   16A   5    Éjszakai   916   956   ,,47.50076,19.03431,1014,0.364719815,0.133020543,1.318553544,1.738583448,3.721554771,13.84996991,2.102054672,4.418633844,0.731539132,0.535149502,17.78153625,316.1830314,2.471122297,6.106445407,6.826749312,46.60450617,6.981821143,48.74582647,3.691601498,13.62792162,1,16,5,0,0,18,18,1,18,5,14,7,4,0,2,43,6,1,0,23,9,0,5,0,6,1,4,,2,37,7,11,3,0,,0,0,8,149,24,4,24,17,25,6,14,4,4,78,56,2,63,0,4,2,,not specified,-1,renovated,0,0,0,0,0,0,1,,1,separate and together too,1,0,not specified,0,0,0,0,0,0,0,0,no,0,no loft conversion,0,0,0
8724,,,,1,0,0,1,1131235,82,44.1457561,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Podmaniczky utca,3 room,3,0,,,,,,,,,4,,,1,furnish,1,,0,,street view,street,,,,,0,,,0,0,1,,,,,,0,,,,,,,,,1,,not specified,0,not specified,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,, Troli   72   73   76   ,,47.51173,19.062782,1064,1.238460453,1.533784294,1.91899182,3.682529605,1.954985553,3.821968512,0.41706724,0.173945083,3.088172207,9.53680758,16.39955414,268.945376,1.843774241,3.399503452,4.654960469,21.66865697,5.645707607,31.87401438,5.406078243,29.22568197,5,3,11,2,13,21,1,0,11,5,52,65,2,2,3,84,7,3,2,34,10,3,7,2,4,2,2,9,0,16,5,3,8,0,,0,0,21,240,29,2,59,37,7,14,8,7,1,45,61,3,46,0,7,,,available,-1,renovated,0,0,0,0,0,0,0,,,not specified,,,not specified,0,0,0,0,0,0,0,0,not specified,,-1,0,0,0
5127,,,,1,0,0,1,1616050,118,43.82508475,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, Vígszínház utca,2 room,2,0,,,,,,,,,0,,,1,furnish,1,,0,,street view,street,,,,,0,,,0,0,1,,,,,,0,,,,,,,1,,1,1,luxury,0,combination boiler,combination,0,0,1,0,0,0,0,0,0,,,,,,,,,,,1,,, Villamos   2   4   6    Metró   M3    Busz   6   9   15   91   115   191   291    Éjszakai   914   914A   923   931   934   950   950A    Troli   75   76   ,,47.51295,19.05213,1137,0.43939412,0.193067193,1.829741446,3.347953759,2.706178155,7.323400207,0.411335883,0.169197209,2.433057321,5.919767927,17.16417573,294.6089285,2.228059172,4.964247674,5.464024191,29.85556036,5.471786506,29.94044757,4.596711058,21.12975255,3,4,9,5,9,15,3,0,5,8,73,74,0,2,6,86,9,2,2,44,15,1,2,2,8,3,2,1,0,23,10,11,6,0,,3,0,11,224,18,1,45,29,19,9,6,4,5,27,110,5,42,2,4,3,,available,available,renovated,0,0,0,0,0,0,1,,1,separate and together too,1,0,East,0,0,1,0,0,0,0,0,not specified,,-1,0,0,0
5831,,,,1,0,0,1,970300,75,41.39946667,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, József Attila utca,2 + 1 half room,2,1,,,,,,,,,1,,,0,unfurnished,0,,0,,street view,street,,,,,0,,,0,0,1,,,,,,0,,,,,,,,,1,,not specified,0,combination boiler,combination,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,, Villamos   2    Metró   M1   M2   M3    Busz   15   16   105   115    Éjszakai   916   990   ,,47.49898,19.04999,1051,0.21211245,0.044991691,0.27840731,0.07751063,2.557213343,6.539340082,1.505546337,2.266669773,1.924895353,3.70522212,16.6212056,276.2644756,1.284282121,1.649380566,5.691482285,32.3929706,7.02965342,49.41602721,4.836013646,23.38702798,8,,15,3,9,57,24,0,19,12,30,78,0,0,1,51,4,2,2,36,10,8,7,1,4,1,0,18,0,38,2,10,3,0,,0,0,9,486,14,3,99,19,,37,16,0,6,11,119,2,55,1,3,,,available,-1,mint,0,0,0,0,1,0,0,,,not specified,,,Southwest,0,0,0,0,0,0,1,0,not specified,,no loft conversion,0,0,0
6929,,,,1,0,0,1,1700000,140,38.85714286,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Zúzmara köz,3 room,3,0,,,,,,,,,2,,,1,furnish,1,,0,,panoramic,panoramic,,,,,0,,,1,0,0,,,,,,0,,,,,,,1,,0,1,double comfort,1,combination boiler,combination,0,0,1,0,0,0,0,0,0,,,,,,,,,,,0,,, Busz   237   137   260   160   260A   218    Éjszakai   937   960   ,,47.55061,19.0234,1037,0.804195,0.646729598,6.354028407,40.373677,7.109076764,50.53897244,5.026199586,25.26268228,5.472666531,29.95007896,21.23185662,450.7917355,6.938253094,48.139356,8.941123654,79.9436922,2.62143557,6.871924448,4.483058036,20.09780935,0,0,2,0,3,0,0,1,0,2,3,2,0,0,0,9,1,0,3,2,1,0,0,0,0,1,3,0,0,6,5,4,3,0,,0,1,4,18,1,1,3,2,0,1,5,0,0,2,2,1,32,0,3,2,,not available,available,not specified,0,0,0,0,0,0,0,,,not specified,,,not specified,0,0,0,0,0,0,0,0,not specified,,-1,0,0,0
