ID,poi shape,poi type,coordinate,shop_types,longitude,latitude
0,Polygon,mall,"   19.0545741, 47.4931702  ",Mall,19.0545741,47.4931702
1,MultiPolygon,car_repair,"   19.1123333, 47.570371  ",others,19.1123333,47.570371
2,Polygon,car_repair,"   19.080419, 47.4898561  ",others,19.080419,47.4898561
3,Polygon,mall,"   19.0687421, 47.4962073  ",Mall,19.0687421,47.4962073
4,Polygon,department_store,"   18.9261022, 47.3796641  ",Department Store,18.9261022,47.3796641
5,Polygon,pet,"   19.1311835, 47.4620229  ",others,19.1311835,47.4620229
6,MultiPolygon,supermarket,"   19.2696004, 47.4737286  ",Supermarket,19.2696004,47.4737286
7,MultiPolygon,car,"   19.1363513, 47.4942955  ",others,19.1363513,47.4942955
8,Polygon,mall,"   19.1470606, 47.54865  ",Mall,19.1470606,47.54865
9,Polygon,doityourself,"   19.1603039, 47.5781018  ",others,19.1603039,47.5781018
10,Polygon,car,"   19.0337472, 47.4399862  ",others,19.0337472,47.4399862
11,Polygon,car,"   19.0064104, 47.4453591  ",others,19.0064104,47.4453591
12,Polygon,supermarket,"   18.8818685, 47.414273  ",Supermarket,18.8818685,47.414273
13,Polygon,garden_centre,"   19.2742624, 47.5532894  ",others,19.2742624,47.5532894
14,Polygon,garden_centre,"   19.0029787, 47.5108958  ",others,19.0029787,47.5108958
15,Polygon,garden_centre,"   19.0027543, 47.5109345  ",others,19.0027543,47.5109345
16,Polygon,garden_centre,"   19.0024335, 47.51099  ",others,19.0024335,47.51099
17,Polygon,mall,"   19.1461538, 47.4622418  ",Mall,19.1461538,47.4622418
18,Polygon,supermarket,"   18.9464611, 47.4044445  ",Supermarket,18.9464611,47.4044445
19,Polygon,mall,"   19.0604079, 47.514681  ",Mall,19.0604079,47.514681
20,Polygon,department_store,"   19.055339, 47.5097358  ",Department Store,19.055339,47.5097358
21,Polygon,mall,"   19.0403934, 47.5428143  ",Mall,19.0403934,47.5428143
22,Polygon,supermarket,"   19.1559946, 47.4193781  ",Supermarket,19.1559946,47.4193781
23,Polygon,supermarket,"   18.9184793, 47.5012671  ",Supermarket,18.9184793,47.5012671
24,Polygon,department_store,"   19.0921354, 47.5054174  ",Department Store,19.0921354,47.5054174
25,Polygon,mall,"   19.0894142, 47.4989447  ",Mall,19.0894142,47.4989447
26,Polygon,supermarket,"   18.9927455, 47.4729221  ",Supermarket,18.9927455,47.4729221
27,Polygon,supermarket,"   19.2274817, 47.4834789  ",Supermarket,19.2274817,47.4834789
28,Polygon,supermarket,"   19.0287617, 47.4634461  ",Supermarket,19.0287617,47.4634461
29,Polygon,supermarket,"   19.0989461, 47.580244  ",Supermarket,19.0989461,47.580244
30,Polygon,supermarket,"   19.1446693, 47.5633942  ",Supermarket,19.1446693,47.5633942
31,Polygon,mall,"   19.1277103, 47.4636198  ",Mall,19.1277103,47.4636198
