ID,poi shape,poi type,coordinate,shop_types,longitude,latitude
55,Polygon,convenience,"   19.1401902, 47.5511924  ","Food, beverages",19.1401902,47.5511924
56,Polygon,convenience,"   19.064533, 47.5991726  ","Food, beverages",19.064533,47.5991726
132,Polygon,butcher,"   19.1098255, 47.5635808  ","Food, beverages",19.1098255,47.5635808
149,Polygon,bakery,"   19.0890427, 47.5453805  ","Food, beverages",19.0890427,47.5453805
156,Polygon,convenience,"   19.0740374, 47.5326226  ","Food, beverages",19.0740374,47.5326226
182,Polygon,greengrocer,"   19.0900076, 47.5862165  ","Food, beverages",19.0900076,47.5862165
206,Polygon,convenience,"   19.1269583, 47.5681402  ","Food, beverages",19.1269583,47.5681402
212,Polygon,convenience,"   19.0625121, 47.5192846  ","Food, beverages",19.0625121,47.5192846
215,Polygon,convenience,"   19.0348586, 47.4832824  ","Food, beverages",19.0348586,47.4832824
231,Polygon,convenience,"   19.3542387, 47.3910444  ","Food, beverages",19.3542387,47.3910444
235,Polygon,convenience,"   19.0382096, 47.5463671  ","Food, beverages",19.0382096,47.5463671
237,Polygon,greengrocer,"   19.0162887, 47.5230466  ","Food, beverages",19.0162887,47.5230466
244,Polygon,confectionery,"   18.8773118, 47.5761927  ","Food, beverages",18.8773118,47.5761927
248,Polygon,convenience,"   18.8832595, 47.5756721  ","Food, beverages",18.8832595,47.5756721
264,Polygon,convenience,"   19.2326934, 47.4794088  ","Food, beverages",19.2326934,47.4794088
265,Polygon,convenience,"   19.2358804, 47.4849388  ","Food, beverages",19.2358804,47.4849388
266,Polygon,convenience,"   19.2352371, 47.4844463  ","Food, beverages",19.2352371,47.4844463
289,Polygon,convenience,"   19.0224181, 47.4410315  ","Food, beverages",19.0224181,47.4410315
300,Polygon,convenience,"   19.2200943, 47.5200293  ","Food, beverages",19.2200943,47.5200293
301,Polygon,convenience,"   19.2179256, 47.5106393  ","Food, beverages",19.2179256,47.5106393
309,Polygon,butcher,"   19.1465061, 47.5119861  ","Food, beverages",19.1465061,47.5119861
310,Polygon,convenience,"   19.1427505, 47.5163458  ","Food, beverages",19.1427505,47.5163458
321,Polygon,convenience,"   19.0760147, 47.4343019  ","Food, beverages",19.0760147,47.4343019
322,Polygon,convenience,"   19.0768052, 47.4338198  ","Food, beverages",19.0768052,47.4338198
324,Polygon,bakery,"   19.0772911, 47.433778  ","Food, beverages",19.0772911,47.433778
347,Polygon,convenience,"   19.078263, 47.4164054  ","Food, beverages",19.078263,47.4164054
348,Polygon,greengrocer,"   19.0771874, 47.4175056  ","Food, beverages",19.0771874,47.4175056
374,Polygon,butcher,"   18.8825892, 47.5759023  ","Food, beverages",18.8825892,47.5759023
376,Polygon,convenience,"   18.8873504, 47.5757893  ","Food, beverages",18.8873504,47.5757893
377,Polygon,greengrocer,"   18.8824397, 47.5759045  ","Food, beverages",18.8824397,47.5759045
388,Polygon,convenience,"   18.935602, 47.3577413  ","Food, beverages",18.935602,47.3577413
389,Polygon,bakery,"   19.0206856, 47.5214353  ","Food, beverages",19.0206856,47.5214353
395,Polygon,convenience,"   19.133462, 47.547964  ","Food, beverages",19.133462,47.547964
398,Polygon,convenience,"   19.1847855, 47.5150874  ","Food, beverages",19.1847855,47.5150874
402,Polygon,greengrocer,"   19.1715858, 47.530606  ","Food, beverages",19.1715858,47.530606
404,Polygon,bakery,"   19.1723574, 47.5309837  ","Food, beverages",19.1723574,47.5309837
405,Polygon,confectionery,"   19.1720907, 47.5305764  ","Food, beverages",19.1720907,47.5305764
408,Polygon,butcher,"   19.171421, 47.5302827  ","Food, beverages",19.171421,47.5302827
426,Polygon,convenience,"   19.357235, 47.5920413  ","Food, beverages",19.357235,47.5920413
432,Polygon,convenience,"   19.0106995, 47.510225  ","Food, beverages",19.0106995,47.510225
439,Polygon,convenience,"   19.041087, 47.5373472  ","Food, beverages",19.041087,47.5373472
441,Polygon,pastry,"   19.0314906, 47.5395612  ","Food, beverages",19.0314906,47.5395612
445,Polygon,bakery,"   19.0290804, 47.5495889  ","Food, beverages",19.0290804,47.5495889
467,Polygon,convenience,"   19.1017983, 47.5086632  ","Food, beverages",19.1017983,47.5086632
472,Polygon,convenience,"   19.0821669, 47.4856601  ","Food, beverages",19.0821669,47.4856601
479,Polygon,greengrocer,"   18.9899627, 47.5218923  ","Food, beverages",18.9899627,47.5218923
480,Polygon,convenience,"   18.9920266, 47.478099  ","Food, beverages",18.9920266,47.478099
488,Polygon,convenience,"   18.9987728, 47.4813187  ","Food, beverages",18.9987728,47.4813187
495,Polygon,bakery,"   19.346942, 47.5991998  ","Food, beverages",19.346942,47.5991998
500,Polygon,beverages,"   19.3443226, 47.6010482  ","Food, beverages",19.3443226,47.6010482
506,Polygon,convenience,"   19.3473292, 47.6055997  ","Food, beverages",19.3473292,47.6055997
508,Polygon,convenience,"   19.3577736, 47.5921018  ","Food, beverages",19.3577736,47.5921018
513,Polygon,bakery,"   19.1071613, 47.5165011  ","Food, beverages",19.1071613,47.5165011
518,Polygon,confectionery,"   18.8765044, 47.4188652  ","Food, beverages",18.8765044,47.4188652
519,Polygon,greengrocer,"   18.8776666, 47.4184196  ","Food, beverages",18.8776666,47.4184196
520,Polygon,convenience,"   18.8729388, 47.4109429  ","Food, beverages",18.8729388,47.4109429
523,Polygon,convenience,"   19.0418214, 47.3390273  ","Food, beverages",19.0418214,47.3390273
524,Polygon,convenience,"   18.8825867, 47.4145957  ","Food, beverages",18.8825867,47.4145957
532,Polygon,beverages,"   18.8855985, 47.4152321  ","Food, beverages",18.8855985,47.4152321
541,Polygon,confectionery,"   18.9358056, 47.3931066  ","Food, beverages",18.9358056,47.3931066
553,Polygon,confectionery,"   18.8891945, 47.4095359  ","Food, beverages",18.8891945,47.4095359
559,Polygon,convenience,"   19.1616336, 47.433823  ","Food, beverages",19.1616336,47.433823
562,Polygon,greengrocer,"   18.9044523, 47.3989962  ","Food, beverages",18.9044523,47.3989962
570,Polygon,convenience,"   19.0587413, 47.6173417  ","Food, beverages",19.0587413,47.6173417
572,Polygon,greengrocer,"   18.9286556, 47.5917728  ","Food, beverages",18.9286556,47.5917728
586,Polygon,convenience,"   19.1851463, 47.5170124  ","Food, beverages",19.1851463,47.5170124
587,Polygon,convenience,"   19.1838953, 47.5170842  ","Food, beverages",19.1838953,47.5170842
592,Polygon,bakery,"   18.9104029, 47.6041875  ","Food, beverages",18.9104029,47.6041875
594,Polygon,bakery,"   18.9103236, 47.3759773  ","Food, beverages",18.9103236,47.3759773
595,Polygon,greengrocer,"   18.908502, 47.3757937  ","Food, beverages",18.908502,47.3757937
596,Polygon,convenience,"   19.1300322, 47.4497084  ","Food, beverages",19.1300322,47.4497084
606,Polygon,convenience,"   19.0622857, 47.4081716  ","Food, beverages",19.0622857,47.4081716
613,Polygon,convenience,"   19.3529834, 47.6117615  ","Food, beverages",19.3529834,47.6117615
620,Polygon,bakery,"   18.9788709, 47.4398448  ","Food, beverages",18.9788709,47.4398448
