ID,poi shape,poi_type,coordinate,longitude,latitude
214,Polygon,information," 18.9009101, 47.4322043 ",18.9009101,47.4322043
286,Polygon,information," 19.0848416, 47.4890822 ",19.0848416,47.4890822
326,Polygon,information," 19.0776196, 47.5182273 ",19.0776196,47.5182273
640,Point,information," 18.9009523, 47.4320976 ",18.9009523,47.4320976
677,Point,information," 18.944555, 47.5571449 ",18.944555,47.5571449
678,Point,information," 18.9415634, 47.5581036 ",18.9415634,47.5581036
686,Point,information," 19.0538889, 47.4965554 ",19.0538889,47.4965554
717,Point,information," 18.8837995, 47.5786723 ",18.8837995,47.5786723
718,Point,information," 18.8898151, 47.5840278 ",18.8898151,47.5840278
745,Point,information," 19.0849116, 47.4890673 ",19.0849116,47.4890673
756,Point,information," 18.8884042, 47.5883619 ",18.8884042,47.5883619
758,Point,information," 18.9392584, 47.5587325 ",18.9392584,47.5587325
780,Point,information," 18.9659581, 47.4788202 ",18.9659581,47.4788202
781,Point,information," 18.9583733, 47.4799715 ",18.9583733,47.4799715
782,Point,information," 18.9545908, 47.4860118 ",18.9545908,47.4860118
783,Point,information," 18.9509404, 47.482972 ",18.9509404,47.482972
784,Point,information," 18.9482365, 47.4768484 ",18.9482365,47.4768484
785,Point,information," 18.9460227, 47.4772949 ",18.9460227,47.4772949
786,Point,information," 18.9434283, 47.4809031 ",18.9434283,47.4809031
787,Point,information," 18.9639535, 47.4793956 ",18.9639535,47.4793956
804,Point,information," 19.0777059, 47.5182365 ",19.0777059,47.5182365
819,Point,information," 18.8881763, 47.588833 ",18.8881763,47.588833
820,Point,information," 18.9004002, 47.5901463 ",18.9004002,47.5901463
823,Point,information," 18.9645671, 47.5303999 ",18.9645671,47.5303999
826,Point,information," 18.9625743, 47.5360511 ",18.9625743,47.5360511
830,Point,information," 18.959929, 47.5155663 ",18.959929,47.5155663
831,Point,information," 18.9618399, 47.5142599 ",18.9618399,47.5142599
832,Point,information," 18.9457011, 47.5065578 ",18.9457011,47.5065578
833,Point,information," 18.9604599, 47.50649 ",18.9604599,47.50649
835,Point,information," 18.9757153, 47.5171443 ",18.9757153,47.5171443
836,Point,information," 18.9683674, 47.5134824 ",18.9683674,47.5134824
