Unnamed: 0,poi shape,poi type,coordinate,shop_types
0,Polygon,mall,"[19.0545741, 47.4931702]",Mall
1,MultiPolygon,car_repair,"[19.1123333, 47.570371]",others
2,Polygon,car_repair,"[19.080419, 47.4898561]",others
3,Polygon,mall,"[19.0687421, 47.4962073]",Mall
4,Polygon,department_store,"[18.9261022, 47.3796641]",Department Store
5,Polygon,pet,"[19.1311835, 47.4620229]",others
6,MultiPolygon,supermarket,"[19.2696004, 47.4737286]",Supermarket
7,MultiPolygon,car,"[19.1363513, 47.4942955]",others
8,Polygon,mall,"[19.1470606, 47.54865]",Mall
9,Polygon,doityourself,"[19.1603039, 47.5781018]",others
10,Polygon,car,"[19.0337472, 47.4399862]",others
11,Polygon,car,"[19.0064104, 47.4453591]",others
12,Polygon,supermarket,"[18.8818685, 47.414273]",Supermarket
13,Polygon,garden_centre,"[19.2742624, 47.5532894]",others
14,Polygon,garden_centre,"[19.0029787, 47.5108958]",others
15,Polygon,garden_centre,"[19.0027543, 47.5109345]",others
16,Polygon,garden_centre,"[19.0024335, 47.51099]",others
17,Polygon,mall,"[19.1461538, 47.4622418]",Mall
18,Polygon,supermarket,"[18.9464611, 47.4044445]",Supermarket
19,Polygon,mall,"[19.0604079, 47.514681]",Mall
20,Polygon,department_store,"[19.055339, 47.5097358]",Department Store
21,Polygon,mall,"[19.0403934, 47.5428143]",Mall
22,Polygon,supermarket,"[19.1559946, 47.4193781]",Supermarket
23,Polygon,supermarket,"[18.9184793, 47.5012671]",Supermarket
24,Polygon,department_store,"[19.0921354, 47.5054174]",Department Store
25,Polygon,mall,"[19.0894142, 47.4989447]",Mall
26,Polygon,supermarket,"[18.9927455, 47.4729221]",Supermarket
27,Polygon,supermarket,"[19.2274817, 47.4834789]",Supermarket
28,Polygon,supermarket,"[19.0287617, 47.4634461]",Supermarket
29,Polygon,supermarket,"[19.0989461, 47.580244]",Supermarket
30,Polygon,supermarket,"[19.1446693, 47.5633942]",Supermarket
31,Polygon,mall,"[19.1277103, 47.4636198]",Mall
32,Polygon,mall,"[19.0733587, 47.5507009]",Mall
33,Polygon,mall,"[19.0498247, 47.5600735]",Mall
34,Polygon,supermarket,"[19.0055663, 47.4643606]",Supermarket
35,Polygon,supermarket,"[19.1654101, 47.4558134]",Supermarket
36,Polygon,supermarket,"[18.8995923, 47.4587356]",Supermarket
37,Polygon,supermarket,"[18.9377605, 47.3766679]",Supermarket
38,Polygon,supermarket,"[19.1070278, 47.4605419]",Supermarket
39,Polygon,supermarket,"[19.1318507, 47.4618855]",Supermarket
40,Polygon,mall,"[19.1463505, 47.4585018]",Mall
41,Polygon,supermarket,"[19.0162694, 47.4675072]",Supermarket
42,Polygon,department_store,"[18.9668628, 47.5379093]",Department Store
43,Polygon,supermarket,"[19.0159971, 47.462416]",Supermarket
44,Polygon,supermarket,"[18.962048, 47.5983728]",Supermarket
45,Polygon,mall,"[19.1444999, 47.546531]",Mall
46,Polygon,supermarket,"[19.122191, 47.5429562]",Supermarket
47,Polygon,furniture,"[19.1370853, 47.505743]",others
48,Polygon,supermarket,"[19.2068632, 47.416077]",Supermarket
49,Polygon,supermarket,"[18.8985782, 47.6147453]",Supermarket
50,Polygon,supermarket,"[19.2470557, 47.3996493]",Supermarket
51,Polygon,mall,"[19.0827751, 47.4709661]",Mall
52,Polygon,mall,"[19.0977428, 47.5605792]",Mall
53,Polygon,supermarket,"[19.1356844, 47.5475076]",Supermarket
54,Polygon,supermarket,"[19.1409617, 47.5406865]",Supermarket
55,Polygon,convenience,"[19.1401902, 47.5511924]","food, beverages"
56,Polygon,convenience,"[19.064533, 47.5991726]","food, beverages"
57,Polygon,doityourself,"[19.0608595, 47.6099545]",others
58,Polygon,electronics,"[18.9546024, 47.4538371]",others
59,Polygon,mall,"[19.0258527, 47.5091141]",Mall
60,Polygon,supermarket,"[18.8864454, 47.4416106]",Supermarket
61,Polygon,toys,"[18.8879865, 47.4437593]",others
62,Polygon,department_store,"[18.886589, 47.4438841]",Department Store
63,Polygon,ticket,"[19.027741, 47.5083191]","Stationery, gifts, books, newspapers"
64,Polygon,mall,"[18.9995018, 47.5164774]",Mall
65,Polygon,toys,"[19.1468263, 47.56472]",others
66,Polygon,doityourself,"[19.1484667, 47.5658491]",others
67,Polygon,garden_centre,"[18.9788748, 47.4435595]",others
68,Polygon,doityourself,"[19.0284392, 47.5415296]",others
69,Polygon,mall,"[19.1373288, 47.5045066]",Mall
70,Polygon,mall,"[19.3857207, 47.4264913]",Mall
71,Polygon,mall,"[19.3311918, 47.4598132]",Mall
72,Polygon,supermarket,"[19.1571428, 47.5802858]",Supermarket
73,Polygon,mall,"[19.1407066, 47.5026241]",Mall
74,Polygon,supermarket,"[19.081263, 47.556244]",Supermarket
75,Polygon,supermarket,"[19.2540849, 47.4163632]",Supermarket
76,Polygon,supermarket,"[19.3491907, 47.4429528]",Supermarket
77,Polygon,supermarket,"[19.3616212, 47.4482587]",Supermarket
78,Polygon,mall,"[19.0720384, 47.4864519]",Mall
79,Polygon,furniture,"[18.9036886, 47.4526859]",others
80,Polygon,doityourself,"[18.9703831, 47.4529705]",others
81,Polygon,supermarket,"[18.895299, 47.4627973]",Supermarket
82,Polygon,doityourself,"[18.8929925, 47.4600183]",others
83,Polygon,car,"[18.9706703, 47.4520615]",others
84,Polygon,electronics,"[18.9723158, 47.4535073]",others
85,Polygon,sports,"[18.9358368, 47.4541615]",others
86,Polygon,mall,"[18.9407523, 47.4546537]",Mall
87,Polygon,furniture,"[18.9491676, 47.454567]",others
88,Polygon,furniture,"[19.2265692, 47.4852066]",others
89,Polygon,car,"[19.2246157, 47.4857269]",others
90,Polygon,supermarket,"[19.1502724, 47.5411627]",Supermarket
91,Polygon,clothes,"[19.2508987, 47.5395685]","Clothing, shoes, accessories"
92,Polygon,mall,"[19.249085, 47.5412336]",Mall
