,poi shape,poi type,coordinate
0,Point,stop_position,"[19.0394089, 47.5071525]"
1,Point,stop_position,"[19.2432329, 47.4691577]"
2,Point,stop_position,"[19.0473599, 47.5663019]"
3,Point,stop_position,"[19.0550449, 47.5985529]"
4,Point,stop_position,"[19.0469279, 47.6216486]"
5,Point,stop_position,"[19.0463788, 47.5517794]"
6,Point,stop_position,"[19.0450949, 47.5564687]"
7,Point,stop_position,"[19.0448983, 47.5859343]"
8,Point,stop_position,"[19.045067, 47.5343927]"
9,Point,stop_position,"[19.04009, 47.5270461]"
10,Point,stop_position,"[19.0431703, 47.6291275]"
11,Point,stop_position,"[19.048643, 47.5761295]"
12,Point,stop_position,"[19.0023264, 47.5805619]"
13,Point,stop_position,"[19.0358366, 47.4125829]"
14,Point,stop_position,"[19.0189954, 47.4060109]"
15,Point,stop_position,"[18.9890777, 47.3987181]"
16,Point,stop_position,"[18.9737202, 47.3982885]"
17,Point,stop_position,"[18.9391441, 47.3910066]"
18,Point,stop_position,"[18.9226244, 47.3812533]"
19,Point,stop_position,"[18.8734765, 47.3653029]"
20,Point,stop_position,"[19.0797838, 47.5587061]"
21,Point,stop_position,"[19.0899982, 47.5497696]"
22,Point,platform,"[19.0048774, 47.462131]"
23,Point,stop_position,"[19.0665989, 47.4790773]"
24,Point,stop_position,"[19.0659726, 47.4834664]"
25,Point,stop_position,"[19.0933228, 47.5175762]"
26,Point,stop_position,"[19.140991, 47.542199]"
27,Point,stop_position,"[19.137927, 47.5036333]"
28,Point,platform,"[19.0055136, 47.4306336]"
29,Point,platform,"[19.0014347, 47.4259439]"
30,Point,bus_stop,"[18.9997858, 47.4259208]"
31,Point,stop,"[19.0320945, 47.4418789]"
32,Point,platform,"[18.9253412, 47.3795033]"
33,Point,stop_position,"[18.9266878, 47.3803196]"
34,Point,stop_position,"[18.9657807, 47.4475071]"
35,Point,platform,"[19.0014857, 47.416602]"
36,Point,stop_position,"[18.9074274, 47.4500211]"
37,Point,stop_position,"[18.8997154, 47.3228571]"
38,Point,stop_position,"[19.0190268, 47.3364522]"
39,Point,stop_position,"[18.9837297, 47.3215546]"
40,Point,stop_position,"[18.9946926, 47.5073716]"
41,Point,stop_position,"[19.1227791, 47.5782616]"
42,Point,stop_position,"[19.1541574, 47.6019582]"
43,Point,stop_position,"[19.1815929, 47.6114299]"
44,Point,stop_position,"[19.1923473, 47.614891]"
45,Point,stop_position,"[19.222695, 47.6355095]"
46,Point,stop_position,"[19.2005487, 47.6220666]"
47,Point,stop_position,"[19.1061345, 47.5499675]"
48,Point,stop_position,"[19.0819129, 47.4936483]"
49,Point,stop_position,"[19.0470939, 47.4978848]"
50,Point,stop_position,"[19.0478185, 47.5127033]"
51,Point,stop_position,"[19.0468519, 47.5057269]"
52,Point,stop_position,"[19.0461124, 47.5007031]"
53,Point,stop_position,"[19.0483196, 47.495588]"
54,Point,stop_position,"[19.0482373, 47.5131562]"
55,Point,stop_position,"[19.0381622, 47.51465]"
56,Point,stop_position,"[18.9940313, 47.3302766]"
57,Point,stop_position,"[19.0039066, 47.3337343]"
58,Point,stop_position,"[19.0336936, 47.3370723]"
59,Point,stop_position,"[19.0926626, 47.3663884]"
60,Point,stop_position,"[19.0865176, 47.3604234]"
61,Point,stop_position,"[19.1050938, 47.4233906]"
62,Point,stop_position,"[19.1147227, 47.3995153]"
63,Point,stop_position,"[19.1150081, 47.3918399]"
64,Point,stop_position,"[19.0863335, 47.4551979]"
65,Point,stop_position,"[19.0716266, 47.4444476]"
66,Point,stop_position,"[19.0486448, 47.5679299]"
67,Point,stop_position,"[19.0516944, 47.4907041]"
68,Point,stop_position,"[19.0624763, 47.483049]"
69,Point,stop_position,"[19.0700281, 47.4747864]"
70,Point,stop_position,"[19.0731731, 47.4709465]"
71,Point,stop_position,"[19.066081, 47.4801032]"
72,Point,stop_position,"[19.0662802, 47.4797143]"
73,Point,stop_position,"[19.0566125, 47.4867842]"
74,Point,stop_position,"[19.0571919, 47.4869517]"
75,Point,stop_position,"[19.0612284, 47.4892486]"
76,Point,stop_position,"[19.0598651, 47.494542]"
77,Point,stop_position,"[19.0687647, 47.4828258]"
78,Point,stop_position,"[19.0596011, 47.4769305]"
79,Point,stop_position,"[19.0468567, 47.4739895]"
80,Point,stop_position,"[19.0484653, 47.4774486]"
81,Point,stop_position,"[19.0706937, 47.4967555]"
82,Point,stop_position,"[19.0711779, 47.4928271]"
83,Point,stop_position,"[19.0707791, 47.4903692]"
84,Point,stop_position,"[19.069877, 47.485532]"
85,Point,stop_position,"[19.0666999, 47.480386]"
86,Point,stop_position,"[19.0541017, 47.4758347]"
87,Point,stop_position,"[19.0537666, 47.4740979]"
88,Point,stop_position,"[19.0244568, 47.5073503]"
89,Point,stop_position,"[19.0268468, 47.508196]"
90,Point,stop_position,"[19.0314071, 47.5108167]"
91,Point,stop_position,"[19.0268035, 47.4840907]"
92,Point,stop_position,"[19.0300796, 47.4829329]"
93,Point,stop_position,"[19.044904, 47.4780531]"
94,Point,stop_position,"[19.0241281, 47.5011363]"
95,Point,stop_position,"[19.0239779, 47.4983513]"
96,Point,stop_position,"[19.0237103, 47.4948149]"
97,Point,stop_position,"[19.0244509, 47.4907517]"
98,Point,stop_position,"[19.0246599, 47.4871779]"
99,Point,stop_position,"[19.0326126, 47.4818559]"
100,Point,stop_position,"[19.0365261, 47.4801926]"
101,Point,stop_position,"[19.0405648, 47.478813]"
102,Point,stop_position,"[19.0327766, 47.4966173]"
103,Point,stop_position,"[19.0433398, 47.491758]"
104,Point,stop_position,"[19.0401921, 47.4752348]"
105,Point,stop_position,"[19.033683, 47.4728624]"
106,Point,stop_position,"[19.021946, 47.4657475]"
107,Point,stop_position,"[19.0468655, 47.4775679]"
108,Point,stop_position,"[19.0291624, 47.4708993]"
109,Point,stop_position,"[19.0535064, 47.4836652]"
110,Point,stop_position,"[19.0518932, 47.4805452]"
111,Point,stop_position,"[19.0246606, 47.5010796]"
112,Point,stop_position,"[19.0289765, 47.4983308]"
113,Point,stop_position,"[19.044139, 47.4935735]"
114,Point,stop_position,"[19.0415105, 47.4977323]"
115,Point,stop_position,"[19.0399852, 47.5018559]"
