,poi shape,poi type,coordinate
0,Polygon,museum,"[19.0481216, 47.5072807]"
1,Polygon,attraction,"[19.0461145, 47.5014708]"
2,Polygon,attraction,"[19.0523756, 47.5046371]"
3,Polygon,attraction,"[19.0477221, 47.5000562]"
4,Polygon,hotel,"[19.0489417, 47.4998083]"
5,Polygon,museum,"[19.0544309, 47.4967322]"
6,Polygon,museum,"[19.0623839, 47.4916182]"
7,Polygon,hotel,"[19.0527406, 47.5000601]"
8,Polygon,attraction,"[19.0536465, 47.4923571]"
9,Polygon,attraction,"[19.0814871, 47.5188636]"
10,Polygon,attraction,"[19.0641284, 47.503431]"
11,Polygon,attraction,"[19.0372916, 47.5182006]"
12,Polygon,hotel,"[19.0486782, 47.4977571]"
13,Polygon,gallery,"[19.0646547, 47.5050045]"
14,Polygon,museum,"[19.0648623, 47.5069309]"
15,Polygon,museum,"[19.0461855, 47.5423619]"
16,Polygon,hotel,"[18.9592755, 47.4894861]"
17,Polygon,hostel,"[19.0627699, 47.4886951]"
18,Polygon,museum,"[19.0275324, 47.5382866]"
19,Polygon,attraction,"[19.0467237, 47.5071404]"
20,Polygon,attraction,"[19.0495397, 47.4962863]"
21,Polygon,gallery,"[19.0484033, 47.502196]"
22,Polygon,hotel,"[19.0586379, 47.493272]"
23,Polygon,museum,"[19.0952602, 47.5383067]"
24,Polygon,museum,"[19.0584388, 47.4911724]"
25,Polygon,attraction,"[19.0418548, 47.4906616]"
26,Polygon,museum,"[19.042717, 47.493671]"
27,Polygon,museum,"[19.097216, 47.505162]"
28,Polygon,hotel,"[19.0790176, 47.499992]"
29,Polygon,gallery,"[19.0679289, 47.507155]"
30,Polygon,hotel,"[19.0727677, 47.4979148]"
31,Polygon,museum,"[19.0607813, 47.5020249]"
32,Polygon,hotel,"[19.0574313, 47.5025584]"
33,Polygon,hotel,"[19.0562895, 47.5018103]"
34,Polygon,hotel,"[19.346942, 47.5991998]"
35,Polygon,museum,"[18.9184848, 47.3764633]"
36,Polygon,hotel,"[18.9360779, 47.5403343]"
37,Polygon,attraction,"[19.0477031, 47.5678602]"
38,Polygon,attraction,"[18.8734947, 47.3992032]"
