,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
District I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District V,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District VI,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District VIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
District IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XIII,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
District XIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XVII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XVIII,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XIX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XXI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XXII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District XXIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Type of properties,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Price, 71.9 HUF millions , 69.9 HUF millions , 67.9 HUF millions , 38.49 HUF millions , 49.9 HUF millions , 69.9 HUF millions , 54.9 HUF millions , 36.3 HUF millions , 34.87 HUF millions , 50.8 HUF millions , 44.9 HUF millions , 50 HUF millions , 46.6 HUF millions , 59.9 HUF millions , 62.9 HUF millions , 63.5 HUF millions , 44.6 HUF millions , 39.9 HUF millions , 43.9 HUF millions , 47.46 HUF millions , 60.83 HUF millions , 43.7 HUF millions , 49.98 HUF millions , 71.61 HUF millions , 43.75 HUF millions , 32.99 HUF millions , 27.25 HUF millions , 57.3 HUF millions , 43.9 HUF millions , 44.2 HUF millions , 54.6 HUF millions , 56.02 HUF millions , 42.3 HUF millions , 54.4 HUF millions , 32.9 HUF millions , 53.8 HUF millions , 41.25 HUF millions , 27 HUF millions , 54.6 HUF millions , 38.23 HUF millions 
Street, Petőfi Sándor utca, Újlipótváros, Kálmán Imre utca, Krepuska Géza-telep, Tátra utca, Alíz utca, Csengery utca, Szent László út, Reitter Ferenc utca 100., Csata utca 30, Kucsma utca 12., Csata utca 30, Csata utca 30, Kucsma utca 12., Kucsma utca 12., Csata utca 30, Csata utca 30, Kucsma utca 12., Kucsma utca 12., Jakab József utca 19, Jakab József utca 19, Úszódaru utca, Kucsma utca 41-43, Úszódaru utca, Bíbor utca 10-12, Bíbor utca 10-12, Kálvária utca, Csata utca 30, Angyalföld, Palóc utca 15-17., Palóc utca 15-17., Lőportár utca 20/A, Fáy utca 85., Úszódaru utca, Palóc utca 15-17., Úszódaru utca, Pannónia utca 77-79, Palóc utca 15-17., Dolmány utca 10., Taksony utca 9.
Size(sqm), 95 sqm area, 140 sqm area, 102 sqm area, 106 sqm area, 71 sqm area, 92 sqm area, 100 sqm area, 51 sqm area, 55 sqm area, 75 sqm area, 60 sqm area, 75 sqm area, 71 sqm area, 81 sqm area, 81 sqm area, 77 sqm area, 67 sqm area, 51 sqm area, 54 sqm area, 61 sqm area, 77 sqm area, 42 sqm area, 74 sqm area, 94 sqm area, 78 sqm area, 49 sqm area, 41 sqm area, 89 sqm area, 66 sqm area, 67 sqm area, 89 sqm area, 70 sqm area, 63 sqm area, 68 sqm area, 46 sqm area, 48 sqm area, 48 sqm area, 35 sqm area, 78 sqm area, 39 sqm area
Floor,3,2,2,2,4,10,4,5,2,ground floor,1,2,1,1,3,5,ground floor,3,ground floor,1,1,1,4,4,1,1,4,1,2,2,2,3,1,2,5,8,2,6,4,1
Name of Residential complex,-1,-1,-1,-1,-1,Budai Bolero II,-1,BERKO HOME,The Gardens Budapest,-1,Kucsma 12. Társasház,-1,-1,Kucsma 12. Társasház,Kucsma 12. Társasház,-1,-1,Kucsma 12. Társasház,Kucsma 12. Társasház,Dagály Park 1. ütem,Dagály Park 1. ütem,Duna Terasz Premium,K38 Otthonok,Duna Terasz Premium,-1,-1,-1,-1,Nerium Park,Greenside,Greenside,Pesti Ház - Átrium 3,Fay85,Duna Terasz Premium,Greenside,Duna Terasz Premium,Pannónia Ház,Greenside,Dolmány10,Green Court Residences
Parking place,street,utca,street,utca,utca,teremgarázs hely - megvásárolható,street,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható,teremgarázs hely - megvásárolható
View,garden view,street view,garden view,garden view,garden view,street view,street view,not specified,street view,garden view,garden view,garden view,garden view,street view,street view,street view,garden view,not specified,garden view,street view,street view,garden view,street view,garden view,street view,street view,garden view,garden view,not specified,garden view,not specified,garden view,garden view,garden view,not specified,not specified,not specified,not specified,not specified,street view
Elevator,available,available,available,not available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
Air conditioner,-1,not available,-1,available,not available,available,-1,-1,-1,-1,-1,-1,not available,-1,-1,-1,-1,-1,-1,available,available,-1,-1,-1,-1,-1,-1,-1,-1,not available,available,-1,not available,-1,-1,-1,available,available,-1,-1
Price per sqm, 756 842 Ft/m2 , 499 286 Ft/m2 , 665 686 Ft/m2 , 342 133 Ft/m2 , 702 817 Ft/m2 , 691 258 Ft/m2 , 546 269 Ft/m2 , 650 538 Ft/m2 , 617 168 Ft/m2 , 649 118 Ft/m2 , 725 891 Ft/m2 , 636 943 Ft/m2 , 611 990 Ft/m2 , 704 416 Ft/m2 , 739 695 Ft/m2 , 690 217 Ft/m2 , 625 877 Ft/m2 , 741 774 Ft/m2 , 770 175 Ft/m2 , 730 154 Ft/m2 , 770 000 Ft/m2 , 503 456 Ft/m2 , 542 789 Ft/m2 , 694 501 Ft/m2 , 526 094 Ft/m2 , 640 583 Ft/m2 , 615 819 Ft/m2 , 626 230 Ft/m2 , 609 722 Ft/m2 , 607 853 Ft/m2 , 576 740 Ft/m2 , 720 885 Ft/m2 , 588 563 Ft/m2 , 715 790 Ft/m2 , 686 776 Ft/m2 , 978 182 Ft/m2 , 769 590 Ft/m2 , 709 499 Ft/m2 , 572 627 Ft/m2 , 849 556 Ft/m2 
Number of rooms,"<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 6 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 + 1 half room</div>","<div class=""listing__parameter listing__data--room-count""> 3 + 1 half room</div>","<div class=""listing__parameter listing__data--room-count""> 2 + 1 half room</div>","<div class=""listing__parameter listing__data--room-count""> 3 + 1 half room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 2 room</div>","<div class=""listing__parameter listing__data--room-count""> 2 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 1 + 2 half room</div>","<div class=""listing__parameter listing__data--room-count""> 2 room</div>","<div class=""listing__parameter listing__data--room-count""> 2 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 4 room</div>","<div class=""listing__parameter listing__data--room-count""> 2 room</div>","<div class=""listing__parameter listing__data--room-count""> 2 + 1 half room</div>","<div class=""listing__parameter listing__data--room-count""> 4 room</div>","<div class=""listing__parameter listing__data--room-count""> 2 + 1 half room</div>","<div class=""listing__parameter listing__data--room-count""> 2 room</div>","<div class=""listing__parameter listing__data--room-count""> 1 + 1 half room</div>","<div class=""listing__parameter listing__data--room-count""> 5 room</div>","<div class=""listing__parameter listing__data--room-count""> 4 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 4 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 2 room</div>","<div class=""listing__parameter listing__data--room-count""> 2 room</div>","<div class=""listing__parameter listing__data--room-count""> 2 room</div>","<div class=""listing__parameter listing__data--room-count""> 1 room</div>","<div class=""listing__parameter listing__data--room-count""> 3 room</div>","<div class=""listing__parameter listing__data--room-count""> 1 + 1 half room</div>"
