ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF millions),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District
2501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.5,360,448611.1111, II/A kerület – Máriaremete,-1,-1,1,panoramic,0,1,0,-1,available,1,8 room,8,0,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,4,-1,natural gas boiler,1,0,0,0,not specified,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.558613,18.945063,47.558613,18.945063,1029,2
2502,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.0,330,769696.9697, Farkastorok,-1,-1,-1,not specified,0,0,0,-1,-1,-1,6 room,6,0,not specified,0,0,0,0,0,0,not specified,0,0,0,-1,2,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.556553,19.021547,47.556553,19.021547,1037,3
2503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.9,180,299444.4444, Csíky utca,-1,-1,-1,not specified,0,0,0,-1,-1,-1,3 + 2 half room,3,2,in medium condition,0,0,0,1,0,0,not specified,0,0,0,-1,-1,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1, Busz   194   194B   36   93   198   900   93A    Éjszakai   914   980   999   ,47.431309999999996,19.16463,47.431309999999996,19.16463,1194,19
2504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0,230,478260.8696, Budatétény – Erdődűlő,-1,-1,1,garden view,1,0,0,-1,available,1,6 room,6,0,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,not specified,separate and together too,1,0,-1,-1,-1,-1,-1,-1,47.42917,19.000367999999998,47.42917,19.000367999999998,1223,22
2505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,40,400000.0, Budafok,-1,-1,-1,not specified,0,0,0,-1,-1,-1,3 + 2 half room,3,2,renovated,0,0,1,0,0,0,not specified,0,0,0,-1,-1,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.427578000000004,19.02647,47.427578000000004,19.02647,1221,22
2506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,31,483870.9677, Bethlen Gábor utca,-1,-1,-1,not specified,0,0,0,-1,-1,-1,1 room,1,0,not specified,0,0,0,0,0,0,not specified,0,0,0,-1,-1,-1,not specified,0,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1, Busz   25   125   ,47.55518,19.1112,47.55518,19.1112,1153,15
2507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.0,320,750000.0, II/A kerület – Adyliget,-1,-1,-1,not specified,0,0,0,-1,-1,-1,8 + 1 half room,8,1,mint,0,0,0,0,0,1,not specified,0,0,0,-1,3,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.54735,18.939120000000003,47.54735,18.939120000000003,1029,2
2508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,256,351562.5, Ganz-kertváros,-1,-1,-1,not specified,0,0,0,-1,-1,-1,4 room,4,0,mint,0,0,0,0,0,1,not specified,0,0,0,-1,2,-1,other,0,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.420395,19.218422,47.420395,19.218422,1182,18
2509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.9,155,373548.3871, Rákospalota,-1,-1,1,garden view,1,0,0,-1,-1,-1,4 + 1 half room,4,1,renovated,0,0,1,0,0,0,double comfort,1,0,0,-1,1,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.562843,19.137367,47.562843,19.137367,1152,15
2510,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,130,423076.9231, Székesdűlő,-1,-1,1,garden view,1,0,0,-1,-1,-1,3 + 3 half room,3,3,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,2,-1,gáz (cirko),1,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.607044,19.102318,47.607044,19.102318,1044,4
2511,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9,70,512857.1429, Kispest-Kertváros,-1,-1,1,not specified,0,0,0,-1,-1,-1,1 + 1 half room,1,1,renovated,0,0,1,0,0,0,full comfort,0,1,0,-1,1,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,loft conversion possible,1,-1,47.433563,19.159967,47.433563,19.159967,1194,19
2512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.9,104,575961.5385, Mátyásföld – Petőfikert,-1,-1,1,not specified,0,0,0,-1,-1,-1,2 + 3 half room,2,3,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,-1,-1,gáz (cirko),1,0,0,0,yes,together,0,1,-1,-1,-1,-1,-1,-1,47.50843,19.21695,47.50843,19.21695,1165,16
2513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,72,345833.3333, Illek Vince utca,-1,-1,-1,not specified,0,0,0,-1,-1,-1,2 room,2,0,renovated,0,0,1,0,0,0,full bath,0,0,0,-1,1,-1,natural gas (convector),1,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1, Villamos   12   14    Busz   30   147   230   30A    Éjszakai   930   ,47.56623,19.087220000000002,47.56623,19.087220000000002,1047,4
2514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.6,730,203561.6438, Soroksár,-1,-1,1,panoramic,0,1,0,-1,available,1,7 room,7,0,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,3,-1,gáz (cirko),1,0,0,0,yes,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.401592,19.11979,47.401592,19.11979,1238,23
2515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.0,576,468750.0, Újpest-Központ,-1,-1,1,street view,0,0,1,-1,available,1,21 room,21,0,renovated,0,0,1,0,0,0,double comfort,1,0,0,-1,3,-1,combination boiler,0,0,1,0,no,together,0,1,-1,-1,-1,loft conversion possible,1,-1,47.56205,19.089659,47.56205,19.089659,1042,4
2516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.0,104,2211538.462, Krisztinaváros – Naphegy,-1,-1,1,garden view,1,0,0,-1,available,1,3 room,3,0,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,2,-1,electric,0,0,0,0,not specified,separate and together too,1,0,-1,-1,-1,-1,-1,-1,47.49306,19.032923,47.49306,19.032923,1016,1
2517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.9,124,426612.9032, Rákoscsaba,-1,-1,1,garden view,1,0,0,-1,not available,0,5 room,5,0,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,not specified,together,0,1,-1,-1,-1,-1,-1,-1,47.480015,19.299547,47.480015,19.299547,1171,17
2518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.9,200,349500.0, Rákosszentmihály – Kisszentmihály,-1,-1,-1,not specified,0,0,0,-1,-1,-1,4 room,4,0,in good condition,0,1,0,0,0,0,not specified,0,0,0,-1,2,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.539635,19.180216,47.539635,19.180216,1162,16
2519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9,300,253000.0, Madárdomb,-1,-1,-1,not specified,0,0,0,-1,-1,-1,5 + 1 half room,5,1,in good condition,0,1,0,0,0,0,not specified,0,0,0,-1,-1,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.477092999999996,19.232784,47.477092999999996,19.232784,1173,17
2520,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.0,570,754385.9649, Őrmező,-1,-1,-1,not specified,0,0,0,-1,-1,-1,18 room,18,0,in medium condition,0,0,0,1,0,0,not specified,0,0,0,-1,-1,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.46096,19.016129,47.46096,19.016129,1112,11
2521,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9,140,399285.7143, Rákoscsaba,-1,-1,1,garden view,1,0,0,-1,not available,0,4 room,4,0,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,not specified,together,0,1,-1,-1,-1,-1,-1,-1,47.480015,19.299547,47.480015,19.299547,1171,17
2522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275.0,510,539215.6863, Mátyáshegy,-1,-1,1,panoramic,0,1,0,-1,-1,-1,12 room,12,0,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,4,-1,natural gas boiler,1,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.533485,19.023011999999998,47.533485,19.023011999999998,1037,3
2523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,175,405714.2857, Rákoskert – Strázsahegy,-1,-1,-1,not specified,0,0,0,-1,-1,-1,7 room,7,0,mint,0,0,0,0,0,1,not specified,0,0,0,-1,-1,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.4662,19.284105,47.4662,19.284105,1171,17
